"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","jammy-provider-cloud-0000007173",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","04 Jun 2024 02:31:40 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
04-06 02:31:40,,1014476,2037436,158852,4613416,,,,,,,1.120,0.690,0.420,3,0,,,,9,4,7,17,2
04-06 02:31:41,31.485,20.240,46.727,0.750,0,1021236,2002960,159268,4638172,3990.053,1443.296,0,6001.071,0,356.826,4205,7614,1.120,0.690,0.420,3,0,615.700,0,0,9,4,7,17,2
04-06 02:31:42,32.501,20.250,45.251,1.000,0.250,1028376,1974316,160240,4656340,4433.093,1500.032,0,4628.097,0,177.004,4734,9281,1.190,0.720,0.430,16,0,367.008,0,0,9,4,7,17,2
04-06 02:31:43,28.203,11.231,59.900,0.749,0,1154748,1840184,161072,4785416,11881.087,4185.984,0,2947.061,0,78.868,3371,6680,1.190,0.720,0.430,2,0,50.915,0,0,10,2,6,17,0
04-06 02:31:44,35.288,8.009,56.811,0,0,1119720,1873968,161132,4786636,6581.088,1459.572,424.457,44.047,4.004,8.009,1698,2105,1.190,0.720,0.430,2,0,112.121,0,0,10,4,6,17,0
04-06 02:31:45,42.727,9.745,45.975,0.250,0,1134340,1858548,161176,4787372,4855.378,1369.261,307.834,3490.115,14.992,33.982,8885,18398,1.190,0.720,0.430,2,0,191.896,0,0,10,4,6,19,0
04-06 02:31:46,45.745,5.999,46.244,0,0,1184592,1807132,161192,4788396,6741.198,1457.827,111.987,1579.812,4.000,9.999,9248,18273,1.190,0.720,0.430,2,0,12.998,0,0,10,4,6,19,0
04-06 02:31:47,33.290,9.011,46.305,11.263,0,1181856,1800768,162136,4796464,4232.053,1459.743,0,35414.285,0,3429.094,13419,28153,1.260,0.740,0.440,1,1,77.092,0,0,10,6,6,19,0
04-06 02:31:48,44.493,6.749,46.493,1.750,0,1107840,1874092,162360,4796928,7042.887,1499.763,0,18441.086,0,1225.806,4682,9203,1.260,0.740,0.440,2,2,119.981,0,0,10,4,6,19,0
