Jun 04 02:31:40 jammy-provider-cloud-0000007173 systemd[1]: Started Devstack devstack@dstat.service.
Jun 04 02:31:40 jammy-provider-cloud-0000007173 dstat.sh[57620]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 04 02:31:40 jammy-provider-cloud-0000007173 dstat.sh[57620]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 04 02:31:40 jammy-provider-cloud-0000007173 dstat.sh[57620]: 04-06 02:31:40|                   | 991M 1989M  155M 4505M|           |           |           |           |1.12 0.69 0.42|3.0   0    |           |   0     0 |  9    4    7   17    2
Jun 04 02:31:41 jammy-provider-cloud-0000007173 dstat.sh[57620]: 04-06 02:31:41| 30  20  47   1   0| 994M 1972M  155M 4517M|3988B 1442B|   0  5998k|   0   357 |4039  7297 |1.12 0.69 0.42|3.0   0 613|   0     0 |   0     0 |  9    4    7   17    2
Jun 04 02:31:42 jammy-provider-cloud-0000007173 dstat.sh[57620]: 04-06 02:31:42| 33  21  45   1   0|1005M 1927M  156M 4547M|4433B 1500B|   0  4628k|   0   267 |4382  8280 |1.19 0.72 0.43| 10   0 491|   0     0 |   0     0 |  9    4    7   17    2
Jun 04 02:31:43 jammy-provider-cloud-0000007173 dstat.sh[57620]: 04-06 02:31:43| 28  11  60   1   0|1128M 1797M  157M 4673M|  12k 4187B|   0  2948k|   0  78.9 |3365  6642 |1.19 0.72 0.43|1.0   0  49|   0     0 |   0     0 | 10    2    6   17    0
Jun 04 02:31:44 jammy-provider-cloud-0000007173 dstat.sh[57620]: 04-06 02:31:44| 36   8  57   0   0|1093M 1830M  157M 4674M|6580B 1459B| 424k   48k|4.00  9.01 |1700  2109 |1.19 0.72 0.43|2.0   0 112|   0     0 |   0     0 | 10    4    6   17    0
Jun 04 02:31:45 jammy-provider-cloud-0000007173 dstat.sh[57620]: 04-06 02:31:45| 43  10  46   0   0|1108M 1815M  157M 4675M|4975B 1369B| 308k 3486k|15.0  33.0 |8891    18k|1.19 0.72 0.43|2.0   0 192|   0     0 |   0     0 | 10    4    6   19    0
Jun 04 02:31:46 jammy-provider-cloud-0000007173 dstat.sh[57620]: 04-06 02:31:46| 46   6  46   0   0|1157M 1765M  157M 4676M|6682B 1458B| 112k 1580k|4.00  10.0 |9251    18k|1.19 0.72 0.43|3.0   0  13|   0     0 |   0     0 | 10    4    6   19    0
Jun 04 02:31:47 jammy-provider-cloud-0000007173 dstat.sh[57620]: 04-06 02:31:47| 32   9  46  11   0|1154M 1759M  158M 4684M|4175B 1461B|   0    35M|   0  3447 |  13k   28k|1.26 0.74 0.44|4.0   0  80|   0     0 |   0     0 | 10    6    6   19    0
Jun 04 02:31:48 jammy-provider-cloud-0000007173 dstat.sh[57620]: 04-06 02:31:48| 44   7  46   2   0|1082M 1830M  159M 4684M|7041B 1499B|   0    19M|   0  1258 |4740  9322 |1.26 0.74 0.44|4.0   0 124|   0     0 |   0     0 | 10    4    6   19    0
Jun 04 02:31:49 jammy-provider-cloud-0000007173 dstat.sh[57620]: 04-06 02:31:49| 24   3  74   1   0|1133M 1779M  159M 4685M|4706B 1455B|   0  2934k|   0   161 |1092  1737 |1.26 0.74 0.44|1.0   0 6.0|   0     0 |   0     0 | 10    4    6   19    0
Jun 04 02:31:50 jammy-provider-cloud-0000007173 dstat.sh[57620]: 04-06 02:31:50| 23   3  73   0   0|1105M 1807M  159M 4685M|4197B 1622B|   0  5954k|   0   299 |1438  2540 |1.26 0.74 0.44|1.0   0  10|   0     0 |   0     0 | 10    4    6   19    0
