"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","jammy-provider-cloud-0000007237",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Jun 2024 13:14:18 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-06 13:14:18,,1022052,1992204,160196,4647788,,,,,,,1.140,0.810,0.440,2,0,,,,9,4,2,18,2
17-06 13:14:19,25.233,26.982,47.219,0.250,0,1030532,1981844,160216,4649384,5812.152,1457.035,1163.230,2146.579,13.991,73.951,4087,7124,1.140,0.810,0.440,2,0,590.609,0,0,9,4,2,18,2
17-06 13:14:20,33.234,20.990,44.728,0.750,0,1013716,1971976,160584,4673104,6307.909,1457.286,0,2918.570,0,103.949,3045,7099,1.210,0.830,0.450,3,0,330.838,0,0,9,4,2,18,2
17-06 13:14:21,35.227,20.486,42.222,1.249,0,1101760,1861852,161644,4757796,6721.564,1682.889,0,3921.412,0,168.889,3669,10225,1.210,0.830,0.450,2,0,199.868,0,0,10,4,3,18,2
17-06 13:14:22,19.274,5.257,74.092,0.751,0,1140696,1814536,162592,4821440,14731.311,4412.485,0,2527.141,0,84.105,1389,2195,1.210,0.830,0.450,2,0,37.046,0,0,10,4,4,18,0
17-06 13:14:23,37.744,13.248,48.742,0,0,1120200,1833916,162652,4822480,5083.151,1531.744,503.916,59.990,4.999,11.998,1974,2580,1.210,0.830,0.450,2,0,157.974,0,0,10,4,4,12,0
17-06 13:14:24,42.248,9.999,46.247,0.250,0,1171400,1781752,162668,4823408,5986.659,1531.913,327.981,1751.900,16.999,29.998,8888,16697,1.210,0.830,0.450,2,0,108.994,0,0,10,4,4,14,0
17-06 13:14:25,44.001,6.000,45.751,2.500,0,1212744,1736016,162912,4827348,5011.110,1532.034,12.000,11432.252,1.000,651.014,12031,23966,1.270,0.850,0.460,4,0,25.001,0,0,10,6,4,14,0
17-06 13:14:26,34.767,10.005,43.771,10.755,0,1198344,1742980,163668,4833668,6063.880,1458.693,0,49875.691,0,3947.875,12499,29041,1.270,0.850,0.460,3,0,73.035,0,0,10,6,4,14,0
