Aug 21 10:03:33 jammy-provider-cloud-0000007510 systemd[1]: Started Devstack devstack@dstat.service.
Aug 21 10:03:33 jammy-provider-cloud-0000007510 dstat.sh[64935]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 21 10:03:33 jammy-provider-cloud-0000007510 dstat.sh[64935]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 21 10:03:33 jammy-provider-cloud-0000007510 dstat.sh[64935]: 21-08 10:03:33|                   | 980M 1793M  158M 4699M|           |           |           |           |1.42 0.93 0.51|2.0   0    |           |   0     0 |  9    5    7   17    2
Aug 21 10:03:34 jammy-provider-cloud-0000007510 dstat.sh[64935]: 21-08 10:03:34| 10  21  68   0   0| 981M 1790M  158M 4702M| 303k   24k|   0  2085k|   0  72.9 |3803  5321 |1.42 0.93 0.51|2.0   0 426|   0     0 |   0     0 |  9    5    7   17    2
Aug 21 10:03:35 jammy-provider-cloud-0000007510 dstat.sh[64935]: 21-08 10:03:35| 27  25  48   1   0|1008M 1758M  158M 4706M|  68k 6914B| 412k  897k|2.50  60.0 |4202  6748 |1.42 0.93 0.51|3.0   0 470|   0     0 |   0     0 |  9    5    7   17    2
Aug 21 10:03:36 jammy-provider-cloud-0000007510 dstat.sh[64935]: 21-08 10:03:36| 31  21  47   0   0|1142M 1623M  158M 4828M|  70k 4580B| 383k  140k|2.99  22.9 |5696    11k|1.42 0.93 0.51|2.0   0 319|   0     0 |   0     0 | 10    7    7   17    2
Aug 21 10:03:37 jammy-provider-cloud-0000007510 dstat.sh[64935]: 21-08 10:03:37| 36  15  49   1   0|1121M 1621M  159M 4849M| 122k   17k|   0  5090k|   0   319 |2819  4114 |1.47 0.95 0.52|2.0   0 251|   0     0 |   0     0 | 10    7    7   17    2
Aug 21 10:03:38 jammy-provider-cloud-0000007510 dstat.sh[64935]: 21-08 10:03:38| 43   6  49   2   0|1188M 1530M  160M 4869M|  87k 5391B| 124k 9130k|10.0   202 |2071  3309 |1.47 0.95 0.52|2.0   0  40|   0     0 |   0     0 | 10    7    7   19    2
Aug 21 10:03:39 jammy-provider-cloud-0000007510 dstat.sh[64935]: 21-08 10:03:39| 58   7  33   2   0|1262M 1445M  161M 4877M|  23k 5502B|   0    10M|   0   582 |3064  6401 |1.47 0.95 0.52|3.0   0  11|   0     0 |   0     0 | 10    6    7   19    0
Aug 21 10:03:40 jammy-provider-cloud-0000007510 dstat.sh[64935]: 21-08 10:03:40| 48   6  34  10   0|1227M 1466M  162M 4890M|2382k   33k|   0    35M|   0  3089 |  11k   25k|1.47 0.95 0.52|3.0   0  72|   0     0 |   0     0 | 10    8    7   19    0
Aug 21 10:03:41 jammy-provider-cloud-0000007510 dstat.sh[64935]: 21-08 10:03:41| 66  12  20   1   0|1186M 1508M  162M 4889M|6664B 5528B|   0    21M|   0  1183 |  15k   30k|1.47 0.95 0.52|4.0   0  90|   0     0 |   0     0 | 10    4    7   19    0
Aug 21 10:03:42 jammy-provider-cloud-0000007510 dstat.sh[64935]: 21-08 10:03:42| 57   7  35   0   0|1172M 1515M  162M 4896M|2335k   29k|   0  3605k|   0  49.0 |7342    12k|1.51 0.97 0.53|3.0   0  21|   0     0 |   0     0 | 10    5    7   19    1
Aug 21 10:03:43 jammy-provider-cloud-0000007510 dstat.sh[64935]: 21-08 10:03:43| 67   8  24   0   0|1157M 1532M  162M 4893M|4536B 1541B|   0  7223k|   0   353 |2336  3365 |1.51 0.97 0.53|2.0   0  72|   0     0 |   0     0 | 10    4    7   19    0
Aug 21 10:03:44 jammy-provider-cloud-0000007510 dstat.sh[64935]: 21-08 10:03:44| 36   7  58   0   0|1064M 1620M  162M 4898M|2338k   33k|   0  9008k|   0   315 |3194  3892 |1.51 0.97 0.53|2.0   0 140|   0     0 |   0     0 | 10    4    7   19    0
Aug 21 10:03:45 jammy-provider-cloud-0000007510 dstat.sh[64935]: 21-08 10:03:45| 33  20  46   0   0|1092M 1592M  162M 4898M|7429B   13k|   0    48k|   0  12.0 |3678  6425 |1.51 0.97 0.53|2.0   0 609|   0     0 |   0     0 | 10    4    7   19    0
