Oct 07 17:36:31 jammy-provider-cloud-0000007694 systemd[1]: Started Devstack devstack@dstat.service.
Oct 07 17:36:31 jammy-provider-cloud-0000007694 dstat.sh[58819]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Oct 07 17:36:31 jammy-provider-cloud-0000007694 dstat.sh[58819]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Oct 07 17:36:31 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:31|                   |1024M 1857M  161M 4591M|           |           |           |           |1.43 0.83 0.44|2.0   0    |           |   0     0 |  9    8    6   17    0
Oct 07 17:36:32 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:32| 28  21  50   1   0|1015M 1865M  161M 4593M|1367k   31k|   0  4500k|   0   134 |4550  7663 |1.43 0.83 0.44|2.0   0 589|   0     0 |   0     0 |  9    6    6   17    0
Oct 07 17:36:33 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:33| 28  18  52   0   0|1003M 1864M  161M 4605M| 181k   16k|   0  2699k|   0   111 |4782  8807 |1.43 0.83 0.44|2.0   0 491|   0     0 |   0     0 |  9    5    6   17    1
Oct 07 17:36:34 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:34| 28  17  52   1   0|1151M 1701M  161M 4742M| 341k 7632B|  11M 1016k| 130  40.0 |6785    12k|1.43 0.83 0.44|2.0   0 201|   0     0 |   0     0 | 10    6    6   17    2
Oct 07 17:36:35 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:35| 32  19  49   0   0|1152M 1699M  161M 4742M|6603B 1620B| 404k 1532k|4.00  44.0 |2631  3676 |1.47 0.85 0.45|2.0   0 285|   0     0 |   0     0 | 10    6    6   19    2
Oct 07 17:36:36 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:36| 42   8  49   1   0|1188M 1647M  161M 4757M|7333B 1617B|1162k 3207k|14.0  72.9 |1686  2358 |1.47 0.85 0.45|2.0   0  45|   0     0 |   0     0 | 10    6    6   19    2
Oct 07 17:36:37 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:37| 41   7  49   3   0|1250M 1557M  162M 4780M|9433B 1460B|   0    19M|   0  1199 |5172    11k|1.47 0.85 0.45|5.0   0  13|   0     0 |   0     0 | 10    8    6   19    2
Oct 07 17:36:38 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:38| 37   8  43  10   0|1254M 1517M  164M 4811M|6353B 1619B|4095B   59M|1.00  4039 |  12k   28k|1.47 0.85 0.45|2.0   0  57|   0     0 |   0     0 | 10    6    6   19    2
Oct 07 17:36:39 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:39| 38   9  51   1   0|1141M 1643M  164M 4799M|  14k 4349B|   0  6140k|   0   306 |2151  3360 |1.47 0.85 0.45|2.0   0  80|   0     0 |   0     0 | 10    4    6   19    0
Oct 07 17:36:40 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:40| 49   8  41   0   0|1177M 1606M  164M 4799M|5778B 1830B|   0  5039k|   0  70.0 |8469    21k|1.52 0.87 0.46|2.0   0  49|   0     0 |   0     0 | 10    4    6   20    0
Oct 07 17:36:41 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:41| 44   9  46   0   0|1164M 1619M  164M 4800M|  11k 1619B|   0  7455k|   0   354 |9293    19k|1.52 0.87 0.46|2.0   0  23|   0     0 |   0     0 | 10    4    5   19    0
Oct 07 17:36:42 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:42| 45   6  49   0   0|1097M 1685M  164M 4799M|8057B 1623B|   0   240k|   0  12.0 |1392  1525 |1.52 0.87 0.46|2.0   0  45|   0     0 |   0     0 | 10    4    5   19    0
Oct 07 17:36:43 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:43| 16  21  63   0   0|1075M 1707M  164M 4800M|6140B 1620B|   0    20k|   0  5.00 |2798  4400 |1.52 0.87 0.46|1.0   0 397|   0     0 |   0     0 | 10    4    5   19    0
Oct 07 17:36:44 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:44|  9  22  68   0   0|1076M 1706M  164M 4800M|5981B 1498B|   0    44k|   0  8.99 |2403  3455 |1.52 0.87 0.46|1.0   0 274|   0     0 |   0     0 | 10    4    5   19    0
Oct 07 17:36:45 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:45| 22  18  59   0   0|1096M 1685M  164M 4800M|5469B 1709B|   0  7195k|   0   399 |4492  6978 |1.47 0.87 0.46|3.0   0 214|   0     0 |   0     0 | 10    4    5   19    0
Oct 07 17:36:46 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:46| 45   8  46   0   0|1209M 1573M  164M 4801M|5544B 1618B|   0   184k|   0  1.00 |1365  1626 |1.47 0.87 0.46|3.0   0  51|   0     0 |   0     0 | 10    5    5   19    0
Oct 07 17:36:47 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:47| 47   3  48   0   0|1253M 1527M  164M 4803M|5469B 1620B|   0   916k|   0  30.0 |3460  5698 |1.47 0.87 0.46|2.0   0   0|   0     0 |   0     0 | 10    5    5   13    0
Oct 07 17:36:48 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:48| 15   9  76   0   0|1264M 1514M  164M 4803M|4948B 1619B|   0   615k|   0  16.0 |2063  3734 |1.47 0.87 0.46|1.0   0 118|   0     0 |   0     0 | 10    4    5   14    0
Oct 07 17:36:49 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:49|  1   1  98   0   0|1264M 1514M  164M 4803M|5057B 1788B|   0   768k|   0  33.0 | 734  1163 |1.47 0.87 0.46|1.0   0 2.0|   0     0 |   0     0 | 10    4    5   14    0
Oct 07 17:36:50 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:50| 14   4  81   0   0|1306M 1472M  164M 4803M|6938B 1791B|   0    11M|   0  27.0 |1327  1614 |1.52 0.89 0.47|1.0   0  22|   0     0 |   0     0 | 10    4    5   14    0
Oct 07 17:36:51 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:51| 24   2  74   0   0|1357M 1422M  164M 4804M|5306B 1455B|   0     0 |   0     0 | 922  1109 |1.52 0.89 0.47|2.0   0   0|   0     0 |   0     0 | 10    4    5   14    0
Oct 07 17:36:52 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:52| 21   6  71   1   0|1281M 1497M  164M 4804M|6132B 1788B|   0  4021k|   0   340 |3133  5737 |1.52 0.89 0.47|2.0   0  43|   0     0 |   0     0 | 10    4    5   16    0
Oct 07 17:36:53 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:53| 23   3  73   0   0|1329M 1449M  164M 4804M|5726B 1614B|   0  1223k|   0  21.9 |1555  2431 |1.52 0.89 0.47|5.0   0 1.0|   0     0 |   0     0 | 10   16    5   17    0
Oct 07 17:36:54 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:54| 23   5  73   1   0|1315M 1463M  164M 4804M|8453B 1701B| 233k  896k|58.3  15.1 |1517  2265 |1.52 0.89 0.47|2.0   0  45|   0     0 |   0     0 | 10   28    6   16    0
Oct 07 17:36:55 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:55| 22   8  69   0   0|1301M 1477M  164M 4804M|5887B 1688B|   0    20k|   0  4.98 |1924  2976 |1.47 0.89 0.47|2.0   0 156|   0     0 |   0     0 | 10   30    6   17    0
Oct 07 17:36:56 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:56| 44   9  48   0   0|1404M 1373M  164M 4804M|6277B 1628B|   0    40M|   0  96.5 |2479  3823 |1.47 0.89 0.47|3.0   0   0|   0     0 |   0     0 | 10   32    6   17    0
Oct 07 17:36:57 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:57| 52  20  28   0   0|1412M 1366M  164M 4804M|7400B 1863B|   0  1861k|   0  43.0 |4770  9884 |1.47 0.89 0.47|5.0   0 422|   0     0 |   0     0 | 10   30    6   17    0
Oct 07 17:36:58 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:58| 81  14   3   0   0|1583M 1194M  164M 4805M|6165B 1940B|   0   428k|   0  23.0 |4273    10k|1.47 0.89 0.47|5.0   0 156|   0     0 |   0     0 | 10   33    7   17    0
Oct 07 17:36:59 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:36:59| 65  13  22   0   0|1427M 1350M  164M 4805M|6152B 1664B|   0   263k|   0  29.9 |3656  7886 |1.47 0.89 0.47|5.0   0 202|   0     0 |   0     0 | 10   30    7   17    0
Oct 07 17:37:00 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:37:00| 23   9  68   0   0|1355M 1422M  164M 4805M|7409B 1622B|   0   272k|   0  24.0 |2441  4251 |1.44 0.89 0.47|2.0   0 110|   0     0 |   0     0 | 10   30    7   17    0
Oct 07 17:37:01 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:37:01| 22   4  73   0   0|1313M 1464M  164M 4805M|6306B 1786B|   0  9344k|   0   200 |2218  3632 |1.44 0.89 0.47|1.0   0  26|   0     0 |   0     0 | 10   30    7   17    0
Oct 07 17:37:02 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:37:02| 21   4  73   0   0|1372M 1405M  164M 4805M|9311B 1697B|   0   120k|   0  6.01 |1244  1879 |1.44 0.89 0.47|1.0   0  42|   0     0 |   0     0 | 10   30    7   17    0
Oct 07 17:37:03 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:37:03| 13  16  70   0   0|1312M 1465M  164M 4805M|7310B 1620B|   0  2612k|   0  41.0 |3283  5386 |1.44 0.89 0.47|1.0   0 380|   0     0 |   0     0 | 10   30    7   19    0
Oct 07 17:37:04 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:37:04| 52  22  25   0   0|1454M 1323M  164M 4805M|7192B 1621B|   0   228k|   0  22.0 |2869  5010 |1.44 0.89 0.47|5.0   0 659|   0     0 |   0     0 | 10   30    7   18    0
Oct 07 17:37:05 jammy-provider-cloud-0000007694 dstat.sh[58819]: 07-10 17:37:05| 84   9   7   0   0|1591M 1186M  164M 4805M|4954B 1954B|   0   807k|   0  53.9 |5032    12k|1.72 0.96 0.50|5.0 1.0   0|   0     0 |   0     0 | 10   32    7   20    0
