"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","jammy-provider-cloud-0000007889",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","07 Jan 2025 07:53:26 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
07-01 07:53:26,,967620,2008816,162648,4678236,,,,,,,1.100,0.760,0.420,1,0,,,,9,3,3,16,1
07-01 07:53:27,8.739,19.227,71.163,0.250,0,968048,2008288,162652,4678316,5660.106,1618.029,0,1482.195,0,107.869,2822,4701,1.100,0.760,0.420,2,0,381.535,0,0,9,3,3,16,1
07-01 07:53:28,11.502,18.253,69.510,0,0,974616,2001688,162656,4678344,5468.826,1756.265,0,216.033,0,18.003,2630,4209,1.100,0.760,0.420,1,0,372.056,0,0,9,3,3,16,1
07-01 07:53:29,16.988,15.239,66.702,0,0,977516,1998740,162656,4678384,6330.448,1618.836,0,15.989,0,3.997,4086,8128,1.100,0.760,0.420,3,0,237.829,0,0,9,3,3,16,1
07-01 07:53:30,8.762,9.514,80.114,0,0,1104196,1871832,162656,4803428,5537.880,1790.548,0,3188.537,0,6.009,3705,6447,1.100,0.760,0.420,1,0,101.144,0,0,10,5,3,16,1
07-01 07:53:31,15.992,10.495,72.714,0,0,1107520,1868572,162656,4803440,5942.065,1829.096,79.960,35.982,1.000,8.996,1840,2485,1.100,0.770,0.420,1,0,143.929,0,0,10,5,3,16,1
07-01 07:53:32,19.192,7.228,73.029,0.249,0,1165216,1810424,162684,4803864,8086.514,1615.109,0,2348.888,0,133.595,1762,2488,1.100,0.770,0.420,3,0,90.725,0,0,10,5,3,18,1
07-01 07:53:33,23.575,1.756,73.234,1.254,0,1206064,1768352,162808,4804840,5265.819,1631.210,0,3703.830,0,190.609,1915,3362,1.100,0.770,0.420,1,0,4.013,0,0,10,7,3,18,1
07-01 07:53:34,10.994,4.997,66.962,13.992,0,1209760,1757292,163460,4811512,5290.995,1619.080,0,27992.100,0,2497.581,10385,22991,1.100,0.770,0.420,1,0,45.974,0,0,10,7,3,18,1
07-01 07:53:35,19.255,9.253,63.768,7.752,0,1128140,1835540,163932,4814328,6486.829,1620.457,0,32181.075,0,2470.697,8529,21856,1.100,0.770,0.420,2,0,96.027,0,0,10,5,3,19,1
07-01 07:53:36,20.979,4.745,71.677,0.999,0,1195900,1767756,164044,4814220,6695.151,2742.195,0,20007.532,0,982.994,2391,4582,1.090,0.770,0.430,1,0,35.963,0,0,10,5,3,19,2
07-01 07:53:37,23.748,2.250,73.495,0.250,0,1143352,1820296,164048,4814328,9809.294,2556.816,0,567.959,0,25.998,1009,1251,1.090,0.770,0.430,2,0,9.999,0,0,10,5,3,18,2
07-01 07:53:38,23.744,2.499,72.982,0.250,0,1206068,1757548,164060,4814348,7672.120,1881.539,0,4722.843,0,235.942,1278,2268,1.090,0.770,0.430,3,0,2.000,0,0,10,5,3,18,2
07-01 07:53:39,17.006,9.753,72.024,0,0,1128172,1835444,164060,4814348,5972.025,1706.579,0,764.259,0,128.043,1860,2705,1.090,0.770,0.430,2,0,187.063,0,0,10,5,3,18,2
07-01 07:53:40,10.268,20.035,70.372,0,0,1128312,1835276,164060,4814376,4699.158,1514.629,0,44.077,0,11.019,3138,5273,1.090,0.770,0.430,1,0,481.836,0,0,10,5,3,18,2
07-01 07:53:41,34.233,14.743,49.225,0.250,0,1164704,1798372,164072,4815196,14917.541,2295.852,0,295.852,0,8.996,4869,9430,1.240,0.810,0.440,2,0,245.877,0,0,10,7,3,18,1
07-01 07:53:42,55.863,4.738,38.406,0.249,0,1297200,1665000,164096,4816128,323973.561,11526.805,0,969.628,0,20.949,1537,1524,1.240,0.810,0.440,2,0,3.990,0,0,10,7,3,18,2
07-01 07:53:43,51.903,5.015,42.876,0,0,1329128,1630572,164160,4818300,42817.311,12131.789,0,2535.480,0,77.228,2882,7432,1.240,0.810,0.440,2,0,66.195,0,0,10,6,3,18,2
07-01 07:53:44,14.218,2.993,80.817,0.249,0,1346956,1611936,164160,4818908,20607.242,12115.510,0,1057.600,0,36.916,1191,1823,1.240,0.810,0.440,2,0,52.880,0,0,10,6,3,18,2
07-01 07:53:45,26.033,4.005,68.837,0.751,0,1386316,1572144,164176,4819232,234832.533,14874.846,0,1978.507,0,59.075,1874,2455,1.240,0.810,0.440,4,0,23.029,0,0,10,6,3,18,2
07-01 07:53:46,35.249,3.000,60.498,0.750,0,1448004,1510264,164288,4819292,75926.570,10278.671,0,22911.267,0,107.997,1453,1698,1.300,0.830,0.450,2,0,0,0,0,10,6,3,18,2
07-01 07:53:47,30.248,6.000,61.747,1.250,0,1373920,1568240,164424,4834652,4833709.813,52474.219,0,7435.606,0,242.987,5149,6778,1.300,0.830,0.450,1,0,43.998,0,0,10,6,3,20,2
07-01 07:53:48,41.034,5.755,51.793,1.501,0,1433172,1488996,164976,4851572,402443.443,5048.220,0,4279.578,0,120.100,1989,2809,1.300,0.830,0.450,2,0,3.003,0,0,10,15,3,20,2
07-01 07:53:49,41.942,6.491,48.682,1.748,0,1433724,1457456,166136,4878112,6857.489,1617.756,231.679,4449.828,57.920,158.780,2281,3650,1.300,0.830,0.450,3,0,46.935,0,0,10,30,3,17,2
07-01 07:53:50,39.307,9.514,49.822,0.751,0,1422124,1441404,167184,4901952,9514.768,3644.273,0,2423.507,0,89.129,2233,3557,1.300,0.830,0.450,5,0,156.226,0,0,10,31,3,19,2
07-01 07:53:51,67.452,6.995,25.232,0.250,0,1472396,1405056,167244,4888228,9164.447,2338.328,0,35690.481,0,163.883,2243,3516,1.440,0.870,0.460,4,0,9.993,0,0,10,30,3,17,0
07-01 07:53:52,70.544,16.260,12.258,0,0,1452040,1424208,167268,4889404,6853.242,1621.003,0,2061.276,0,28.017,3942,37603,1.440,0.870,0.460,6,0,358.222,0,0,10,28,3,20,0
07-01 07:53:53,78.423,16.484,3.996,0,0,1606608,1269176,167268,4889776,8501.668,1618.414,0,1642.390,0,17.982,11256,22370,1.440,0.870,0.460,8,0,249.755,0,0,10,29,3,20,0
07-01 07:53:54,84.359,14.018,1.502,0,0,1455248,1420272,167308,4889976,5280.812,1622.092,0,5431.006,0,195.252,4659,8748,1.440,0.870,0.460,6,0,169.218,0,0,10,28,3,20,0
07-01 07:53:55,55.254,8.751,35.753,0.250,0,1368856,1506408,167316,4890096,8388.596,1626.115,0,388.028,0,35.002,2920,5654,1.440,0.870,0.460,5,0,164.012,0,0,10,28,3,21,0
07-01 07:53:56,24.203,5.739,68.866,0,0,1312624,1562620,167320,4890112,6375.549,1616.842,0,522.979,0,22.955,2167,3892,1.400,0.870,0.470,3,0,74.854,0,0,10,28,3,21,0
07-01 07:53:57,21.730,4.246,73.183,0.250,0,1369748,1505476,167324,4890124,7528.112,1712.433,0,119.890,0,7.993,1469,2235,1.400,0.870,0.470,2,0,44.959,0,0,10,28,3,21,0
07-01 07:53:58,14.530,14.280,70.146,0,0,1311596,1563612,167340,4890124,5233.860,1623.368,0,288.599,0,27.056,2838,4952,1.400,0.870,0.470,1,0,354.736,0,0,10,28,3,21,0
07-01 07:53:59,47.534,22.766,29.271,0,0,1442712,1432472,167340,4890148,6611.780,1621.172,0,244.177,0,23.017,3132,5545,1.400,0.870,0.470,5,0,692.501,0,0,10,28,3,20,0
07-01 07:54:00,82.241,9.249,8.249,0,0,1602204,1272744,167348,4890372,5605.361,1619.815,0,659.925,0,36.996,4737,9693,1.400,0.870,0.470,3,0,2.000,0,0,10,32,3,22,0
07-01 07:54:01,82.010,12.502,5.751,0,0,1440404,1434384,167400,4890472,7707.987,1620.207,0,960.123,0,99.013,3761,11485,1.770,0.950,0.500,6,0,182.023,0,0,10,28,3,23,0
07-01 07:54:02,85.495,11.499,2.750,0,0,1599532,1274620,167404,4891104,6602.597,1625.901,0,207.987,0,11.999,5028,11941,1.770,0.950,0.500,6,0,137.992,0,0,10,29,3,23,0
07-01 07:54:03,68.632,9.234,20.465,0,0,1432088,1441860,167408,4891276,7771.687,1617.230,0,4424.421,0,75.870,4818,9499,1.770,0.950,0.500,4,0,201.655,0,0,10,29,3,23,0
07-01 07:54:04,42.439,8.238,48.681,0.250,0,1394636,1479188,167420,4891384,5478.183,1617.692,0,383.453,0,29.957,3494,6607,1.770,0.950,0.500,3,0,102.853,0,0,10,28,3,26,0
07-01 07:54:05,44.389,13.793,41.129,0,0,1335836,1537932,167432,4891420,7200.567,1625.093,0,272.855,0,29.091,3300,8474,1.770,0.950,0.500,3,0,379.188,0,0,10,28,3,28,0
07-01 07:54:06,68.001,6.500,25.001,0,0,1489288,1384296,167432,4891604,5616.124,1620.036,0,9304.205,0,502.011,2322,4453,1.870,0.990,0.510,3,0,6.000,0,0,10,31,3,29,0
07-01 07:54:07,72.752,14.250,13.000,0,0,1463596,1410016,167440,4891780,6378.153,1780.043,0,632.015,0,54.001,4917,10094,1.870,0.990,0.510,4,0,266.006,0,0,10,28,4,32,0
07-01 07:54:08,68.435,10.740,19.232,0.250,0,1497244,1376120,167452,4892012,6254.071,1692.396,0,551.477,0,40.961,5417,13365,1.870,0.990,0.510,6,0,70.933,0,0,10,30,4,37,0
07-01 07:54:09,67.436,13.737,18.732,0,0,1482536,1390656,167456,4892180,6487.856,1618.467,0,243.769,0,11.989,1981,3687,1.870,0.990,0.510,4,0,258.755,0,0,10,28,4,37,0
07-01 07:54:10,58.541,12.509,27.519,0.250,0,1380360,1492760,167464,4892236,5514.855,1533.072,0,360.252,0,34.024,5808,12930,1.870,0.990,0.510,3,0,301.211,0,0,10,28,4,38,0
07-01 07:54:11,64.058,6.256,29.777,0.250,0,1498600,1374320,167464,4892436,5894.328,1621.466,0,424.384,0,37.033,3633,7155,1.960,1.020,0.520,3,0,4.004,0,0,10,31,4,40,0
07-01 07:54:12,63.342,13.965,21.696,0,0,1462576,1410316,167464,4892456,5244.924,1615.971,0,271.324,0,17.955,3262,6378,1.960,1.020,0.520,4,0,292.271,0,0,10,28,4,40,0
07-01 07:54:13,59.413,9.276,29.832,0,0.251,1360592,1511632,167468,4893084,6135.880,1624.469,0,445.225,0,45.124,5282,10967,1.960,1.020,0.520,4,0,112.309,0,0,10,28,4,39,0
07-01 07:54:14,66.217,6.997,26.487,0.250,0,1492544,1379360,167476,4893396,6039.017,1693.164,0,2534.748,0,167.917,3632,6891,1.960,1.020,0.520,3,0,6.997,0,0,10,30,4,40,0
07-01 07:54:15,76.288,16.008,7.504,0,0,1488964,1382916,167484,4893408,7260.638,1620.812,0,440.221,0,35.018,3948,8165,1.960,1.020,0.520,5,0,438.220,0,0,10,28,4,38,0
07-01 07:54:16,81.959,14.243,3.248,0,0,1453284,1418528,167492,4893464,43107.188,1619.181,0,1615.183,0,51.974,5264,10482,2.520,1.150,0.570,8,0,265.865,0,0,10,29,4,38,0
07-01 07:54:17,87.794,11.256,0.750,0,0,1590384,1281152,167496,4893724,6058.035,1512.758,0,556.279,0,22.011,2815,4943,2.520,1.150,0.570,6,0,207.104,0,0,10,29,4,38,0
07-01 07:54:18,78.029,15.706,5.235,0,0,1444240,1427116,167496,4893904,7410.037,1561.582,0,347.018,0,21.938,5073,13623,2.520,1.150,0.570,7,0,373.942,0,0,10,29,4,38,0
