Jun 10 15:03:44 jammy-provider-cloud-0000007191 systemd[1]: Started Devstack devstack@dstat.service.
Jun 10 15:03:44 jammy-provider-cloud-0000007191 dstat.sh[58762]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 10 15:03:44 jammy-provider-cloud-0000007191 dstat.sh[58762]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 10 15:03:44 jammy-provider-cloud-0000007191 dstat.sh[58762]: 10-06 15:03:44|                   | 997M 1936M  160M 4546M|           |           |           |           |1.56 0.87 0.46|5.0   0    |           |   0     0 |  9    4    0   17    2
Jun 10 15:03:45 jammy-provider-cloud-0000007191 dstat.sh[58762]: 10-06 15:03:45| 30  22  47   1   0| 991M 1934M  160M 4553M|5632B 1514B|1165k 3263k|14.0   111 |4069  7153 |1.58 0.88 0.47|4.5   0 623|   0     0 |   0     0 |  9    4    0   17    2
Jun 10 15:03:46 jammy-provider-cloud-0000007191 dstat.sh[58762]: 10-06 15:03:46| 33  21  44   1   0|1011M 1883M  161M 4580M|5478B 1512B|   0  4481k|7.01   132 |4730  8332 |1.60 0.89 0.47|7.0   0 495|   0     0 |   0     0 |  9    4    0   17    2
Jun 10 15:03:47 jammy-provider-cloud-0000007191 dstat.sh[58762]: 10-06 15:03:47| 30  11  57   1   0|1127M 1736M  162M 4728M|4297B 1024B|   0  4110k|   0   114 |4384  7422 |1.60 0.89 0.47|2.0   0  48|   0     0 |   0     0 | 10    4    0   17    2
Jun 10 15:03:48 jammy-provider-cloud-0000007191 dstat.sh[58762]: 10-06 15:03:48| 32  10  57   0   0|1060M 1815M  162M 4716M|  11k 4369B| 424k 1421k|4.00  39.0 |1854  2339 |1.60 0.89 0.47|3.0   0 113|   0     0 |   0     0 | 10    4    0   17    0
Jun 10 15:03:49 jammy-provider-cloud-0000007191 dstat.sh[58762]: 10-06 15:03:49| 41  12  46   1   0|1140M 1733M  162M 4717M|6300B 1569B| 309k   12M|15.0   898 |  11k   20k|1.60 0.89 0.47|2.0   0 191|   0     0 |   0     0 | 10    4    0   19    0
Jun 10 15:03:50 jammy-provider-cloud-0000007191 dstat.sh[58762]: 10-06 15:03:50| 47   5  47   0   0|1183M 1689M  162M 4718M|4760B  972B| 112k 3223k|4.00  12.0 |9526    19k|1.63 0.90 0.48|2.0   0  12|   0     0 |   0     0 | 10    4    0   19    0
Jun 10 15:03:51 jammy-provider-cloud-0000007191 dstat.sh[58762]: 10-06 15:03:51| 33   9  44  12   0|1172M 1690M  163M 4727M|5264B 1620B|   0    51M|   0  4055 |  14k   32k|1.63 0.90 0.48|3.0   0  72|   0     0 |   0     0 | 10    6    0   19    0
Jun 10 15:03:52 jammy-provider-cloud-0000007191 dstat.sh[58762]: 10-06 15:03:52| 45   5  47   2   0|1107M 1754M  163M 4728M|5016B 1459B|   0    14M|   0  1038 |4150  8639 |1.63 0.90 0.48|2.0   0  89|   0     0 |   0     0 | 10    4    0   19    0
Jun 10 15:03:53 jammy-provider-cloud-0000007191 dstat.sh[58762]: 10-06 15:03:53| 34   2  63   0   0|1129M 1732M  163M 4728M|6615B 1617B|   0   683k|   0  26.9 |1237  1509 |1.63 0.90 0.48|1.0   0  50|   0     0 |   0     0 | 10    4    0   19    0
