"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","jammy-provider-cloud-0000007415",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","26 Jul 2024 09:34:28 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
26-07 09:34:28,,1041080,1919328,160944,4696112,,,,,,,1.880,0.910,0.460,2,0,,,,9,7,3,17,0
26-07 09:34:29,38.758,20.504,39.508,1.250,0,1070072,1865948,161020,4719840,3360858.698,45999.522,4496.931,6901.429,47.010,160.033,5123,7937,1.880,0.910,0.460,2,1,659.136,0,0,9,5,3,17,1
26-07 09:34:30,47.423,23.712,27.456,0.499,0,1089004,1838956,161028,4727968,11614.220,2999.150,7268.247,830.657,85.861,47.923,4087,9979,1.880,0.910,0.460,2,0,488.211,0,0,9,5,3,17,2
26-07 09:34:31,41.697,13.733,43.694,0,0,1208160,1716328,161096,4855676,941764.076,15389.425,1162.521,2916.290,13.982,36.953,5014,6648,1.880,0.910,0.460,2,0,107.863,0,0,10,4,3,17,2
26-07 09:34:32,52.906,11.785,34.101,1.003,0,1233108,1660520,161512,4883128,12498.909,3610.662,0,3731.018,0,125.370,2106,2919,1.890,0.930,0.470,3,0,119.352,0,0,10,7,3,17,2
26-07 09:34:33,42.668,10.230,45.163,1.747,0,1265868,1591420,162808,4914656,709529.541,16832.748,79.847,7617.405,0.998,436.164,3627,4712,1.890,0.930,0.470,2,0,171.671,0,0,10,8,3,19,2
26-07 09:34:34,52.596,4.258,42.077,0.501,0,1207472,1655644,163484,4906680,275584.114,11786.475,4.007,5878.711,1.002,160.292,2220,2920,1.890,0.930,0.470,3,0,4.007,0,0,10,6,3,19,0
26-07 09:34:35,55.499,8.500,25.249,9.500,0,1284460,1568380,164428,4915932,9056.774,2871.928,0,51550.711,0,4028.899,18909,42643,1.890,0.930,0.470,2,1,87.998,0,0,10,7,3,19,0
26-07 09:34:36,48.195,9.489,40.204,0.499,0,1252256,1599124,164528,4917192,602566.856,14186.728,0,11942.302,0,372.573,10911,21393,1.890,0.930,0.470,2,0,87.899,0,0,10,6,3,19,0
26-07 09:34:37,46.793,4.254,48.544,0,0,1242484,1608072,164532,4917888,376630.357,8425.659,0,1165.059,0,34.031,1707,1672,2.060,0.980,0.490,2,0,12.011,0,0,10,6,3,19,0
26-07 09:34:38,58.406,6.739,33.946,0.499,0,1183232,1667296,164556,4917864,7359.203,1857.023,0,7823.459,0,380.390,2136,3286,2.060,0.980,0.490,2,0,63.898,0,0,10,4,3,19,0
26-07 09:34:39,35.549,5.007,59.333,0,0,1089876,1758880,164572,4919596,924107.433,15891.105,0,1405.956,0,26.036,1969,2251,2.060,0.980,0.490,1,0,110.153,0,0,10,4,3,19,0
26-07 09:34:40,10.492,17.986,69.946,0,0,1090208,1758480,164572,4919624,6603.948,1660.730,0,27.979,0,6.995,2853,4514,2.060,0.980,0.490,1,0,392.700,0,0,10,4,3,19,0
26-07 09:34:41,15.755,17.505,66.770,0,0,1093624,1754716,164572,4920256,6688.987,1660.493,0,248.074,0,12.004,4548,9093,2.060,0.980,0.490,1,0,288.086,0,0,10,4,3,19,0
26-07 09:34:42,42.964,8.243,47.710,0,0,1205696,1642600,164572,4920392,9085.341,1618.635,0,0,0,0,2137,3097,1.970,0.980,0.500,2,0,129.891,0,0,10,5,3,19,0
26-07 09:34:43,46.502,4.000,49.002,0,0,1266788,1580692,164592,4921176,8635.440,1620.083,0,724.037,0,82.004,1250,1367,1.970,0.980,0.500,2,0,0,0,0,10,5,3,19,0
26-07 09:34:44,25.965,9.238,65.162,0,0,1288588,1556324,164636,4923308,5160.049,1659.764,0,615.171,0,55.925,1772,5982,1.970,0.980,0.500,0,0,117.841,0,0,10,4,3,20,0
26-07 09:34:45,0.501,0.250,97.610,0,0.250,1288708,1556188,164636,4923324,6335.165,1513.712,0,1005.137,0,10.011,738,1360,1.970,0.980,0.500,0,0,0,0,0,10,4,3,18,0
26-07 09:34:46,15.997,2.250,80.734,0.500,0,1324844,1520092,164644,4923332,41133.061,1619.687,0,779.849,0,29.994,1321,1644,1.970,0.980,0.500,1,0,20.996,0,0,10,4,3,18,0
26-07 09:34:47,24.729,1.749,73.688,0,0,1373028,1471652,164644,4923504,4960.793,1692.565,0,11350.375,0,98.916,1036,1212,1.890,0.980,0.500,1,0,0,0,0,10,4,3,14,0
26-07 09:34:48,22.819,3.260,72.219,1.003,0,1307448,1537116,164688,4923572,8442.640,1699.160,0,4024.222,0,319.972,2938,5557,1.890,0.980,0.500,1,0,45.137,0,0,10,4,3,16,0
26-07 09:34:49,22.954,3.243,73.102,0.249,0,1345116,1498848,164696,4924116,5211.447,1636.686,183.628,1672.613,45.907,14.970,1589,2435,1.890,0.980,0.500,1,0,0.998,0,0,10,16,3,17,0
26-07 09:34:50,22.227,3.746,72.926,0.250,0,1330676,1513120,164700,4924200,5471.430,1692.277,47.951,351.642,11.988,7.992,1478,2109,1.890,0.980,0.500,1,0,44.954,0,0,10,28,3,17,0
26-07 09:34:51,25.297,8.766,65.623,0,0,1336976,1506796,164704,4924212,7801.597,1623.037,0,12.022,0,3.006,1883,2807,1.890,0.980,0.500,2,0,156.292,0,0,10,28,3,17,0
26-07 09:34:52,45.791,6.506,47.543,0,0,1414176,1429312,164708,4924412,5192.663,1513.359,0,38670.726,0,219.197,3077,6107,1.900,1,0.510,2,0,0,0,0,10,30,3,18,0
26-07 09:34:53,65.514,16.504,17.754,0,0,1465132,1378176,164712,4924584,5848.292,1620.358,0,120.027,0,23.005,3249,6486,1.900,1,0.510,5,0,457.101,0,0,10,28,3,18,0
26-07 09:34:54,82.963,12.244,4.748,0,0,1615700,1227276,164736,4924872,5873.345,1693.235,0,203.908,0,18.991,6514,14394,1.900,1,0.510,6,0,120.945,0,0,10,29,3,18,0
26-07 09:34:55,54.991,10.748,33.994,0,0,1427372,1415384,164740,4925008,5268.131,1619.733,0,255.958,0,29.995,3178,6049,1.900,1,0.510,2,0,199.967,0,0,10,29,3,18,0
26-07 09:34:56,22.456,6.487,70.113,0,0,1357312,1485424,164748,4925020,6040.234,1616.850,0,175.658,0,16.967,1977,3332,1.900,1,0.510,1,0,109.786,0,0,10,28,3,18,0
26-07 09:34:57,20.489,5.247,72.212,0.500,0,1335272,1507636,164760,4925032,6608.478,1565.166,0,21920.316,0,595.683,2573,4319,1.830,1,0.510,1,0,67.964,0,0,10,28,3,20,0
26-07 09:34:58,23.512,2.751,72.537,0,0,1379016,1463888,164776,4925020,6383.243,1620.823,0,188.096,0,22.011,1851,3323,1.830,1,0.510,1,0,2.001,0,0,10,28,3,21,0
26-07 09:34:59,10.267,19.533,69.618,0,0,1317844,1524884,164784,4925188,8430.348,1514.578,0,212.361,0,10.017,2971,4314,1.830,1,0.510,2,0,467.796,0,0,10,28,3,21,0
26-07 09:35:00,66.058,20.518,13.262,0,0,1510796,1331836,164784,4925268,6300.570,1621.433,0,2534.240,0,35.031,2706,4571,1.830,1,0.510,5,0,571.505,0,0,10,28,3,21,0
26-07 09:35:01,82.244,9.999,7.749,0,0,1558940,1283120,164808,4925796,6407.507,1619.875,0,1099.915,0,79.994,5590,15354,1.830,1,0.510,5,0,4.000,0,0,10,29,3,22,0
26-07 09:35:02,83.008,14.251,3.000,0.250,0,1499676,1342316,164828,4925840,5265.479,1694.154,0,22710.067,0,119.011,3472,7772,2.080,1.070,0.530,6,0,205.019,0,0,10,28,3,22,0
26-07 09:35:03,81.969,10.746,5.748,0,0,1632500,1209260,164828,4926096,7131.304,1619.388,0,183.930,0,9.996,6163,15688,2.080,1.070,0.530,7,0,100.962,0,0,10,29,3,22,0
26-07 09:35:04,65.761,11.752,21.754,0,0,1375740,1465480,164832,4926624,5662.917,1662.269,0,356.058,0,27.004,5456,12720,2.080,1.070,0.530,2,0,217.035,0,0,10,29,3,21,0
26-07 09:35:05,44.242,6.999,48.741,0,0,1424144,1417060,164836,4926636,5404.989,1619.697,0,327.939,0,23.996,2407,4015,2.080,1.070,0.530,2,0,80.985,0,0,10,28,3,22,0
26-07 09:35:06,57.263,15.254,28.006,0,0,1409428,1431440,164836,4926964,5279.219,1500.347,0,328.076,0,27.006,3307,8326,2.080,1.070,0.530,5,0,378.087,0,0,10,28,3,22,0
26-07 09:35:07,63.005,6.751,29.752,0,0,1506376,1333860,164848,4927484,6054.509,1620.136,0,50908.276,0,154.013,4318,8892,2.160,1.100,0.550,6,0,0,0,0,10,29,3,23,0
26-07 09:35:08,80.008,14.751,5.000,0.250,0,1533632,1306460,164852,4927624,6295.592,1620.152,0,376.035,0,32.003,2541,4215,2.160,1.100,0.550,4,0,260.024,0,0,10,28,3,23,0
26-07 09:35:09,65.941,11.989,21.481,0,0,1513740,1326124,164856,4927668,8814.155,1618.559,0,455.595,0,37.966,6765,17507,2.160,1.100,0.550,6,0,227.797,0,0,10,29,4,25,0
26-07 09:35:10,72.564,11.510,16.765,0,0,1493836,1345844,164856,4928024,7245.405,1621.433,0,200.177,0,9.008,2392,4121,2.160,1.100,0.550,3,0,130.115,0,0,10,28,3,25,0
26-07 09:35:11,71.498,14.250,14.750,0,0,1420944,1418516,164872,4928216,7051.774,1693.946,0,539.983,0,51.998,4128,11568,2.160,1.100,0.550,4,0,298.990,0,0,10,28,4,26,0
26-07 09:35:12,63.251,7.000,28.751,0.250,0,1448664,1390576,164872,4928432,4378.088,1694.034,0,6568.131,0,126.003,4333,9873,2.220,1.130,0.560,3,0,52.001,0,0,10,29,4,28,0
26-07 09:35:13,69.110,12.724,17.964,0,0,1494616,1344568,164872,4928488,4710.480,1455.059,0,243.508,0,12.974,2104,3849,2.220,1.130,0.560,3,0,234.526,0,0,10,28,4,28,0
26-07 09:35:14,61.552,9.258,28.524,0.250,0,1408792,1430176,164892,4928680,5216.392,1695.428,0,396.334,0,41.035,3807,8797,2.220,1.130,0.560,3,0,112.094,0,0,10,28,4,29,0
26-07 09:35:15,66.511,8.968,25.160,0.249,0,1447768,1391116,164892,4928756,5758.328,1839.397,0,565.968,0,39.857,3657,8726,2.220,1.130,0.560,6,0,59.785,0,0,10,29,5,29,0
26-07 09:35:16,80.628,16.075,3.516,0,0,1532336,1306368,164896,4928928,41453.250,1701.975,0,421.977,0,36.169,2779,4656,2.220,1.130,0.560,7,0,395.855,0,0,10,29,5,29,0
26-07 09:35:17,82.250,15.000,2.250,0,0,1490444,1347848,164904,4929328,6241.969,1619.992,0,1819.991,0,56.000,5627,10920,2.530,1.210,0.590,9,0,256.999,0,0,10,28,5,29,0
26-07 09:35:18,84.503,13.501,1.500,0,0,1551596,1286644,164904,4929368,4579.179,1768.069,0,304.012,0,23.001,2901,5069,2.530,1.210,0.590,6,0,220.009,0,0,10,28,5,26,0
