Jul 10 13:42:57 jammy-provider-cloud-0000007324 systemd[1]: Started Devstack devstack@dstat.service.
Jul 10 13:42:57 jammy-provider-cloud-0000007324 dstat.sh[57703]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 10 13:42:57 jammy-provider-cloud-0000007324 dstat.sh[57703]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 10 13:42:57 jammy-provider-cloud-0000007324 dstat.sh[57703]: 10-07 13:42:57|                   |1019M 1906M  157M 4555M|           |           |           |           |1.31 0.89 0.48|1.0   0    |           |   0     0 |  9    8    0   17    0
Jul 10 13:42:58 jammy-provider-cloud-0000007324 dstat.sh[57703]: 10-07 13:42:58| 44  20  35   1   0|1018M 1905M  157M 4556M| 975k   22k|   0  4132k|   0   125 |4514  7472 |1.31 0.89 0.48|2.0   0 665|   0     0 |   0     0 |  9    7    0   17    0
Jul 10 13:42:59 jammy-provider-cloud-0000007324 dstat.sh[57703]: 10-07 13:42:59| 42  20  38   1   0| 980M 1922M  157M 4576M|4744k   50k|   0  7404k|   0   123 |5409  9116 |1.37 0.91 0.49|5.0   0 496|   0     0 |   0     0 |  9    5    0   17    1
Jul 10 13:43:00 jammy-provider-cloud-0000007324 dstat.sh[57703]: 10-07 13:43:00| 22  15  61   1   0|1135M 1755M  157M 4710M|4911B 1757B|  12M  104k| 133  19.1 |3771  6584 |1.37 0.91 0.49|1.0   0 114|   0     0 |   0     0 | 10    4    0   17    2
Jul 10 13:43:01 jammy-provider-cloud-0000007324 dstat.sh[57703]: 10-07 13:43:01| 30  18  51   0   0|1137M 1753M  157M 4710M|4900B 1621B|  80k  176k|1.00  31.0 |2623  3730 |1.37 0.91 0.49|4.0   0 308|   0     0 |   0     0 | 10    6    0   17    2
Jul 10 13:43:02 jammy-provider-cloud-0000007324 dstat.sh[57703]: 10-07 13:43:02| 41   8  50   1   0|1166M 1704M  158M 4728M|5072B 1714B|1164k 5848k|14.0  94.0 |1887  2846 |1.37 0.91 0.49|3.0   0  75|   0     0 |   0     0 | 10    6    0   19    2
Jul 10 13:43:03 jammy-provider-cloud-0000007324 dstat.sh[57703]: 10-07 13:43:03| 42   6  49   4   0|1232M 1612M  159M 4750M|5261B 1714B|   0  9976k|   0   537 |3011  6044 |1.37 0.91 0.49|3.0   0  10|   0     0 |   0     0 | 10    8    0   19    2
Jul 10 13:43:04 jammy-provider-cloud-0000007324 dstat.sh[57703]: 10-07 13:43:04| 35   7  44  14   0|1226M 1579M  161M 4783M|9439B 2736B|   0    61M|   0  4254 |  14k   33k|1.42 0.93 0.50|3.0   0  62|   0     0 |   0     0 | 10    9    0   19    2
Jul 10 13:43:05 jammy-provider-cloud-0000007324 dstat.sh[57703]: 10-07 13:43:05| 40   8  51   1   0|1134M 1686M  161M 4768M|6821B 3336B|   0  8937k|   0   507 |2622  4606 |1.42 0.93 0.50|3.0   0  81|   0     0 |   0     0 | 10    4    0   19    0
Jul 10 13:43:06 jammy-provider-cloud-0000007324 dstat.sh[57703]: 10-07 13:43:06| 46   7  47   0   0|1179M 1640M  161M 4769M|5858B 1620B|   0    84k|   0  1.00 |9194    18k|1.42 0.93 0.50|3.0   0  13|   0     0 |   0     0 | 10    4    0   19    0
Jul 10 13:43:07 jammy-provider-cloud-0000007324 dstat.sh[57703]: 10-07 13:43:07| 45   7  45   0   0|1126M 1693M  161M 4769M|4738B 1456B|   0  8882k|   0   210 |9478    19k|1.42 0.93 0.50|2.0   0  23|   0     0 |   0     0 | 10    4    0   19    0
