Nov 29 15:33:41 jammy-provider-cloud-0000007757 systemd[1]: Started Devstack devstack@dstat.service.
Nov 29 15:33:41 jammy-provider-cloud-0000007757 dstat.sh[58334]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Nov 29 15:33:41 jammy-provider-cloud-0000007757 dstat.sh[58334]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Nov 29 15:33:41 jammy-provider-cloud-0000007757 dstat.sh[58334]: 29-11 15:33:41|                   |1026M 1850M  160M 4597M|           |           |           |           |1.72 1.00 0.52|2.0   0    |           |   0     0 |  9    8    6   17    0
Nov 29 15:33:42 jammy-provider-cloud-0000007757 dstat.sh[58334]: 29-11 15:33:42| 20  18  61   0   0|1004M 1870M  160M 4598M|1280k   25k|   0  3769k|   0   109 |4013  6622 |1.72 1.00 0.52|1.5   0 532|   0     0 |   0     0 |  9    6    6   16    0
Nov 29 15:33:43 jammy-provider-cloud-0000007757 dstat.sh[58334]: 29-11 15:33:43| 26  18  54   0   0| 998M 1875M  160M 4600M|  54k   13k|   0  1752k|   0  91.0 |4030  7252 |1.72 1.00 0.52|2.0   0 467|   0     0 |   0     0 |  9    4    6   16    2
Nov 29 15:33:44 jammy-provider-cloud-0000007757 dstat.sh[58334]: 29-11 15:33:44| 31  14  53   1   0|1125M 1725M  160M 4743M| 915k   17k|   0  3979k|   0  97.1 |5481    11k|1.67 1.00 0.52|2.0   0 167|   0     0 |   0     0 | 10    6    5   16    2
Nov 29 15:33:45 jammy-provider-cloud-0000007757 dstat.sh[58334]: 29-11 15:33:45| 35  13  49   1   0|1139M 1680M  161M 4770M|8219B 1619B|  80k 3834k|1.00   180 |2782  4256 |1.67 1.00 0.52|2.0   0 219|   0     0 |   0     0 | 10    6    5   18    2
Nov 29 15:33:46 jammy-provider-cloud-0000007757 dstat.sh[58334]: 29-11 15:33:46| 44   6  50   1   0|1198M 1588M  162M 4798M|6948B 1756B|   0  5611k|   0   133 |1494  2316 |1.67 1.00 0.52|2.0   0   0|   0     0 |   0     0 | 10    6    5   18    2
Nov 29 15:33:47 jammy-provider-cloud-0000007757 dstat.sh[58334]: 29-11 15:33:47| 38   4  53   4   0|1166M 1630M  163M 4788M|  11k 4358B|   0    17M|   0  1260 |4785    11k|1.67 1.00 0.52|7.0   0  22|   0     0 |   0     0 | 10    6    5   18    0
Nov 29 15:33:48 jammy-provider-cloud-0000007757 dstat.sh[58334]: 29-11 15:33:48| 36  11  43   8   0|1103M 1686M  163M 4794M|4142B 1459B|   0    47M|   0  3515 |  18k   41k|1.67 1.00 0.52|2.0   0 106|   0     0 |   0     0 | 10    4    5   18    0
Nov 29 15:33:49 jammy-provider-cloud-0000007757 dstat.sh[58334]: 29-11 15:33:49| 46   8  46   0   0|1172M 1616M  163M 4794M|8505B 1619B|   0  7897k|   0   383 |9354    19k|1.69 1.02 0.53|2.0   0  48|   0     0 |   0     0 | 10    4    5   18    0
Nov 29 15:33:50 jammy-provider-cloud-0000007757 dstat.sh[58334]: 29-11 15:33:50| 47   3  49   0   0|1091M 1697M  163M 4794M|6454B 1707B|   0   852k|   0  28.9 |1308  1480 |1.69 1.02 0.53|3.0   0  23|   0     0 |   0     0 | 10    4    5   18    0
Nov 29 15:33:51 jammy-provider-cloud-0000007757 dstat.sh[58334]: 29-11 15:33:51| 34   4  61   0   0|1136M 1652M  163M 4794M|5043B 1622B|   0  5839k|   0   360 |1847  3035 |1.69 1.02 0.53|3.0   0  50|   0     0 |   0     0 | 10    4    5   18    0
Nov 29 15:33:52 jammy-provider-cloud-0000007757 dstat.sh[58334]: 29-11 15:33:52| 17  10  73   0   0|1055M 1733M  163M 4794M|7598B 1623B|   0   220k|   0  11.0 |1899  2771 |1.69 1.02 0.53|2.0   0 192|   0     0 |   0     0 | 10    4    5   18    0
