Sep 11 20:05:54 jammy-provider-cloud-0000007615 systemd[1]: Started Devstack devstack@dstat.service.
Sep 11 20:05:54 jammy-provider-cloud-0000007615 dstat.sh[59010]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 11 20:05:54 jammy-provider-cloud-0000007615 dstat.sh[59010]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 11 20:05:54 jammy-provider-cloud-0000007615 dstat.sh[59010]: 11-09 20:05:54|                   |1013M 1875M  160M 4584M|           |           |           |           |0.68 0.51 0.34|4.0   0    |           |   0     0 |  9    4    1   17    2
Sep 11 20:05:55 jammy-provider-cloud-0000007615 dstat.sh[59010]: 11-09 20:05:55| 39  19  41   0   0|1026M 1858M  160M 4588M|  65k   14k|   0  3611k|   0   164 |3394  5312 |0.68 0.51 0.34|3.5   0 417|   0     0 |   0     0 |  9    4    1   17    2
Sep 11 20:05:56 jammy-provider-cloud-0000007615 dstat.sh[59010]: 11-09 20:05:56| 30  20  50   0   0|1021M 1853M  161M 4599M|1392k   22k|   0  3844k|   0   161 |3442  5194 |0.68 0.51 0.34|6.0   0 399|   0     0 |   0     0 |  9    4    1   17    2
Sep 11 20:05:57 jammy-provider-cloud-0000007615 dstat.sh[59010]: 11-09 20:05:57| 35  18  45   0   0|1043M 1829M  161M 4600M| 155k 7524B|   0   448k|   0  13.0 |5660  8501 |0.94 0.57 0.36|5.0   0 243|   0     0 |   0     0 |  9    5    1   17    2
Sep 11 20:05:58 jammy-provider-cloud-0000007615 dstat.sh[59010]: 11-09 20:05:58| 24   7  68   0   0|1154M 1716M  161M 4724M|1342k   21k|   0  1869k|   0  18.0 |3225  4020 |0.94 0.57 0.36|2.0   0  43|   0     0 |   0     0 | 10    4    1   17    2
Sep 11 20:05:59 jammy-provider-cloud-0000007615 dstat.sh[59010]: 11-09 20:05:59| 36  10  54   0   0|1171M 1698M  161M 4725M| 137k 8926B|  80k  677k|1.00  27.0 |2093  2700 |0.94 0.57 0.36|2.0   0 135|   0     0 |   0     0 | 10    8    1   17    2
Sep 11 20:06:00 jammy-provider-cloud-0000007615 dstat.sh[59010]: 11-09 20:06:00| 51  18  29   1   0|1223M 1631M  161M 4739M|1305k   16k|  12M 5771k| 133  57.0 |3258  4197 |0.94 0.57 0.36|3.0   0 239|   0     0 |   0     0 | 10    6    1   19    2
Sep 11 20:06:01 jammy-provider-cloud-0000007615 dstat.sh[59010]: 11-09 20:06:01| 56   8  34   0   0|1295M 1556M  161M 4741M| 134k 6993B| 988k 2839k|11.0  41.0 |1903  2020 |0.94 0.57 0.36|4.0   0  79|   0     0 |   0     0 | 10    8    1   19    2
Sep 11 20:06:02 jammy-provider-cloud-0000007615 dstat.sh[59010]: 11-09 20:06:02| 52  11  26  11   0|1272M 1544M  163M 4772M|2214k   21k| 176k   41M|3.00  3430 |  12k   28k|1.11 0.61 0.38|2.0 1.0  60|   0     0 |   0     0 | 10    8    1   19    2
Sep 11 20:06:03 jammy-provider-cloud-0000007615 dstat.sh[59010]: 11-09 20:06:03| 53  11  31   4   0|1239M 1554M  164M 4792M| 160k 7419B|   0    46M|   0  3137 |7391    17k|1.11 0.61 0.38|3.0   0  93|   0     0 |   0     0 | 10    8    1   19    2
