"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","jammy-provider-cloud-0000007523",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","21 Aug 2024 18:49:29 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
21-08 18:49:29,,1058188,1885344,162588,4710936,,,,,,,1.470,0.880,0.420,4,0,,,,9,7,4,18,1
21-08 18:49:30,44.436,22.717,31.205,1.248,0,1068588,1849536,162632,4735708,508245.127,15753.315,11435.533,3674.708,129.813,127.816,4627,7907,1.470,0.880,0.420,4,0,680.021,0,0,9,4,4,18,2
21-08 18:49:31,43.513,23.757,32.260,0.500,0,1092372,1820312,162684,4741260,2399978.593,28857.917,324.100,4229.307,3.001,64.020,6867,14337,1.670,0.930,0.440,5,0,446.138,0,0,9,4,4,17,2
21-08 18:49:32,32.980,16.240,49.470,0.250,0,1152200,1747668,162768,4877576,5511.638,1619.012,1163.290,967.410,13.991,33.979,5142,9770,1.670,0.930,0.440,3,0,171.895,0,0,10,6,4,17,2
21-08 18:49:33,38.207,11.487,48.945,0.999,0,1185600,1689776,163396,4898164,6623.555,1618.181,79.910,4966.418,0.999,199.775,2818,4393,1.670,0.930,0.440,3,1,199.775,0,0,10,6,4,19,2
21-08 18:49:34,42.999,5.750,49.499,0.500,0,1250024,1591728,164824,4926372,6487.831,1607.958,0,5015.870,0,119.997,1602,2131,1.670,0.930,0.440,3,1,2.000,0,0,10,6,4,19,2
21-08 18:49:35,39.273,7.504,44.777,7.504,0,1194200,1653028,165500,4919908,11458.795,4357.584,0,28496.899,0,2342.389,9028,21549,1.670,0.930,0.440,2,2,77.046,0,0,10,6,4,19,0
21-08 18:49:36,39.029,8.701,42.261,7.458,0,1124472,1717748,166084,4924360,5271.186,1769.989,0,48008.464,0,3655.325,18399,39754,1.700,0.950,0.450,5,0,119.325,0,0,10,4,4,19,0
21-08 18:49:37,45.267,8.550,46.273,0,0,1202164,1639872,166084,4924508,4792.303,1629.625,0,2032.001,0,4.024,8938,17700,1.700,0.950,0.450,4,0,13.077,0,0,10,4,4,19,0
