"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","jammy-provider-cloud-0000007559",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","02 Sep 2024 09:07:40 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
02-09 09:07:40,,1054688,1908600,163168,4691036,,,,,,,1.560,1.030,0.520,1,0,,,,9,5,3,17,2
02-09 09:07:41,30.737,27.988,39.484,1.499,0,1065912,1879620,163260,4708308,2698608.680,31975.666,11771.091,5125.863,132.945,102.957,5229,7503,1.560,1.030,0.520,3,0,570.762,0,0,9,4,3,17,2
02-09 09:07:42,46.756,27.254,25.504,0,0,1084604,1860156,163264,4708824,6758.933,1736.240,0,580.080,0,42.006,4237,7384,1.560,1.030,0.520,3,0,531.073,0,0,9,4,3,17,2
02-09 09:07:43,39.418,14.470,42.661,0.748,0,1202236,1717356,163628,4856180,2396023.064,27669.503,1161.586,5285.018,13.971,82.828,6012,9356,1.830,1.090,0.540,2,0,101.788,0,0,10,6,3,17,2
02-09 09:07:44,27.309,8.518,63.136,1.503,0,1167644,1730428,164584,4874512,6274.503,1972.244,0,4313.282,0,176.380,1875,2991,1.830,1.090,0.540,2,0,76.164,0,0,10,6,3,17,2
02-09 09:07:45,36.241,13.747,47.988,0.750,0,1152812,1716212,165592,4899448,6222.507,1918.540,79.981,6258.498,1.000,104.975,2218,3302,1.830,1.090,0.540,1,0,174.958,0,0,10,9,3,17,2
02-09 09:07:46,40.474,6.496,52.966,0.250,0,1138196,1744484,165616,4885912,11457.553,3891.471,0,1463.049,0,35.977,1549,2020,1.830,1.090,0.540,2,0,40.973,0,0,10,4,3,19,0
02-09 09:07:47,44.040,7.006,45.792,2.002,0,1185228,1693344,165764,4889704,9742.866,1621.476,0,9933.039,0,496.452,10473,21756,1.830,1.090,0.540,2,0,25.023,0,0,10,6,3,19,0
02-09 09:07:48,35.495,9.999,44.244,9.499,0,1163804,1706616,166392,4896932,6468.153,1619.788,0,35123.399,0,3307.567,19017,41334,1.850,1.110,0.550,3,1,66.991,0,0,10,6,3,19,0
02-09 09:07:49,39.681,10.482,46.170,2.496,0,1118704,1751104,166652,4897200,6883.092,1617.202,0,23495.353,0,1593.244,5424,10939,1.850,1.110,0.550,3,0,92.839,0,0,10,4,3,19,0
02-09 09:07:50,30.713,4.495,63.922,0,0,1145736,1724052,166660,4897208,6959.516,1618.028,0,1246.481,0,42.948,1356,1721,1.850,1.110,0.550,2,0,49.939,0,0,10,4,3,19,0
02-09 09:07:51,22.775,3.003,72.581,0.751,0,1109072,1760716,166704,4897164,10248.437,1715.915,0,7035.852,0,375.419,1789,2959,1.850,1.110,0.550,1,0,10.011,0,0,10,4,3,17,0
02-09 09:07:52,24.235,1.999,72.704,0.750,0,1160788,1708952,166708,4897208,6637.785,1511.040,0,6579.822,0,308.804,1388,2188,1.850,1.110,0.550,1,0,0,0,0,10,4,3,17,0
02-09 09:07:53,13.773,14.024,71.872,0.250,0,1080724,1788956,166712,4897228,6829.610,1622.759,0,777.321,0,77.131,2033,2766,1.780,1.110,0.550,1,0,185.315,0,0,10,4,3,13,0
02-09 09:07:54,9.254,20.508,69.278,0,0,1069584,1800080,166712,4897244,5339.125,1608.640,0,20.008,0,5.002,2368,3406,1.780,1.110,0.550,2,0,280.111,0,0,10,4,3,13,0
02-09 09:07:55,9.252,20.004,69.015,0,0,1069288,1800196,166712,4897404,5457.151,1620.342,0,148.031,0,10.002,2345,3323,1.780,1.110,0.550,3,0,258.054,0,0,10,4,3,13,0
02-09 09:07:56,29.760,17.005,52.017,0,0,1112048,1757232,166712,4897924,4844.550,1706.546,0,0,0,0,5409,9069,1.780,1.110,0.550,3,0,195.062,0,0,10,4,3,13,0
02-09 09:07:57,46.943,4.245,48.941,0,0,1218404,1650488,166736,4898272,5436.400,1618.036,0,399.515,0,38.953,1172,1289,1.780,1.110,0.550,2,0,1.998,0,0,10,5,3,13,0
02-09 09:07:58,50.787,7.505,40.780,0,0,1255980,1610064,166860,4900860,4854.539,1695.236,0,1537.121,0,100.073,1927,8711,1.960,1.150,0.570,3,0,34.025,0,0,10,5,3,14,0
02-09 09:07:59,3.740,7.978,86.764,0.249,0,1250856,1614432,166876,4901192,8553.725,1507.897,0,1368.277,0,47.870,1675,2682,1.960,1.150,0.570,2,0,117.680,0,0,10,4,3,14,0
02-09 09:08:00,14.279,4.008,80.412,0,0,1294396,1570892,166904,4901164,7777.703,1623.277,0,28305.148,0,623.258,1618,1558,1.960,1.150,0.570,1,0,21.042,0,0,10,4,3,13,0
02-09 09:08:01,23.999,1.500,73.998,0,0,1348800,1516264,166904,4901376,10855.696,1619.955,0,0,0,0,974,1150,1.960,1.150,0.570,1,0,0,0,0,10,4,3,13,0
02-09 09:08:02,19.962,6.488,71.114,0.998,0,1272560,1592452,166940,4901432,6830.892,1563.001,0,3014.216,0,240.538,2844,5252,1.960,1.150,0.570,1,0,42.918,0,0,10,4,3,14,0
02-09 09:08:03,22.979,2.498,73.931,0,0,1324192,1540540,166940,4901624,8332.268,1618.498,0,4204.099,0,141.868,1110,1618,1.880,1.150,0.570,1,0,0.999,0,0,10,11,3,14,0
02-09 09:08:04,21.740,4.748,72.717,0.500,0,1304820,1559632,166940,4901884,7263.666,1619.257,231.894,555.745,57.973,7.996,1788,2728,1.880,1.150,0.570,2,0,44.979,0,0,10,28,3,14,0
02-09 09:08:05,19.332,7.532,72.308,0,0,1281112,1583336,166940,4901888,6059.821,1721.335,0,19041.134,0,38.163,1595,2256,1.880,1.150,0.570,4,0,63.270,0,0,10,28,3,14,0
02-09 09:08:06,40.936,9.735,48.674,0,0,1403268,1461080,166940,4901924,5749.009,1509.639,0,12736.081,0,28.955,1956,2663,1.880,1.150,0.570,5,0,92.855,0,0,10,29,3,14,0
02-09 09:08:07,48.086,18.533,32.308,0.250,0,1381992,1482116,166940,4902116,7235.931,1622.900,0,1670.986,0,27.048,4576,9227,1.880,1.150,0.570,6,0,398.712,0,0,10,28,3,16,0
02-09 09:08:08,83.992,13.749,2.500,0,0,1567200,1296692,166940,4902324,5744.460,1693.841,0,19.998,0,4.000,3369,7613,2.210,1.230,0.600,7,0,181.983,0,0,10,30,3,16,0
02-09 09:08:09,69.098,10.227,20.455,0,0,1421752,1441920,166948,4902524,5927.935,1690.275,0,598.681,0,52.883,3913,7786,2.210,1.230,0.600,4,0,199.560,0,0,10,29,3,16,0
02-09 09:08:10,26.500,8.750,64.500,0.250,0,1338544,1525096,166952,4902544,6396.013,1566.003,0,560.001,0,45.000,2935,5220,2.210,1.230,0.600,2,0,110.000,0,0,10,28,3,16,0
02-09 09:08:11,22.289,3.757,72.626,0,0,1306128,1557492,166960,4902552,6031.495,1696.953,0,6495.302,0,41.071,1975,3524,2.210,1.230,0.600,1,0,14.024,0,0,10,28,3,16,0
02-09 09:08:12,21.461,4.492,72.367,0.250,0,1362992,1500600,166968,4902572,6638.785,1617.025,0,1800.687,0,103.809,1554,2418,2.210,1.230,0.600,3,0,53.901,0,0,10,29,3,15,0
02-09 09:08:13,15.512,14.511,70.302,0.250,0,1306932,1556644,166968,4902584,7820.803,1513.123,0,2513.865,0,38.028,2267,4051,2.110,1.230,0.600,2,0,181.134,0,0,10,28,3,15,0
02-09 09:08:14,9.499,20.999,68.245,0,0,1308592,1554968,166968,4902600,7125.530,1619.893,0,183.988,0,7.000,2497,3237,2.110,1.230,0.600,2,0,327.978,0,0,10,28,3,15,0
02-09 09:08:15,62.360,24.042,14.526,0,0,1486452,1377092,166976,4902608,5382.452,1696.980,0,689.210,0,54.095,2741,4610,2.110,1.230,0.600,7,0,529.931,0,0,10,28,3,15,0
02-09 09:08:16,79.996,12.249,7.500,0,0,1539440,1323952,166980,4902848,8657.541,1619.914,0,65036.553,0,189.990,5543,12510,2.110,1.230,0.600,7,0,3.000,0,0,10,29,3,18,0
02-09 09:08:17,81.753,15.251,2.750,0,0,1470452,1392756,166996,4903012,12052.458,1566.060,0,528.020,0,52.002,3846,8270,2.110,1.230,0.600,12,0,265.010,0,0,10,29,3,19,0
02-09 09:08:18,83.498,12.250,3.750,0,0,1554160,1308456,166996,4903600,8720.817,1619.966,0,215.995,0,11.000,5071,11669,2.500,1.320,0.640,7,0,75.998,0,0,10,30,3,21,0
