"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","jammy-provider-cloud-0000007702",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","08 Oct 2024 13:58:35 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
08-10 13:58:35,,933092,1958612,165888,4751524,,,,,,,0.920,0.810,0.500,1,0,,,,9,3,3,17,0
08-10 13:58:36,9.242,18.983,70.687,0.500,0,943380,1948260,165888,4751528,6596.149,1786.415,0,10658.546,0,327.709,3102,4682,0.920,0.810,0.500,1,0,382.661,0,0,9,3,3,17,0
08-10 13:58:37,12.240,17.236,69.942,0,0,941548,1950072,165892,4751740,6921.221,1618.648,0,207.826,0,17.985,2638,4390,0.920,0.820,0.500,1,0,378.684,0,0,9,3,3,17,0
08-10 13:58:38,16.286,16.537,65.647,0,0,944120,1947448,165892,4751760,15264.100,1792.003,0,16.036,0,4.009,3331,8882,0.920,0.820,0.500,2,0,239.535,0,0,9,3,3,17,0
08-10 13:58:39,9.730,10.728,78.586,0,0,1071596,1819744,165892,4876676,9441.296,1682.489,0,3.992,0,0.998,2581,5708,0.920,0.820,0.500,1,0,117.754,0,0,10,5,3,17,0
08-10 13:58:40,14.986,11.239,72.182,0,0,1067300,1823944,165892,4876772,10363.217,1750.348,79.925,1554.533,0.999,131.876,2029,2857,0.920,0.820,0.500,1,0,181.828,0,0,10,7,3,12,0
08-10 13:58:41,21.785,5.759,72.365,0.250,0,1130764,1759552,165900,4877620,6120.769,1622.590,0,22335.648,0,84.134,1423,2201,0.920,0.820,0.500,2,0,30.048,0,0,10,5,3,13,0
08-10 13:58:42,20.473,2.497,72.157,3.995,0,1164388,1722792,166104,4880464,6203.966,1617.905,0,8760.655,0,619.198,3536,7399,0.930,0.820,0.500,1,0,9.987,0,0,10,7,3,13,0
08-10 13:58:43,11.760,5.505,67.559,12.511,0,1165156,1715736,166804,4886052,5103.491,1621.427,0,27348.066,0,2627.312,10163,23354,0.930,0.820,0.500,3,1,45.040,0,0,10,7,3,13,0
08-10 13:58:44,20.028,6.760,63.590,9.013,0,1098348,1780684,167136,4887580,7060.977,1790.530,0,28336.039,0,2102.971,7356,15919,0.930,0.820,0.500,1,0,90.127,0,0,10,5,3,12,0
08-10 13:58:45,22.752,3.000,73.756,0,0,1170412,1708612,167140,4887584,10275.781,1680.128,0,716.054,0,37.003,856,1239,0.930,0.820,0.500,1,0,0,0,0,10,5,3,12,0
08-10 13:58:46,23.470,2.746,72.656,0.250,0,1123792,1755188,167160,4887596,5600.769,1563.981,0,39089.535,0,442.429,1442,2773,0.930,0.820,0.500,1,0,9.987,0,0,10,5,3,12,0
08-10 13:58:47,24.248,1.500,73.994,0,0,1176452,1702520,167168,4887596,6668.420,1787.844,0,347.970,0,22.998,1009,1384,0.940,0.820,0.510,1,0,0,0,0,10,5,3,12,0
08-10 13:58:48,12.512,14.264,72.319,0,0,1092068,1786876,167168,4887624,6427.138,1621.549,0,88.084,0,6.006,2302,3388,0.940,0.820,0.510,1,0,276.264,0,0,10,5,3,12,0
08-10 13:58:49,10.492,18.735,69.195,0.250,0,1090444,1788284,167176,4887780,7100.405,1618.724,0,299.764,0,21.983,2950,5352,0.940,0.820,0.510,1,0,406.680,0,0,10,5,3,12,0
08-10 13:58:50,29.488,16.493,54.228,0,0,1146704,1731868,167176,4888332,6788.305,1619.357,0,1259.500,0,139.944,5520,9056,0.940,0.820,0.510,2,0,236.906,0,0,10,6,3,12,0
08-10 13:58:51,52.507,3.751,43.506,0,0,1241416,1636684,167184,4888796,8470.152,1788.243,0,1640.223,0,41.006,1538,3473,0.940,0.820,0.510,2,0,34.005,0,0,10,6,3,13,0
08-10 13:58:52,46.064,5.257,48.317,0,0,1280876,1594468,167200,4891200,7898.924,1600.213,0,897.241,0,92.127,1539,5646,1.020,0.840,0.510,1,0,28.039,0,0,10,5,3,13,0
08-10 13:58:53,3.244,3.993,91.342,0,0,1285668,1589184,167200,4891596,5509.469,1659.130,0,3.993,0,0.998,1113,1875,1.020,0.840,0.510,0,0,89.845,0,0,10,5,3,13,0
08-10 13:58:54,16.502,3.500,79.510,0.250,0,1339332,1535520,167204,4891596,5774.745,1566.202,0,1828.236,0,40.005,1443,2046,1.020,0.840,0.510,1,0,21.003,0,0,10,5,3,12,0
08-10 13:58:55,23.477,1.998,73.678,0,0,1383492,1491168,167204,4891788,28723.994,2343.715,0,47.953,0,3.996,982,1173,1.020,0.840,0.510,1,0,0,0,0,10,5,3,12,0
