"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","jammy-provider-cloud-0000007775",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","04 Dec 2024 19:16:54 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
04-12 19:16:54,,995280,1999652,162108,4662072,,,,,,,1.170,0.820,0.430,2,0,,,,9,6,4,17,0
04-12 19:16:55,21.727,19.230,55.941,0.749,0,1011240,1966544,162136,4678768,4850570.395,60830.520,0,9170.280,0,268.715,5818,8711,1.170,0.820,0.430,2,0,699.259,0,0,9,5,4,16,1
04-12 19:16:56,36.738,15.995,44.735,1.000,0,1041552,1916944,162384,4695340,348067.745,6860.709,0,3718.758,0,129.957,4143,10288,1.160,0.830,0.430,2,0,299.900,0,0,9,4,4,16,2
04-12 19:16:57,39.263,12.254,47.015,1.250,0,1166360,1758100,163652,4849488,6830.233,1566.512,0,3945.290,0,168.055,3459,7904,1.160,0.830,0.430,2,0,147.048,0,0,10,6,4,16,2
04-12 19:16:58,35.717,10.241,52.702,0.749,0,1207228,1708412,164596,4855032,12032.027,4355.028,79.927,4679.732,0.999,111.898,2330,3824,1.160,0.830,0.430,2,0,184.831,0,0,10,4,4,18,0
04-12 19:16:59,46.459,4.496,48.707,0.250,0,1182100,1731396,164784,4856816,6452.238,1618.555,0,1714.469,0,9.991,1315,1475,1.160,0.830,0.430,2,0,5.995,0,0,10,4,4,18,0
04-12 19:17:00,34.809,9.516,45.827,8.765,0,1213336,1691164,165520,4864732,6346.707,1622.738,0,34269.813,0,2685.530,18357,39449,1.160,0.830,0.430,0,2,65.110,0,0,10,6,4,18,0
04-12 19:17:01,39.240,9.748,45.239,3.749,0,1096456,1804876,166016,4867260,6580.368,1787.557,0,31616.159,0,2253.441,15691,33158,1.220,0.840,0.440,2,0,105.974,0,0,10,4,4,18,0
04-12 19:17:02,45.680,5.242,48.426,0,0,1180288,1720892,166020,4867316,8736.624,1785.267,7.988,1030.422,1.997,53.917,1403,1513,1.220,0.840,0.440,2,0,14.977,0,0,10,4,4,18,0
04-12 19:17:03,27.543,5.008,66.353,0.751,0,1090576,1810512,166056,4867328,8917.796,1598.473,0,7159.075,0,409.634,2026,3379,1.220,0.840,0.440,1,0,60.093,0,0,10,4,4,18,0
04-12 19:17:04,24.250,2.250,73.251,0.250,0,1145080,1755968,166060,4867324,10418.104,1734.017,0,3840.038,0,35.000,1186,1693,1.220,0.840,0.440,1,0,1.000,0,0,10,4,4,18,0
04-12 19:17:05,13.750,13.250,71.751,0,0,1084756,1816268,166060,4867348,6592.132,1620.032,0,4.000,0,1.000,2386,3568,1.220,0.840,0.440,1,0,290.006,0,0,10,4,4,18,0
04-12 19:17:06,9.748,19.995,69.483,0,0,1082412,1818416,166060,4867512,5456.685,1619.610,0,55.987,0,12.997,2929,4823,1.210,0.850,0.440,1,0,420.899,0,0,10,4,4,18,0
04-12 19:17:07,31.461,14.482,52.934,0,0,1138560,1761804,166060,4868272,8064.983,1617.990,0,3.995,0,0.999,3777,7970,1.210,0.850,0.440,2,0,202.748,0,0,10,5,4,18,0
04-12 19:17:08,47.504,2.750,49.504,0,0,1232132,1667864,166072,4868596,5997.486,1788.145,0,388.031,0,42.003,1141,1345,1.210,0.850,0.440,2,0,0,0,0,10,5,4,18,0
04-12 19:17:09,38.811,8.263,52.583,0,0,1255724,1641648,166112,4870772,6791.690,1708.689,0,1746.749,0,98.154,3147,6874,1.210,0.850,0.440,1,0,112.177,0,0,10,4,4,19,0
04-12 19:17:10,0.748,0.249,98.039,0,0,1255560,1641724,166112,4870836,9159.271,1550.660,0,0,0,0,685,1057,1.210,0.850,0.440,0,0,5.987,0,0,10,4,4,19,0
04-12 19:17:11,13.251,3.750,82.509,0.250,0,1283844,1613500,166128,4870836,5992.677,1620.183,0,996.113,0,49.006,1403,2025,1.110,0.830,0.440,1,0,22.002,0,0,10,4,4,19,0
04-12 19:17:12,23.500,1.750,73.749,0,0,1337852,1559320,166128,4871008,5593.938,1565.983,0,4.000,0,1.000,922,1145,1.110,0.830,0.440,1,0,0,0,0,10,4,4,19,0
04-12 19:17:13,22.751,4.000,70.754,1.250,0,1272380,1624612,166220,4871092,5494.308,1620.091,0,4056.227,0,374.021,3088,5937,1.110,0.830,0.440,1,0,43.002,0,0,10,4,4,21,0
04-12 19:17:14,23.006,4.001,72.520,0.250,0,1320492,1576200,166220,4871480,6483.822,1620.455,0,22238.249,0,455.128,2020,2805,1.110,0.830,0.440,1,0,2.001,0,0,10,16,4,21,0
04-12 19:17:15,22.532,3.255,73.354,0.501,0,1308012,1588220,166220,4871900,6690.447,1622.291,232.328,632.894,58.082,15.021,1513,2243,1.110,0.830,0.440,1,0,45.064,0,0,10,28,4,21,0
04-12 19:17:16,24.201,8.982,66.367,0,0,1314896,1581312,166220,4871920,6076.786,1784.413,0,3209.549,0,60.878,1983,2976,1.100,0.840,0.440,2,0,155.687,0,0,10,28,4,21,0
04-12 19:17:17,46.313,4.506,48.566,0,0,1398816,1497184,166220,4872116,5965.154,1514.070,0,112.153,0,6.008,3299,6700,1.100,0.840,0.440,3,0,0,0,0,10,30,4,23,0
04-12 19:17:18,66.817,17.518,15.015,0.250,0,1464900,1431040,166228,4872164,6040.076,1621.631,0,160.161,0,24.024,2755,5435,1.100,0.840,0.440,5,0,454.457,0,0,10,28,4,24,0
04-12 19:17:19,82.995,12.999,3.500,0,0,1611176,1284220,166236,4872520,5545.656,1619.900,0,42593.359,0,160.990,5804,12839,1.100,0.840,0.440,7,0,123.992,0,0,10,28,4,18,0
04-12 19:17:20,46.899,9.978,41.909,0,0,1295284,1600052,166240,4872556,7654.436,1562.618,0,315.318,0,31.931,2917,6719,1.100,0.840,0.440,2,0,270.415,0,0,10,28,4,19,0
04-12 19:17:21,21.749,5.250,73.246,0,0,1354688,1540636,166244,4872564,5799.698,1619.916,0,971.949,0,151.992,1403,2127,1.010,0.820,0.440,1,0,38.998,0,0,10,28,4,19,0
04-12 19:17:22,20.773,5.756,72.831,0.250,0,1336124,1559176,166252,4872580,6334.018,1621.797,0,104.115,0,13.014,2224,3575,1.010,0.820,0.440,1,0,68.075,0,0,10,28,4,19,0
04-12 19:17:23,20.014,7.505,71.301,0.250,0,1296428,1598836,166264,4872604,5979.257,1621.154,0,360.257,0,38.027,2702,4886,1.010,0.820,0.440,1,0,167.119,0,0,10,28,4,19,0
04-12 19:17:24,26.262,24.511,49.022,0,0,1359896,1535332,166264,4872624,5828.576,1512.669,0,1196.529,0,19.008,3534,6192,1.010,0.820,0.440,5,0,834.369,0,0,10,28,4,19,0
04-12 19:17:25,86.502,9.750,3.750,0,0,1565636,1329532,166268,4872664,5522.144,1620.042,0,3412.089,0,73.002,3254,5763,1.010,0.820,0.440,3,0,38.001,0,0,10,32,4,19,0
04-12 19:17:26,77.188,9.742,12.490,0,0,1380184,1514588,166296,4873024,6148.063,1786.565,0,591.525,0,70.943,6771,16495,1.170,0.860,0.450,5,0,109.912,0,0,10,28,4,21,0
04-12 19:17:27,86.316,12.510,1.251,0,0,1573744,1320812,166300,4873236,11180.553,1621.240,0,236.181,0,15.011,3837,7613,1.170,0.860,0.450,6,0,200.153,0,0,10,28,4,21,0
04-12 19:17:28,79.231,12.247,8.248,0,0,1412652,1481484,166300,4873644,7572.152,1565.618,0,203.950,0,13.997,5210,12812,1.170,0.860,0.450,3,0,199.951,0,0,10,29,4,20,0
04-12 19:17:29,43.742,8.998,46.992,0,0,1381380,1512476,166304,4873820,6431.887,1661.713,0,63728.975,0,203.965,3691,6738,1.170,0.860,0.450,2,0,97.983,0,0,10,28,4,21,0
04-12 19:17:30,40.520,9.255,49.025,0.250,0,1298756,1595052,166304,4873860,5938.975,1620.812,0,1428.716,0,28.014,3831,7959,1.170,0.860,0.450,2,0,228.114,0,0,10,28,4,22,0
04-12 19:17:31,64.748,10.000,25.999,0,0,1475192,1418576,166308,4873896,5709.806,1553.947,0,3355.886,0,106.996,2486,3596,1.400,0.910,0.470,3,0,149.995,0,0,10,30,4,23,0
04-12 19:17:32,67.256,13.501,20.502,0,0,1421768,1471656,166332,4874212,5341.507,1620.154,0,1696.161,0,88.008,4804,11164,1.400,0.910,0.470,4,0,258.025,0,0,10,28,4,25,0
04-12 19:17:33,75.818,6.960,15.909,0,0,1534152,1359040,166344,4874432,7168.170,1777.873,0,91.479,0,9.943,5830,11922,1.400,0.910,0.470,5,0,0,0,0,10,31,4,26,0
04-12 19:17:34,65.114,14.330,20.113,0,0,1447724,1445272,166364,4874604,11520.480,1629.118,0,1794.041,0,35.197,3386,6745,1.400,0.910,0.470,4,0,326.829,0,0,10,28,4,27,0
04-12 19:17:35,63.001,12.000,24.750,0.500,0,1355288,1537632,166372,4874664,7226.101,1620.023,0,480.007,0,35.000,6008,13469,1.400,0.910,0.470,3,0,299.004,0,0,10,28,4,28,0
04-12 19:17:36,67.690,7.993,23.229,0,0,1484344,1408400,166372,4874840,4831.685,1564.603,0,255.772,0,15.986,2989,10837,1.530,0.950,0.490,3,0,33.970,0,0,10,30,4,28,0
04-12 19:17:37,64.305,13.011,22.519,0,0,1433284,1459340,166372,4874916,8385.144,1513.289,0,344.293,0,28.024,3248,7668,1.530,0.950,0.490,4,0,287.245,0,0,10,28,4,28,0
04-12 19:17:38,60.499,8.250,30.500,0,0,1346892,1545148,166380,4875488,4861.947,1705.981,0,335.996,0,35.000,4218,9614,1.530,0.950,0.490,4,0,111.999,0,0,10,28,4,30,0
04-12 19:17:39,63.446,7.494,28.975,0,0,1475968,1415900,166380,4875660,5551.287,1712.546,0,243.793,0,11.990,2754,5280,1.530,0.950,0.490,5,0,0,0,0,10,31,4,33,0
04-12 19:17:40,75.314,16.764,7.506,0.250,0,1478520,1413084,166388,4875880,5413.591,1621.375,0,500.424,0,48.041,3256,6827,1.530,0.950,0.490,6,0,416.353,0,0,10,28,4,34,0
04-12 19:17:41,81.497,14.250,4.250,0,0,1372184,1519184,166392,4876100,5181.824,1619.945,0,655.978,0,50.998,5195,10282,1.800,1.010,0.510,7,0,256.991,0,0,10,28,4,34,0
04-12 19:17:42,83.746,14.249,1.500,0,0,1515412,1375736,166412,4876296,5807.744,1619.929,0,3419.850,0,183.992,3494,6303,1.800,1.010,0.510,6,0,229.990,0,0,10,28,3,34,0
04-12 19:17:43,82.256,14.501,3.000,0,0,1464632,1426288,166416,4876516,5113.389,1620.123,0,668.051,0,12.001,6113,11444,1.800,1.010,0.510,6,0,269.020,0,0,10,29,3,35,0
04-12 19:17:44,49.249,24.250,25.500,0,0,1306840,1583840,166416,4876744,7275.898,1457.980,0,179.997,0,11.000,7122,14431,1.800,1.010,0.510,2,0,797.989,0,0,10,28,3,32,0
04-12 19:17:45,10.251,21.002,67.006,0.250,0,1303972,1586656,166416,4876792,7177.668,1620.151,0,4704.438,0,264.025,3531,5408,1.800,1.010,0.510,2,0,665.062,0,0,10,28,3,32,0
04-12 19:17:46,64.497,24.249,9.750,0,0,1478688,1411964,166420,4876844,5008.775,1619.927,0,183.992,0,15.999,2953,6500,1.820,1.030,0.520,4,0,825.963,0,0,10,28,3,31,0
04-12 19:17:47,77.992,11.499,8.499,0,0,1418116,1472320,166432,4877040,5474.442,1619.835,0,1495.847,0,119.988,5968,12577,1.820,1.030,0.520,5,0,200.980,0,0,10,28,3,32,0
04-12 19:17:48,83.755,10.751,5.500,0,0.250,1529668,1360552,166432,4877256,5444.332,1620.099,0,152.009,0,12.001,3798,8319,1.820,1.030,0.520,3,0,67.004,0,0,10,32,3,33,0
