"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","jammy-provider-cloud-0000007751",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","28 Nov 2024 14:59:20 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
28-11 14:59:20,,1031448,1914344,163280,4706988,,,,,,,1.260,1.020,0.540,3,0,,,,9,6,6,16,0
28-11 14:59:21,24.979,20.233,52.956,0.500,0,1051588,1894020,163328,4707100,62209.118,15761.855,0,2573.853,0,110.908,3722,6853,1.260,1.020,0.540,5,0,586.511,0,0,9,7,6,16,1
28-11 14:59:22,28.005,19.003,52.259,0.250,0,1014000,1929060,163424,4709584,1303852.743,25931.331,0,3488.583,0,136.023,4856,9536,1.260,1.020,0.540,4,0,413.069,0,0,9,4,6,16,2
28-11 14:59:23,22.762,12.506,63.033,0.750,0,1151712,1776080,163456,4848836,955048.715,19045.866,0,2505.298,0,60.031,4034,10108,1.320,1.040,0.550,3,0,148.077,0,0,10,6,6,16,2
28-11 14:59:24,36.711,13.486,48.449,0.749,0,1169468,1728376,163876,4875068,5526.142,1618.285,79.915,3552.235,0.999,139.852,2516,3932,1.320,1.040,0.550,4,0,208.779,0,0,10,6,6,18,2
28-11 14:59:25,42.837,5.230,48.565,1.494,0,1236468,1623884,165436,4907268,4887.403,1687.579,0,7292.253,0,180.314,1645,2591,1.320,1.040,0.550,4,0,6.973,0,0,10,6,6,18,2
28-11 14:59:26,41.092,6.013,52.117,2.004,0.251,1264944,1597920,166248,4902756,13320.839,4442.952,0,14203.817,0,973.180,4634,14772,1.320,1.040,0.550,2,1,44.099,0,0,10,6,6,19,0
28-11 14:59:27,35.422,8.232,43.404,10.477,0,1233432,1621584,166980,4909592,5186.558,1616.434,0,54012.848,0,4201.731,15318,34164,1.320,1.040,0.550,4,0,69.846,0,0,10,4,6,19,0
28-11 14:59:28,42.159,10.038,45.923,0.251,0,1203696,1651116,166984,4909744,4847.284,1875.073,0,3436.964,0,94.356,11503,22996,1.450,1.070,0.560,4,0,88.333,0,0,10,4,6,18,0
28-11 14:59:29,44.718,6.745,47.716,0.250,0,1090392,1764240,167000,4909844,7148.960,1786.740,0,1450.977,0,70.950,4315,7710,1.450,1.070,0.560,2,0,27.980,0,0,10,4,6,18,0
28-11 14:59:30,44.061,4.757,49.819,0.501,0,1160752,1693844,167036,4909840,5205.168,1622.234,0,10526.495,0,376.518,1705,3004,1.450,1.070,0.560,1,0,53.073,0,0,10,4,6,18,0
28-11 14:59:31,18.226,8.738,72.903,0.250,0,1086040,1768524,167048,4909860,8263.968,1785.616,0,451.397,0,29.960,1717,2498,1.450,1.070,0.560,1,0,168.775,0,0,10,4,6,18,0
28-11 14:59:32,11.480,17.220,69.628,0,0,1084804,1769572,167048,4910028,5436.497,1691.044,0,35.937,0,8.984,2853,4467,1.450,1.070,0.560,2,0,405.292,0,0,10,4,6,18,0
28-11 14:59:33,16.276,16.026,65.605,0,0,1093532,1760480,167048,4910856,7166.524,1622.609,0,36.058,0,6.010,4108,8979,1.660,1.120,0.580,4,0,218.351,0,0,10,4,6,18,0
28-11 14:59:34,45.801,9.010,44.800,0,0,1222948,1630828,167048,4911040,7137.887,1621.792,0,0,0,0,1695,2141,1.660,1.120,0.580,3,0,121.134,0,0,10,5,6,18,0
28-11 14:59:35,48.057,5.006,47.306,0,0,1273216,1577960,167160,4913192,5146.144,1627.944,0,8426.061,0,569.680,1668,4030,1.660,1.120,0.580,2,0,1.001,0,0,10,5,6,18,0
28-11 14:59:36,8.724,5.234,84.495,0,0,1279228,1571688,167164,4913348,6343.823,1782.611,0,929.191,0,1.994,1351,2608,1.660,1.120,0.580,0,0,117.644,0,0,10,4,6,18,0
28-11 14:59:37,15.715,2.744,80.821,0.249,0,1308504,1542488,167200,4913348,5118.642,1784.041,0,171.619,0,12.971,1346,1794,1.660,1.120,0.580,2,0,20.954,0,0,10,4,6,18,0
28-11 14:59:38,24.306,1.253,73.419,0,0,1355640,1495140,167216,4913540,8412.348,1623.735,0,749.724,0,30.069,967,1262,1.610,1.110,0.580,2,0,0,0,0,10,4,6,18,0
28-11 14:59:39,21.959,3.992,72.363,0.998,0,1284836,1565844,167264,4913592,11320.627,1784.631,0,1213.709,0,177.665,2819,5019,1.610,1.110,0.580,2,0,42.919,0,0,10,4,6,20,0
28-11 14:59:40,22.993,3.749,72.227,0.250,0,1328208,1522052,167268,4914064,4865.467,1693.467,231.927,22524.905,57.982,59.981,1786,2824,1.610,1.110,0.580,2,0,1.999,0,0,10,27,6,21,0
28-11 14:59:41,21.585,5.522,73.288,0,0,1324000,1525848,167272,4914376,5274.756,1626.400,0,3441.542,0,147.581,1543,2379,1.610,1.110,0.580,2,0,44.174,0,0,10,28,6,21,0
28-11 14:59:42,26.746,8.499,63.240,0,0,1336300,1513520,167272,4914404,6082.003,1553.745,0,11.998,0,3.000,1968,2911,1.610,1.110,0.580,3,0,155.974,0,0,10,28,6,21,0
28-11 14:59:43,46.557,4.979,48.300,0,0,1399472,1450112,167272,4914604,5241.275,1935.975,0,3668.793,0,154.360,3445,7734,1.640,1.130,0.590,3,0,0,0,0,10,28,6,21,0
28-11 14:59:44,74.818,17.575,7.532,0,0,1521392,1328136,167276,4914648,7341.207,1626.916,0,56.239,0,14.060,2557,4614,1.640,1.130,0.590,8,0,580.468,0,0,10,28,6,21,0
28-11 14:59:45,86.941,10.743,2.498,0,0,1540144,1309160,167284,4914860,5495.285,1618.906,0,371.749,0,38.974,4980,11960,1.640,1.130,0.590,8,0,20.986,0,0,10,30,6,21,0
28-11 14:59:46,37.027,11.759,50.787,0.250,0,1330476,1518736,167288,4915048,5509.055,1621.193,0,35398.053,0,97.071,3560,7052,1.640,1.130,0.590,2,0,290.214,0,0,10,28,6,15,0
28-11 14:59:47,22.716,3.245,73.140,0.250,0,1372548,1476652,167292,4915056,5456.809,1617.572,0,103.844,0,11.982,1593,3181,1.640,1.130,0.590,2,0,0,0,0,10,28,6,15,0
28-11 14:59:48,20.998,5.750,73.494,0,0,1372112,1477080,167292,4915064,5470.590,1619.879,0,0,0,0,1422,2023,1.590,1.130,0.590,1,0,67.995,0,0,10,29,6,15,0
28-11 14:59:49,15.516,12.763,70.071,0.250,0,1313968,1535192,167292,4915096,6349.400,1513.526,0,400.404,0,40.040,3235,5580,1.590,1.130,0.590,2,0,336.339,0,0,10,28,6,15,0
28-11 14:59:50,45.772,22.511,31.515,0,0,1444316,1404772,167292,4915136,10753.258,1566.766,0,52.025,0,13.006,3148,5230,1.590,1.130,0.590,6,0,674.330,0,0,10,28,6,15,0
28-11 14:59:51,82.312,8.757,9.507,0,0,1591444,1257440,167308,4915324,7651.754,1789.346,0,4043.040,0,88.066,4124,9330,1.590,1.130,0.590,4,0,28.021,0,0,10,31,6,17,0
28-11 14:59:52,85.934,10.742,2.998,0,0,1464368,1384288,167320,4915520,7985.859,1786.626,0,2793.852,0,73.943,4874,9923,1.590,1.130,0.590,7,0,149.885,0,0,10,28,6,17,0
28-11 14:59:53,84.322,12.260,2.752,0,0,1556808,1291432,167320,4915928,6989.983,1715.468,0,200.171,0,13.011,3903,11118,1.940,1.210,0.620,7,0,169.145,0,0,10,31,6,17,0
28-11 14:59:54,66.979,9.997,22.493,0,0,1378560,1469316,167328,4916276,6641.901,1619.488,0,339.893,0,25.992,3898,11076,1.940,1.210,0.620,4,0,206.935,0,0,10,29,6,17,0
28-11 14:59:55,43.227,7.746,47.975,0.250,0,1433020,1414836,167328,4916296,5548.060,1619.142,0,271.856,0,21.988,1942,3167,1.940,1.210,0.620,3,0,82.956,0,0,10,28,6,17,0
28-11 14:59:56,51.230,16.244,30.738,0,0,1422576,1425092,167336,4916376,5844.738,1671.353,0,64934.870,0,197.923,3965,8529,1.940,1.210,0.620,4,0,377.854,0,0,10,28,6,18,0
28-11 14:59:57,64.579,7.009,28.535,0.250,0,1385952,1461444,167340,4916636,7806.540,1621.982,0,452.553,0,40.049,2727,9883,1.940,1.210,0.620,3,0,55.067,0,0,10,28,6,20,0
28-11 14:59:58,82.997,13.000,4.250,0,0,1556072,1291304,167340,4916656,5659.813,1565.948,0,3527.884,0,92.997,2449,3991,2.100,1.250,0.640,3,0,202.993,0,0,10,31,6,20,0
28-11 14:59:59,62.449,14.488,21.233,0,0,1382320,1464808,167340,4916896,5218.768,1786.551,0,363.705,0,32.973,6044,14859,2.100,1.250,0.640,4,0,323.737,0,0,10,28,6,23,0
28-11 15:00:00,62.930,6.243,30.716,0,0,1496564,1350456,167340,4917004,6899.280,1786.001,0,195.781,0,9.989,4055,8048,2.100,1.250,0.640,2,0,0,0,0,10,31,6,25,0
28-11 15:00:01,63.872,13.025,22.543,0,0,1470900,1375928,167352,4917172,7261.848,1623.095,0,2300.387,0,42.080,2784,6117,2.100,1.250,0.640,4,0,299.571,0,0,10,28,6,26,0
28-11 15:00:02,61.709,12.741,25.983,0,0,1376164,1470420,167372,4917392,7097.252,1618.917,0,367.754,0,35.976,3445,9534,2.100,1.250,0.640,4,0,286.808,0,0,10,28,6,29,0
28-11 15:00:03,64.271,5.979,28.648,0,0,1500240,1346184,167380,4917544,6306.492,1506.623,0,279.004,0,16.940,3586,6511,2.180,1.280,0.650,7,0,0,0,0,10,29,6,32,0
28-11 15:00:04,65.260,9.789,24.849,0,0,1481764,1364196,167384,4917996,7086.253,1626.485,0,369.473,0,37.148,2860,4975,2.180,1.280,0.650,5,0,112.448,0,0,10,29,6,33,0
28-11 15:00:05,64.766,14.754,18.755,0,0,1418880,1426668,167392,4918360,8457.140,1620.410,0,520.132,0,52.013,4419,11425,2.180,1.280,0.650,6,0,390.099,0,0,10,28,6,34,0
28-11 15:00:06,86.002,11.500,2.500,0,0,1542936,1302372,167400,4918568,6066.115,1566.030,0,532.010,0,42.001,3987,7197,2.180,1.280,0.650,9,0,202.004,0,0,10,30,6,34,0
