Mar 15 11:56:04 jammy-provider-cloud-0000008118 systemd[1]: Started Devstack devstack@dstat.service.
Mar 15 11:56:05 jammy-provider-cloud-0000008118 dstat.sh[69946]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 15 11:56:05 jammy-provider-cloud-0000008118 dstat.sh[69946]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 15 11:56:05 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:05|                   |1007M 1387M  165M 5059M|           |           |           |           |1.51 0.93 0.49|2.0   0    |           |   0     0 |  9    5    6   16    1
Mar 15 11:56:06 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:06| 33  20  46   0   0| 999M 1388M  165M 5066M|1919k   37k|   0  5406k|   0   145 |4688  7769 |1.51 0.93 0.49|2.5   0 616|   0     0 |   0     0 |  9    4    6   16    2
Mar 15 11:56:07 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:07| 54  19  25   1   0|1030M 1331M  166M 5089M| 335k 7051B|   0  3647k|   0   135 |4698  7455 |1.51 0.93 0.49|3.0   0 493|   0     0 |   0     0 |  9    4    6   16    2
Mar 15 11:56:08 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:08| 43  13  41   1   0|1098M 1234M  167M 5236M|  17k 3885B|   0  3803k|   0   164 |4208  8119 |1.51 0.93 0.49|2.0   0 143|   0     0 |   0     0 | 10    6    6   16    2
Mar 15 11:56:09 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:09| 36  11  52   1   0|1117M 1188M  168M 5259M|  11k 3038B|  80k 3114k|1.00   112 |2442  4020 |1.55 0.95 0.50|1.0   0 191|   0     0 |   0     0 | 10    7    6   18    2
Mar 15 11:56:10 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:10| 42   7  52   0   0|1145M 1172M  168M 5247M|  14k 2990B|   0  4109k|   0  16.0 |1374  1373 |1.55 0.95 0.50|2.0   0 8.0|   0     0 |   0     0 | 10    4    6   18    0
Mar 15 11:56:11 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:11| 37   7  46   8   0|1161M 1149M  169M 5253M|  12k 1620B|   0    31M|   0  2452 |  18k   38k|1.55 0.95 0.50|1.0 1.0  59|   0     0 |   0     0 | 10    6    6   18    0
Mar 15 11:56:12 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:12| 40   9  42   6   0|1061M 1245M  169M 5256M|  12k 1620B|   0    33M|   0  2694 |  18k   38k|1.55 0.95 0.50|2.0   0 115|   0     0 |   0     0 | 10    4    6   18    0
Mar 15 11:56:13 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:13| 46   4  49   0   0|1139M 1167M  169M 5256M|  10k 1586B|   0  3079k|   0   282 |1446  1465 |1.55 0.95 0.50|2.0   0  14|   0     0 |   0     0 | 10    4    6   18    0
Mar 15 11:56:14 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:14| 31   4  64   0   0|1059M 1246M  169M 5256M|  12k 1692B|   0  7144k|   0   365 |1853  3071 |1.50 0.95 0.51|1.0   0  60|   0     0 |   0     0 | 10    4    6   18    0
Mar 15 11:56:15 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:15| 24   2  74   0   0|1113M 1192M  169M 5256M|  10k 1619B|   0   480k|   0  27.0 |1051  1426 |1.50 0.95 0.51|1.0   0 2.0|   0     0 |   0     0 | 10    4    6   18    0
Mar 15 11:56:16 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:16| 14  13  72   1   0|1043M 1263M  169M 5256M|6498B 1697B|   0   517k|   0  59.1 |2213  3154 |1.50 0.95 0.51|2.0   0 241|   0     0 |   0     0 | 10    4    6   18    0
Mar 15 11:56:17 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:17| 12  18  69   0   0|1047M 1258M  169M 5256M|6491B 1661B|   0    56k|   0  13.0 |2811  4502 |1.50 0.95 0.51|1.0   0 392|   0     0 |   0     0 | 10    4    6   18    0
Mar 15 11:56:18 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:18| 23  16  61   0   0|1075M 1230M  169M 5257M|  15k 1566B|   0    12k|   0  3.00 |4982  9849 |1.50 0.95 0.51|3.0   0 245|   0     0 |   0     0 | 10    4    6   18    0
Mar 15 11:56:19 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:19| 47   5  47   0   0|1196M 1108M  169M 5257M|8474B 1953B|   0  1570k|   0   175 |1534  1724 |1.54 0.97 0.51|2.0   0  41|   0     0 |   0     0 | 10    5    6   18    0
Mar 15 11:56:20 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:20| 50   4  47   0   0|1234M 1068M  169M 5260M|  11k 1756B|   0  1145k|   0   106 |1530  5114 |1.54 0.97 0.51|1.0   0 3.0|   0     0 |   0     0 | 10    4    6   19    0
Mar 15 11:56:21 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:21|  2   6  90   0   0|1238M 1064M  169M 5260M|8406B 1619B|   0   947k|   0  2.00 |1302  1997 |1.54 0.97 0.51|1.0   0 115|   0     0 |   0     0 | 10    4    6   19    0
Mar 15 11:56:22 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:22| 11   4  86   0   0|1270M 1032M  169M 5260M|  12k 1788B|   0   908k|   0  40.0 |1298  1645 |1.54 0.97 0.51|1.0   0  21|   0     0 |   0     0 | 10    4    6   19    0
Mar 15 11:56:23 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:23| 25   2  74   0   0|1324M  978M  169M 5260M|  10k 1621B|   0    40k|   0  5.00 | 982  1138 |1.54 0.97 0.51|2.0   0 2.0|   0     0 |   0     0 | 10    4    6   19    0
Mar 15 11:56:24 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:24| 22   3  72   1   0|1241M 1060M  169M 5260M|5507B 1622B|   0  3718k|   0   340 |2945  5592 |1.50 0.97 0.52|1.0   0  43|   0     0 |   0     0 | 10    4    6   21    0
Mar 15 11:56:25 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:25| 23   3  73   0   0|1300M 1001M  169M 5260M|5422B 1617B|   0    20M|   0  91.8 |1323  1803 |1.50 0.97 0.52|1.0   0 3.0|   0     0 |   0     0 | 10   11    6   21    0
Mar 15 11:56:26 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:26| 22   5  73   1   0|1282M 1018M  169M 5261M|  11k 1796B| 232k 3076k|58.1   104 |2186  3393 |1.50 0.97 0.52|2.0   0  47|   0     0 |   0     0 | 10   28    6   21    0
Mar 15 11:56:27 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:27| 20   5  73   0   0|1258M 1042M  169M 5261M|9467B 1620B|   0  4096B|   0  1.00 |1551  2303 |1.50 0.97 0.52|1.0   0  68|   0     0 |   0     0 | 10   28    6   21    0
Mar 15 11:56:28 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:28| 42   9  49   0   0|1377M  924M  169M 5261M|  12k 1737B|   0   104k|   0  9.00 |1977  2935 |1.50 0.97 0.52|2.0   0  92|   0     0 |   0     0 | 10   29    6   21    0
Mar 15 11:56:29 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:29| 53  16  31   1   0|1367M  934M  169M 5261M|8157B 1620B|   0   184k|   0  28.0 |4734    11k|1.54 0.99 0.53|5.0   0 454|   0     0 |   0     0 | 10   28    6   15    0
Mar 15 11:56:30 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:30| 82  16   2   0   0|1555M  745M  169M 5261M|  13k 1619B|   0    42M|   0   608 |4312  8408 |1.54 0.99 0.53|6.0   0 135|   0     0 |   0     0 | 10   30    6   15    0
Mar 15 11:56:31 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:31| 68  12  19   0   0|1392M  908M  169M 5261M|  13k 1714B|   0  1356k|   0  38.0 |3787    11k|1.54 0.99 0.53|2.0   0 202|   0     0 |   0     0 | 10   29    6   15    0
Mar 15 11:56:32 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:32| 30   5  64   0   0|1318M  982M  169M 5261M|6681B 1455B|   0   244k|   0  26.0 |2039  4197 |1.54 0.99 0.53|1.0   0 112|   0     0 |   0     0 | 10   28    6   15    0
Mar 15 11:56:33 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:33| 20   7  73   0   0|1285M 1015M  169M 5261M|7596B 1620B|   0   152k|   0  13.0 |2407  4260 |1.54 0.99 0.53|1.0   0  68|   0     0 |   0     0 | 10   28    6   15    0
Mar 15 11:56:34 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:34| 23   2  73   0   0|1334M  967M  169M 5261M|  14k 1788B|   0   156k|   0  11.0 |1632  2635 |1.50 0.99 0.53|3.0   0 2.0|   0     0 |   0     0 | 10   28    6   16    1
Mar 15 11:56:35 jammy-provider-cloud-0000008118 dstat.sh[69946]: 15-03 11:56:35| 14  20  66   0   0|1285M 1015M  169M 5261M|8181B 1792B|   0  3969k|   0   109 |3778  6675 |1.50 0.99 0.53|4.0   0 698|   0     0 |   0     0 | 10   28    6   16    0
