"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","jammy-provider-cloud-0000007958",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","03 Feb 2025 12:40:34 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
03-02 12:40:34,,984660,1963572,162816,4703652,,,,,,,1.460,0.890,0.500,4,0,,,,9,5,3,17,1
03-02 12:40:35,24.992,19.744,55.483,0.500,0,1007256,1940612,162840,4703944,47386.452,15296.304,0,3762.845,0,119.963,4064,7266,1.460,0.890,0.500,1,0,630.806,0,0,9,4,3,17,2
03-02 12:40:36,22.741,18.993,55.978,0.500,0,1014364,1913536,162872,4723844,5220133.488,52579.336,0,7393.095,0,97.962,6676,11279,1.460,0.890,0.500,6,0,343.865,0,0,9,4,3,16,2
03-02 12:40:37,31.445,9.483,56.401,0.998,0,1147328,1749068,163440,4876044,15003.773,1920.643,0,3817.327,0,206.639,3863,7253,1.460,0.890,0.500,1,0,69.878,0,0,10,4,3,16,2
03-02 12:40:38,34.297,8.512,56.577,1.001,0,1148792,1712564,164820,4906256,11824.093,1514.061,0,3797.168,0,157.214,2255,3287,1.500,0.910,0.500,2,0,110.150,0,0,10,6,3,16,2
03-02 12:40:39,37.274,9.756,52.784,0.250,0,1100812,1767840,165292,4897384,18894.054,4401.808,80.051,2945.879,1.001,78.050,2382,3582,1.500,0.910,0.500,2,0,179.114,0,0,10,4,3,18,0
03-02 12:40:40,46.136,6.484,46.635,0,0,1195180,1671212,165336,4899340,12958.940,1616.002,0,5654.012,0,19.951,9797,18967,1.500,0.910,0.500,2,0,11.970,0,0,10,4,3,18,0
03-02 12:40:41,37.096,10.277,45.869,8.021,0,1221856,1633692,166316,4908840,12990.607,1792.638,0,38559.754,0,3032.846,16770,38781,1.500,0.910,0.500,2,0,78.202,0,0,10,6,3,18,0
03-02 12:40:42,41.995,9.499,45.994,2.250,0,1128964,1725788,166556,4909320,12691.452,1619.802,0,22161.296,0,1499.817,4685,10454,1.500,0.910,0.500,2,0,99.988,0,0,10,4,3,18,0
03-02 12:40:43,42.653,4.240,52.631,0,0,1156740,1698052,166568,4909264,5499.544,1803.914,0,925.903,0,33.923,1337,1665,1.540,0.930,0.510,1,0,52.880,0,0,10,4,3,18,0
03-02 12:40:44,22.000,4.500,73.502,0.250,0,1127376,1727392,166596,4909256,12820.269,1662.035,0,7028.148,0,356.007,1555,2813,1.540,0.930,0.510,1,0,12.000,0,0,10,4,3,18,0
03-02 12:40:45,22.545,4.258,73.396,0,0,1076344,1778396,166608,4909272,16449.751,1460.909,0,432.862,0,22.044,1355,1751,1.540,0.930,0.510,1,0,55.110,0,0,10,4,3,18,0
03-02 12:40:46,10.239,17.731,70.676,0,0,1077524,1777188,166612,4909296,10042.435,1618.298,0,215.773,0,15.983,2865,4469,1.540,0.930,0.510,1,0,373.607,0,0,10,4,3,18,0
03-02 12:40:47,13.019,18.026,66.596,0,0,1081872,1772476,166612,4909788,12437.960,1622.343,0,2135.083,0,241.349,4161,8065,1.540,0.930,0.510,1,0,355.513,0,0,10,4,3,18,0
03-02 12:40:48,41.149,9.227,48.881,0,0,1191456,1662676,166612,4910148,15037.249,1616.050,0,0,0,0,2224,2974,1.580,0.950,0.520,2,0,134.671,0,0,10,5,3,18,0
03-02 12:40:49,47.562,3.004,49.064,0,0,1257172,1596128,166676,4911024,14451.947,1790.347,0,716.940,0,78.102,1340,1315,1.580,0.950,0.520,2,0,0,0,0,10,5,3,18,0
03-02 12:40:50,21.223,7.740,70.411,0,0,1273428,1577344,166768,4912884,14102.104,1617.947,0,523.336,0,50.935,1875,6057,1.580,0.950,0.520,0,0,117.850,0,0,10,4,3,19,0
03-02 12:40:51,10.752,2.750,84.762,0,0,1301460,1549312,166792,4912860,5153.758,1714.252,0,364.054,0,3.000,1187,1520,1.580,0.950,0.520,1,0,24.004,0,0,10,4,3,19,0
03-02 12:40:52,24.500,2.250,72.999,0,0,1357428,1493188,166812,4912948,16255.675,1457.971,0,1443.971,0,36.999,1225,1575,1.580,0.950,0.520,1,0,0,0,0,10,4,3,19,0
03-02 12:40:53,22.062,4.763,71.953,1.003,0,1282140,1568240,166868,4913124,13115.024,1624.586,0,1267.578,0,198.561,2769,5072,1.530,0.950,0.520,2,0,43.122,0,0,10,4,3,21,0
03-02 12:40:54,21.399,3.732,74.150,0.249,0,1333140,1516952,166872,4913384,12797.659,1612.398,0,788.283,0,10.948,1469,2161,1.530,0.950,0.520,2,0,2.986,0,0,10,13,3,21,0
03-02 12:40:55,21.543,6.012,71.394,0.752,0,1328948,1520788,166884,4913620,12071.348,1623.274,232.469,25142.713,58.117,211.426,2215,3412,1.530,0.950,0.520,1,0,47.095,0,0,10,28,3,21,0
03-02 12:40:56,22.291,6.763,70.381,0,0,1310684,1539036,166884,4913644,12676.578,1623.019,0,12.022,0,3.006,1977,2981,1.530,0.950,0.520,2,0,156.291,0,0,10,28,3,21,0
03-02 12:40:57,46.235,3.999,49.235,0,0,1420356,1429208,166884,4913800,13396.793,1619.491,0,7.997,0,1.000,2107,3181,1.530,0.950,0.520,2,0,3.999,0,0,10,29,3,21,0
03-02 12:40:58,59.514,13.753,25.506,0,0,1436192,1413008,166896,4914128,6816.636,1626.390,0,296.071,0,40.010,5074,9798,1.730,1,0.540,6,0,434.104,0,0,10,28,3,21,0
03-02 12:40:59,83.769,11.967,3.989,0,0,1602132,1246956,166904,4914212,5097.925,1615.539,0,183.493,0,16.953,6016,10989,1.730,1,0.540,7,0,153.576,0,0,10,30,3,21,0
03-02 12:41:00,61.814,11.011,26.778,0,0,1438736,1410120,166916,4914416,12891.368,1621.682,0,43300.903,0,674.700,4446,8460,1.730,1,0.540,1,1,202.210,0,0,10,29,3,19,0
03-02 12:41:01,29.242,6.748,64.232,0.250,0,1377104,1471876,166924,4914440,15771.615,1619.550,0,1331.630,0,30.991,2179,3334,1.730,1,0.540,1,0,112.969,0,0,10,28,3,19,0
03-02 12:41:02,20.253,5.751,72.261,0.250,0,1348972,1499876,166944,4914552,16090.365,1940.285,0,4692.690,0,165.024,2463,4155,1.730,1,0.540,2,0,70.010,0,0,10,28,4,19,0
03-02 12:41:03,27.280,5.506,67.324,0,0,1318172,1530620,166944,4914608,12163.441,1832.024,0,308.341,0,29.032,2431,5573,1.670,1,0.550,1,0,54.060,0,0,10,28,4,20,0
03-02 12:41:04,19.514,26.269,53.039,0,0,1359876,1488896,166948,4914624,17842.239,1621.203,0,328.244,0,25.019,4010,6752,1.670,1,0.550,5,0,891.662,0,0,10,28,4,19,0
03-02 12:41:05,84.727,12.497,2.749,0,0,1580556,1268176,166956,4914668,13210.446,1793.518,0,567.847,0,16.995,2757,4353,1.670,1,0.550,5,0,136.963,0,0,10,29,4,19,0
03-02 12:41:06,81.046,10.256,9.005,0,0,1484140,1364344,166976,4914888,5564.127,1662.935,0,2901.631,0,75.042,6867,16074,1.670,1,0.550,6,0,105.059,0,0,10,29,4,19,0
03-02 12:41:07,83.995,13.999,2.000,0,0,1583208,1265096,166984,4915060,15156.182,1713.907,0,807.956,0,26.999,3663,5927,1.670,1,0.550,6,0,216.988,0,0,10,29,4,19,0
03-02 12:41:08,84.753,9.750,5.000,0,0,1500796,1346992,166988,4915560,12503.475,1706.065,0,280.011,0,15.001,6625,13035,2.100,1.100,0.580,6,0,84.003,0,0,10,29,4,18,0
03-02 12:41:09,54.886,9.730,34.928,0.499,0,1391588,1455976,167000,4915732,5652.277,1784.299,0,455.056,0,35.925,4885,10907,2.100,1.100,0.580,2,0,217.549,0,0,10,28,4,19,0
03-02 12:41:10,44.593,6.764,48.601,0.251,0,1323820,1523708,167008,4915760,12989.954,1623.368,0,312.649,0,27.056,3664,7557,2.100,1.100,0.580,2,0,64.133,0,0,10,28,4,20,0
03-02 12:41:11,57.499,16.250,26.499,0,0,1491076,1356292,167008,4915940,13695.658,1619.960,0,66454.339,0,179.996,3176,4640,2.100,1.100,0.580,3,0,320.992,0,0,10,29,4,19,0
03-02 12:41:12,60.744,14.249,24.498,0,0,1404328,1442880,167012,4916084,13190.668,1511.847,0,879.911,0,56.994,6976,13621,2.100,1.100,0.580,4,0,259.974,0,0,10,28,4,21,0
