Feb 17 20:09:08 jammy-provider-cloud-0000008018 systemd[1]: Started Devstack devstack@dstat.service.
Feb 17 20:09:08 jammy-provider-cloud-0000008018 dstat.sh[58296]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Feb 17 20:09:08 jammy-provider-cloud-0000008018 dstat.sh[58296]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 17 20:09:08 jammy-provider-cloud-0000008018 dstat.sh[58296]: 17-02 20:09:08|                   | 970M 1884M  160M 4617M|           |           |           |           |1.37 0.85 0.47|1.0 1.0    |           |   0     0 |  9    5    4   16    1
Feb 17 20:09:09 jammy-provider-cloud-0000008018 dstat.sh[58296]: 17-02 20:09:09| 23  20  56   0   0| 978M 1869M  160M 4624M| 997k   25k|   0  4443k|   0   142 |4508  7520 |1.37 0.85 0.47|1.5 0.5 626|   0     0 |   0     0 |  9    4    4   16    2
Feb 17 20:09:10 jammy-provider-cloud-0000008018 dstat.sh[58296]: 17-02 20:09:10| 34  21  45   1   0|1010M 1810M  160M 4648M|  11k 1789B|   0  3278k|   0   137 |4306    10k|1.37 0.85 0.47|2.0   0 494|   0     0 |   0     0 |  9    4    4   16    2
Feb 17 20:09:11 jammy-provider-cloud-0000008018 dstat.sh[58296]: 17-02 20:09:11| 29  11  58   1   0|1124M 1654M  161M 4806M|  11k 1617B|   0  6532k|   0   258 |3137  7125 |1.37 0.85 0.47|1.0   0  49|   0     0 |   0     0 | 10    4    4   16    2
Feb 17 20:09:12 jammy-provider-cloud-0000008018 dstat.sh[58296]: 17-02 20:09:12| 33   7  59   1   0|1137M 1643M  162M 4802M|  15k 4349B|   0  1982k|   0  61.1 |1897  2585 |1.37 0.85 0.47|2.0   0 110|   0     0 |   0     0 | 10    4    4   16    0
Feb 17 20:09:13 jammy-provider-cloud-0000008018 dstat.sh[58296]: 17-02 20:09:13| 41  11  46   0   0|1129M 1650M  162M 4803M|5446B 1619B|  80k 1867k|1.00  34.0 |7892    15k|1.42 0.87 0.48|3.0   0 187|   0     0 |   0     0 | 10    4    4   18    0
Feb 17 20:09:14 jammy-provider-cloud-0000008018 dstat.sh[58296]: 17-02 20:09:14| 46   7  46   0   0|1179M 1599M  162M 4804M|4768B 1735B|   0  2710k|   0  11.0 |  11k   21k|1.42 0.87 0.48|2.0   0  13|   0     0 |   0     0 | 10    4    4   18    0
Feb 17 20:09:15 jammy-provider-cloud-0000008018 dstat.sh[58296]: 17-02 20:09:15| 31   9  47  13   0|1138M 1630M  163M 4812M|5335B 1715B|   0    37M|   0  3214 |  12k   27k|1.42 0.87 0.48|2.0   0  73|   0     0 |   0     0 | 10    6    4   18    0
Feb 17 20:09:16 jammy-provider-cloud-0000008018 dstat.sh[58296]: 17-02 20:09:16| 41   9  44   6   0|1076M 1691M  163M 4813M|4620B 1714B|   0    30M|   0  2027 |6276    14k|1.42 0.87 0.48|2.0   0 143|   0     0 |   0     0 | 10    4    4   18    0
Feb 17 20:09:17 jammy-provider-cloud-0000008018 dstat.sh[58296]: 17-02 20:09:17| 24   1  73   0   0|1133M 1634M  163M 4813M|6765B 1657B|   0   913k|   0  45.9 |1033  1312 |1.42 0.87 0.48|1.0   0 5.0|   0     0 |   0     0 | 10    4    4   18    0
