Apr 22 21:21:16 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 22 21:21:16 ubuntu dstat.sh[69585]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 22 21:21:16 ubuntu dstat.sh[69585]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 22 21:21:16 ubuntu dstat.sh[69585]: 22-04 21:21:16|                   |1011M 1452M  164M 4990M|           |           |           |           |1.59 1.09 0.60|2.0   0    |           |   0     0 |  9    7    4   16    1
Apr 22 21:21:17 ubuntu dstat.sh[69585]: 22-04 21:21:17| 25  21  52   1   0| 992M 1460M  164M 5001M|2235k   30k|   0  5823k|   0   153 |3764  5095 |1.59 1.09 0.60|2.0   0 353|   0     0 |   0     0 |  9    6    4   16    2
Apr 22 21:21:18 ubuntu dstat.sh[69585]: 22-04 21:21:18| 30  24  46   1   0| 986M 1426M  164M 5037M|5671B 1621B|   0  7532k|   0   153 |3404  5170 |1.59 1.09 0.60|2.0   0 384|   0     0 |   0     0 |  9    4    4   16    2
Apr 22 21:21:19 ubuntu dstat.sh[69585]: 22-04 21:21:19| 35  19  43   1   0| 988M 1392M  166M 5065M|  13k 1619B|   0  3686k|   0   141 |4088  9304 |1.59 1.09 0.60|1.0 1.0 255|   0     0 |   0     0 |  9    4    4   16    2
Apr 22 21:21:20 ubuntu dstat.sh[69585]: 22-04 21:21:20| 26  12  61   0   0|1058M 1330M  166M 5177M|  18k 4124B|   0  1270k|   0  39.9 |3578  6482 |1.54 1.09 0.60|1.0   0  50|   0     0 |   0     0 | 10    2    4   16    0
Apr 22 21:21:21 ubuntu dstat.sh[69585]: 22-04 21:21:21| 40  13  47   0   0|1096M 1290M  166M 5178M|6709B 1623B|  80k   40k|1.00  10.0 |8792    17k|1.54 1.09 0.60|2.0   0 151|   0     0 |   0     0 | 10    4    4   16    0
Apr 22 21:21:22 ubuntu dstat.sh[69585]: 22-04 21:21:22| 37  16  46   1   0|1134M 1252M  166M 5178M|  13k 1662B|   0  2113k|   0  18.0 |  10k   19k|1.54 1.09 0.60|2.0   0 166|   0     0 |   0     0 | 10    4    4   18    0
Apr 22 21:21:23 ubuntu dstat.sh[69585]: 22-04 21:21:23| 45   6  49   0   0|1140M 1245M  166M 5180M|7674B 1497B|   0  1677k|   0  22.0 |1378  1429 |1.54 1.09 0.60|2.0   0  11|   0     0 |   0     0 | 10    4    3   18    0
Apr 22 21:21:24 ubuntu dstat.sh[69585]: 22-04 21:21:24| 32   9  51   9   0|1138M 1239M  167M 5186M|  11k 1622B|   0    24M|   0  2295 |  12k   22k|1.54 1.09 0.60|  0 1.0  99|   0     0 |   0     0 | 10    6    3   18    0
Apr 22 21:21:25 ubuntu dstat.sh[69585]: 22-04 21:21:25| 17   7  66   8   0|1050M 1325M  167M 5189M|9813B 1618B|   0    41M|   0  3239 |  13k   22k|1.50 1.08 0.60|1.0   0  56|   0     0 |   0     0 | 10    4    3   18    0
Apr 22 21:21:26 ubuntu dstat.sh[69585]: 22-04 21:21:26| 20   6  72   1   0|1114M 1260M  167M 5189M|4839B 1457B|   0    13M|   0   820 |3175  4132 |1.50 1.08 0.60|1.0   0  48|   0     0 |   0     0 | 10    4    3   18    0
Apr 22 21:21:27 ubuntu dstat.sh[69585]: 22-04 21:21:27| 24   3  74   0   0|1054M 1320M  167M 5189M|  12k 1623B|   0   517k|   0  18.0 |1044  1138 |1.50 1.08 0.60|1.0   0  10|   0     0 |   0     0 | 10    4    3   18    0
