"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","jammy-provider-cloud-0000008055",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","12 Mar 2025 03:07:47 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
12-03 03:07:47,,957448,1563572,165312,5121740,,,,,,,0.890,0.760,0.470,3,0,,,,9,4,5,16,0
12-03 03:07:48,26.205,27.453,47.419,0,0,953696,1566724,165468,5121944,8061.183,1964.633,3.993,4324.588,0.998,181.689,4575,7909,0.890,0.760,0.470,4,0,828.580,0,0,9,2,5,16,0
12-03 03:07:49,78.821,13.512,7.006,0,0,1077308,1408676,166324,5151664,4517.065,1621.459,0,1337.203,0,19.017,9071,17137,1.220,0.830,0.500,8,0,186.168,0,0,9,2,5,16,0
12-03 03:07:50,63.430,12.736,21.976,0,0,1126160,1356412,166500,5154648,13256.272,3446.171,0,15.982,0,3.996,4597,7934,1.220,0.830,0.500,3,0,214.761,0,0,9,6,5,16,0
12-03 03:07:51,4.493,5.491,88.361,0,0,1252852,1229440,166500,5279392,18145.439,4500.916,0,0,0,0,2225,3226,1.220,0.830,0.500,3,0,36.942,0,0,10,8,5,10,0
12-03 03:07:52,16.998,9.249,73.243,0,0,1260580,1221544,166504,5279540,18681.300,4576.584,79.993,43.996,1.000,9.999,1771,2130,1.220,0.830,0.500,2,0,118.989,0,0,10,8,5,10,0
12-03 03:07:53,28.217,8.740,62.677,0.499,0.250,1201092,1280072,166568,5280228,41978.179,6650.266,0,14686.919,0,59.930,2263,3504,1.220,0.830,0.500,2,0,144.832,0,0,10,8,6,12,0
12-03 03:07:54,22.801,2.506,73.165,0.752,0,1246040,1233480,166800,5281220,17733.937,3573.047,0,3519.927,0,162.366,1619,2813,1.360,0.860,0.510,4,0,1.002,0,0,10,11,5,12,0
12-03 03:07:55,12.492,4.247,68.207,12.242,0,1256808,1214396,167636,5288512,209342.649,4319.249,0,25999.438,0,2624.328,11657,25227,1.360,0.860,0.510,3,0,54.965,0,0,10,11,5,12,0
