Feb 23 19:17:51 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 23 19:17:52 ubuntu dstat.sh[59101]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 23 19:17:52 ubuntu dstat.sh[59101]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 23 19:17:52 ubuntu dstat.sh[59101]: 23-02 19:17:52|                   | 983M 1653M  158M 4846M|           |           |           |           |1.86 1.06 0.55|1.0   0    |           |           | 10    6    0   17    0
Feb 23 19:17:53 ubuntu dstat.sh[59101]: 23-02 19:17:53| 22  21  55   1   0| 997M 1639M  158M 4847M|  24k   13k|   0  2840k|   0   104 |6847  6052 |1.86 1.06 0.55|2.0   0 563|   0     0 |           | 10    6    0   17    0
Feb 23 19:17:54 ubuntu dstat.sh[59101]: 23-02 19:17:54| 27  19  53   1   0|1016M 1619M  159M 4848M|  43k   15k|   0  3080k|   0  93.5 |6617  6162 |1.86 1.06 0.55|2.0   0 476|   0     0 |           | 10    6    0   17    0
Feb 23 19:17:55 ubuntu dstat.sh[59101]: 23-02 19:17:55| 32  15  51   0   0|1122M 1495M  159M 4986M| 181k   18k|   0  1867k|   0  49.9 |7025  8743 |1.86 1.06 0.55|1.0   0 192|   0     0 |           | 11    5    0   17    1
Feb 23 19:17:56 ubuntu dstat.sh[59101]: 23-02 19:17:56| 34  10  55   1   0|1143M 1454M  160M 5002M|4368B 1038B|  16k 2408k|1.00  77.0 |3763  2650 |1.86 1.06 0.55|2.0   0 100|   0     0 |           | 11    6    0   17    2
Feb 23 19:17:57 ubuntu dstat.sh[59101]: 23-02 19:17:57| 39  12  48   1   0|1171M 1402M  160M 5024M|5114B 1567B| 208k 1885k|9.00  55.0 |4511  3368 |1.87 1.07 0.56|2.0   0 185|   0     0 |           | 11    6    0   19    2
Feb 23 19:17:58 ubuntu dstat.sh[59101]: 23-02 19:17:58| 43   6  49   1   0|1228M 1325M  161M 5040M|4996B 1512B| 384k 5477k|14.0   145 |3342  2327 |1.87 1.07 0.56|4.0   0   0|   0     0 |           | 11    6    0   19    2
Feb 23 19:17:59 ubuntu dstat.sh[59101]: 23-02 19:17:59| 40   7  48   5   0|1245M 1273M  163M 5070M|4242B 1082B|  16k   23M|1.00  1321 |7915    12k|1.87 1.07 0.56|3.0   0  19|   0     0 |           | 11    8    0   19    2
Feb 23 19:18:00 ubuntu dstat.sh[59101]: 23-02 19:18:00| 33   6  47  11   0|1263M 1259M  164M 5064M|  10k 3685B|   0    61M|   0  4771 |  16k   30k|1.87 1.07 0.56|3.0   0  63|   0     0 |           | 11    4    0   19    0
Feb 23 19:18:01 ubuntu dstat.sh[59101]: 23-02 19:18:01| 41   9  49   0   0|1241M 1281M  164M 5064M|4981B 2004B|   0   939k|   0  55.0 |3619  2302 |1.87 1.07 0.56|4.0   0 110|   0     0 |           | 11    5    0   19    0
