"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","18 Feb 2026 23:16:11 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
18-02 23:16:11,,1034036,1667464,162080,4960300,,,,,,,1.550,0.990,0.520,3,0,,,,10,5,1,18,1
18-02 23:16:12,23.484,19.986,54.962,1.249,0,1048436,1652528,162132,4960692,44169.481,15048.602,0,3109.851,0,112.922,6772,6133,1.550,0.990,0.520,4,0,552.618,0,0,10,5,1,18,1
18-02 23:16:13,29.516,20.011,48.776,0.250,0,1040280,1640104,162268,4980224,175463.128,10685.732,0,2577.383,0,81.043,6324,6615,1.550,0.990,0.520,4,0,371.199,0,0,10,4,1,18,2
18-02 23:16:14,42.166,18.713,37.924,0.499,0,1160764,1496468,163348,5123488,4491.033,1690.625,0,2391.226,0,59.880,7833,14593,1.550,0.990,0.520,1,0,246.508,0,0,11,4,1,17,2
18-02 23:16:15,38.920,10.977,48.400,0.249,0,1192588,1449768,163676,5136380,4370.990,1690.515,15.967,12358.526,0.998,423.128,4248,2592,1.590,1.010,0.520,3,0,124.743,0,0,11,6,1,17,2
18-02 23:16:16,37.527,12.009,48.535,1.251,0,1208076,1406668,164756,5160296,4367.124,1533.097,344.246,4639.318,15.011,159.114,4600,3782,1.590,1.010,0.520,2,1,161.115,0,0,11,6,1,19,2
18-02 23:16:17,44.001,5.500,48.502,0.750,0,1249760,1332048,165968,5188556,4485.150,1620.054,248.008,3944.132,8.000,98.003,3265,2150,1.590,1.010,0.520,3,0,0,0,0,11,6,1,19,2
18-02 23:16:18,33.611,5.017,50.416,8.779,0,1274836,1309956,167440,5182880,10775.535,4291.151,16.053,32952.670,1.003,2489.209,11164,20171,1.590,1.010,0.520,4,0,46.152,0,0,11,6,1,19,0
18-02 23:16:19,37.481,9.495,42.978,8.746,0,1234668,1346180,168040,5186188,5123.434,1735.131,0,39408.267,0,2848.574,12649,22419,1.590,1.010,0.520,3,0,129.935,0,0,11,4,1,19,0
18-02 23:16:20,39.901,6.235,52.620,0.748,0,1311288,1263188,168132,5191792,10613.722,3890.368,0,5091.395,0,51.872,2966,1780,1.620,1.030,0.530,4,0,17.956,0,0,11,4,1,19,0
18-02 23:16:21,41.237,5.248,51.734,0.750,0,1285276,1284276,168380,5195816,11422.499,4485.625,0,7129.815,0,325.900,3592,3248,1.620,1.030,0.530,2,0,27.991,0,0,11,5,1,19,0
18-02 23:16:22,43.887,9.530,45.391,0.251,0,1300140,1266724,168620,5197436,4814.003,1799.608,0,1448.514,0,24.075,10998,18629,1.620,1.030,0.530,3,0,14.044,0,0,11,4,1,19,0
18-02 23:16:23,40.473,12.742,45.220,0,0,1288352,1278220,168696,5197624,4574.976,1530.988,0,1686.885,0,7.995,12667,20445,1.620,1.030,0.530,3,0,183.878,0,0,11,4,1,19,0
18-02 23:16:24,30.522,23.267,44.282,0.751,0,1173704,1405576,168732,5186380,4623.312,1621.161,0,8113.813,0,348.250,7238,7023,1.620,1.030,0.530,3,0,572.410,0,0,11,4,1,19,0
18-02 23:16:25,35.750,17.000,46.249,0.750,0,1160476,1411000,168752,5194472,4419.949,1619.981,7703.911,2375.973,77.999,104.999,6407,8343,1.650,1.040,0.540,4,0,288.997,0,0,11,4,1,19,0
18-02 23:16:26,45.862,5.982,47.108,0,0,1224060,1347432,168760,5194564,4187.409,1615.143,19.940,2392.805,3.988,174.475,3069,1472,1.650,1.040,0.540,2,0,26.919,0,0,11,5,1,19,0
18-02 23:16:27,44.487,5.998,48.736,0,0,1239500,1330932,168760,5195612,4455.705,1619.529,491.857,399.884,13.996,35.990,2769,1340,1.650,1.040,0.540,2,0,0,0,0,11,5,1,19,0
18-02 23:16:28,30.256,11.002,57.512,0,0,1275856,1292068,168760,5198060,4320.873,1620.328,0,1140.230,0,95.019,4192,4359,1.650,1.040,0.540,2,0,140.028,0,0,11,4,1,19,0
18-02 23:16:29,22.500,3.750,73.249,0.250,0,1356584,1211332,168768,5198060,4379.923,1619.972,0,1431.975,0,32.999,2038,1765,1.650,1.040,0.540,2,0,0,0,0,11,4,1,19,0
18-02 23:16:30,23.751,1.750,73.504,0,0,1379624,1188084,168768,5198268,4980.255,1620.083,0,40.002,0,4.000,1768,1145,1.600,1.040,0.540,2,0,0,0,0,11,6,1,19,0
18-02 23:16:31,19.748,6.999,70.242,1.250,0,1294572,1272992,168860,5198320,4637.493,1531.832,0,18925.930,0,417.954,4420,5744,1.600,1.040,0.540,1,0,42.995,0,0,11,4,1,21,0
18-02 23:16:32,21.500,2.500,75.249,0.250,0,1349256,1217552,169008,5198848,6845.919,3585.958,487.994,499.994,24.000,7.000,1910,1341,1.600,1.040,0.540,2,0,1.000,0,0,11,5,1,21,0
18-02 23:16:33,20.298,2.757,76.431,0.501,0,1353172,1213100,169064,5199220,7649.121,4864.524,272.646,1162.755,67.159,32.076,2499,2669,1.600,1.040,0.540,0,0,3.007,0,0,11,29,1,21,0
18-02 23:16:34,18.959,4.989,74.587,0,0,1400752,1165504,169064,5199236,9173.947,4969.138,0,7.983,0,1.996,2296,1804,1.600,1.040,0.540,1,0,42.906,0,0,11,28,1,22,0
18-02 23:16:35,17.009,2.751,79.541,0,0,1419912,1146328,169064,5199252,11537.946,7612.924,0,0,0,0,1854,1527,1.550,1.040,0.550,1,0,0,0,0,11,29,1,22,0
18-02 23:16:36,31.550,12.269,55.087,0,0,1491448,1074760,169064,5199268,6370.056,2620.136,0,28573.106,0,175.277,3860,2819,1.550,1.040,0.550,2,0,156.247,0,0,11,28,1,23,0
18-02 23:16:37,33.382,4.484,61.035,0,0,1534496,1031696,169064,5199280,14107.310,11954.891,0,0,0,0,3352,2835,1.550,1.040,0.550,0,0,0,0,0,11,30,1,23,0
18-02 23:16:38,45.465,19.593,34.915,0.251,0,1516904,1049044,169088,5199504,14736.698,9904.845,0,2274.759,0,46.219,7622,9741,1.550,1.040,0.550,5,0,469.219,0,0,11,28,1,18,0
18-02 23:16:39,83.434,16.487,0.250,0,0,1645984,919948,169088,5199520,7076.390,3899.908,0,83.933,0,5.995,5182,3163,1.550,1.040,0.550,7,0,110.912,0,0,11,29,1,18,0
18-02 23:16:40,79.930,9.742,9.742,0,0,1738288,827532,169088,5199624,39877.260,36400.289,0,2333.967,0,20.982,8563,11110,1.670,1.080,0.560,6,0,0,0,0,11,33,1,19,0
18-02 23:16:41,50.154,13.225,34.684,0.250,0,1575664,989964,169100,5199804,13529.066,10048.737,0,8890.957,0,186.642,6192,8264,1.670,1.080,0.560,2,0,309.407,0,0,11,28,1,24,0
18-02 23:16:42,19.499,3.250,76.747,0,0,1544064,1021532,169108,5199824,8599.713,5529.815,0,391.987,0,24.999,2225,2217,1.670,1.080,0.560,2,0,1.000,0,0,11,29,1,24,0
18-02 23:16:43,16.505,6.002,76.272,0.500,0,1509868,1055668,169152,5199840,7670.244,4651.361,0,872.255,0,68.020,3403,3651,1.670,1.080,0.560,2,0,68.020,0,0,11,28,1,25,0
18-02 23:16:44,18.512,2.502,78.049,0,0,1508048,1057480,169156,5199844,9258.862,5533.504,0,40.025,0,4.003,1976,1768,1.670,1.080,0.560,2,0,0,0,0,11,29,1,25,0
18-02 23:16:45,14.787,8.772,75.440,0.251,0,1451424,1114064,169180,5199860,8494.409,4752.979,0,874.203,0,58.147,4234,4361,1.620,1.070,0.560,1,0,193.488,0,0,11,28,1,26,0
18-02 23:16:46,26.003,31.754,40.755,0,0.250,1450096,1115348,169180,5199900,4980.653,1620.213,0,61128.020,0,701.092,7055,6483,1.620,1.070,0.560,5,0,845.111,0,0,11,28,1,26,0
