"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","np0000000044",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","12 Feb 2026 13:19:11 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
12-02 13:19:11,,1062104,1636388,161952,4964172,,,,,,,1.080,0.820,0.470,1,0,,,,10,5,0,17,1
12-02 13:19:12,21.464,20.716,56.157,0.499,0,1057144,1641084,161980,4964372,14635.635,7705.172,0,1920.802,0,78.869,5636,4193,1.080,0.820,0.470,1,0,326.457,0,0,10,5,0,17,1
12-02 13:19:13,21.478,21.228,55.193,0.749,0,1059332,1638528,162012,4964656,42071.259,12782.710,0,2964.917,0,282.706,5578,4039,1.080,0.820,0.470,4,1,348.638,0,0,10,5,0,17,1
12-02 13:19:14,27.801,18.784,50.843,1.002,0,1075488,1621852,162112,4965120,20326.251,12548.998,0,7666.049,0,170.312,5911,5413,1.150,0.840,0.480,2,0,277.509,0,0,10,4,0,17,2
12-02 13:19:15,33.752,17.751,46.752,0.750,0,1034428,1637884,162516,4987656,172133.976,6563.342,0,2888.151,0,120.006,5970,7129,1.150,0.840,0.480,5,0,208.011,0,0,10,4,0,17,2
12-02 13:19:16,34.025,13.760,51.288,0.500,0,1162972,1484324,163504,5133236,5113.800,1621.205,16.012,1817.350,1.001,57.042,4703,4046,1.150,0.840,0.480,3,0,109.081,0,0,11,6,0,17,2
12-02 13:19:17,36.403,14.711,47.125,0,0,1190820,1437028,163804,5150812,5027.645,1454.137,0,1152.937,0,46.875,4817,3296,1.150,0.840,0.480,4,0,189.497,0,0,11,6,0,19,2
12-02 13:19:18,42.489,6.998,48.488,1.500,0,1235260,1372724,164992,5166784,4524.878,1619.598,487.879,4986.764,19.995,143.964,3291,2326,1.150,0.840,0.480,3,0,0,0,0,11,6,0,19,2
12-02 13:19:19,43.834,5.761,48.092,1.753,0,1265604,1311920,166072,5193192,4620.814,1623.096,128.245,7598.494,6.011,189.361,3656,3043,1.300,0.870,0.500,4,0,1.002,0,0,11,8,0,19,2
12-02 13:19:20,26.989,7.497,49.730,12.995,0,1290356,1290120,167564,5187500,10707.624,4341.226,0,35221.605,0,2549.958,12179,22327,1.300,0.870,0.500,2,0,47.980,0,0,11,6,0,19,0
12-02 13:19:21,38.011,8.502,43.012,9.003,0,1275392,1301576,168172,5190352,4822.355,2047.575,0,38342.773,0,2727.766,11717,21416,1.300,0.870,0.500,2,0,70.020,0,0,11,5,0,19,0
12-02 13:19:22,36.537,10.260,50.050,1.251,0,1266276,1304296,168332,5195932,10248.260,3542.547,0,13445.461,0,677.678,5055,5412,1.300,0.870,0.500,2,0,75.075,0,0,11,4,0,19,0
12-02 13:19:23,39.927,4.242,55.150,0,0,1272884,1296312,168336,5197104,11166.692,4614.608,0,1105.989,0,25.953,2791,1625,1.300,0.870,0.500,2,0,17.967,0,0,11,5,0,19,0
12-02 13:19:24,42.067,10.016,44.821,1.002,0,1300112,1262828,168756,5201604,4789.624,1796.860,0,6362.127,0,250.399,11140,18922,1.360,0.890,0.500,3,0,24.038,0,0,11,4,0,19,0
12-02 13:19:25,44.747,8.750,45.497,0,0,1291432,1271184,168840,5201768,4577.742,1457.918,0,3683.792,0,182.990,10640,17250,1.360,0.890,0.500,2,0,19.999,0,0,11,4,0,19,0
12-02 13:19:26,30.242,22.994,45.988,0,0,1208356,1367124,168852,5190512,4318.850,1619.569,0,447.881,0,25.993,5896,4556,1.360,0.890,0.500,2,0,405.892,0,0,11,4,0,19,0
12-02 13:19:27,24.460,23.961,49.669,0,0,1208092,1367336,168856,5190900,4270.039,1617.363,0,35.941,0,8.985,6845,6691,1.360,0.890,0.500,1,0,449.268,0,0,11,4,0,19,0
12-02 13:19:28,30.323,16.289,51.874,0.501,0,1209788,1358004,168856,5198600,4390.512,1665.989,7722.490,0,78.187,0,5318,5589,1.360,0.890,0.500,2,0,194.466,0,0,11,5,0,19,0
12-02 13:19:29,45.460,5.995,47.958,0,0,1255644,1312012,168872,5198716,4735.859,1660.548,19.983,14331.468,3.997,95.916,2867,1487,1.410,0.910,0.510,2,0,0,0,0,11,5,0,19,0
12-02 13:19:30,41.762,9.003,48.264,0.250,0,1283772,1282480,168872,5200120,4861.424,1620.475,492.144,452.132,4.001,20.006,2719,1400,1.410,0.910,0.510,2,0,0,0,0,11,5,0,19,0
12-02 13:19:31,23.489,11.495,63.471,0,0,1282900,1281136,168956,5202228,4797.832,1619.268,0,2702.778,0,146.934,4133,4987,1.410,0.910,0.510,1,0,117.947,0,0,11,4,0,13,0
12-02 13:19:32,3.997,2.498,92.179,0,0,1284844,1279184,168956,5202228,5772.524,1618.745,0,399.690,0,27.978,1184,1380,1.410,0.910,0.510,1,0,22.982,0,0,11,4,0,13,0
12-02 13:19:33,22.947,3.492,73.083,0,0,1364864,1199164,168956,5202236,5106.312,1454.670,0,0,0,0,1897,1389,1.410,0.910,0.510,2,0,0.998,0,0,11,4,0,13,0
12-02 13:19:34,24.816,3.259,71.691,0.501,0,1385972,1177848,168956,5202444,5741.280,1624.323,0,12409.026,0,132.352,2028,1644,1.380,0.910,0.520,1,0,1.003,0,0,11,6,0,13,0
12-02 13:19:35,19.441,7.228,69.539,1.745,0,1279324,1284372,169036,5202488,5469.378,1615.091,0,7162.233,0,497.488,4648,5674,1.380,0.910,0.520,5,0,43.867,0,0,11,4,0,15,0
12-02 13:19:36,21.782,3.755,73.357,0,0,1317588,1245420,169180,5203004,5383.840,1622.362,488.712,12.017,24.035,5.007,1762,1108,1.380,0.910,0.520,1,0,0,0,0,11,4,0,15,0
12-02 13:19:37,17.760,3.502,78.296,0.250,0,1331784,1231052,169180,5203156,9287.464,5767.393,4.002,1428.841,1.001,46.027,2406,2293,1.380,0.910,0.520,1,0,1.001,0,0,11,17,0,15,0
12-02 13:19:38,17.993,5.748,74.469,0.750,0,1312920,1249488,169232,5203404,9281.167,5730.633,267.889,1963.189,65.973,88.963,2696,2265,1.380,0.910,0.520,2,0,44.981,0,0,11,28,0,16,0
12-02 13:19:39,18.498,3.250,76.991,0,0,1368856,1193544,169236,5203408,9343.951,5763.353,0,22445.480,0,157.982,2076,1811,1.270,0.900,0.510,1,0,0,0,0,11,29,0,16,0
12-02 13:19:40,17.507,12.255,68.777,0,0,1326160,1236220,169236,5203432,8672.394,4458.745,0,3001.174,0,52.020,3607,2681,1.270,0.900,0.510,2,0,156.061,0,0,11,28,0,17,0
12-02 13:19:41,39.984,6.997,52.229,0,0,1462908,1099464,169236,5203432,6748.351,4214.346,0,99.961,0,10.996,2779,1499,1.270,0.900,0.510,2,0,0,0,0,11,30,0,17,0
12-02 13:19:42,30.296,4.256,64.098,0.250,0,1459984,1102184,169236,5203636,20601.382,16869.698,0,88.134,0,11.017,5776,7470,1.270,0.900,0.510,3,0,0,0,0,11,30,0,17,0
12-02 13:19:43,55.828,28.039,16.023,0,0,1490692,1071440,169240,5203672,5308.464,2352.307,0,432.608,0,60.084,5837,5505,1.270,0.900,0.510,7,0,579.815,0,0,11,28,0,18,0
12-02 13:19:44,83.200,14.241,2.249,0,0,1704800,857308,169240,5203692,12272.617,10135.903,0,9954.012,0,418.748,5163,2752,1.570,0.970,0.540,3,0,0,0,0,11,32,0,16,0
12-02 13:19:45,72.789,10.005,16.259,0.250,0,1725496,836520,169260,5203936,36854.525,31975.941,0,452.240,0,51.027,8520,12199,1.570,0.970,0.540,5,0,50.027,0,0,11,31,0,19,0
12-02 13:19:46,34.410,14.711,49.371,0.249,0,1550756,1011224,169260,5203968,10824.631,8083.814,0,331.132,0,23.937,5299,6014,1.570,0.970,0.540,2,0,259.320,0,0,11,28,0,22,0
12-02 13:19:47,20.262,4.503,74.794,0.250,0,1541724,1020252,169264,5203968,5815.435,3174.875,0,156.092,0,11.007,1774,1290,1.570,0.970,0.540,0,0,0,0,0,11,29,0,22,0
12-02 13:19:48,15.248,1.750,81.491,0,0,1499024,1062932,169272,5203980,11175.823,7169.245,0,231.976,0,17.998,2627,3259,1.570,0.970,0.540,1,0,1.000,0,0,11,28,0,23,0
12-02 13:19:49,18.246,9.998,70.986,0,0,1485000,1076940,169280,5203988,4363.135,1457.711,0,84931.171,0,710.859,3379,3681,1.520,0.970,0.540,1,0,66.987,0,0,11,28,0,23,0
12-02 13:19:50,14.972,2.246,82.095,0,0,1481052,1080888,169284,5203996,10770.708,7751.396,0,3361.667,0,87.835,2245,2310,1.520,0.970,0.540,2,0,0,0,0,11,29,0,23,0
12-02 13:19:51,11.531,17.548,68.436,0.251,0,1436968,1124932,169304,5204016,5427.731,2483.741,0,1279.473,0,85.231,5215,4325,1.520,0.970,0.540,1,0,246.669,0,0,11,28,0,24,0
12-02 13:19:52,9.011,25.281,64.078,0.250,0,1396632,1165256,169304,5204028,4582.592,1621.979,0,184.225,0,14.017,5517,3744,1.520,0.970,0.540,2,0,397.485,0,0,11,28,0,24,0
12-02 13:19:53,66.269,28.508,5.001,0,0,1534788,1027076,169308,5204048,3961.131,1620.463,0,328.094,0,21.006,5523,4260,1.520,0.970,0.540,5,0,396.113,0,0,11,28,0,24,0
12-02 13:19:54,77.542,10.223,11.469,0,0,1693936,867904,169308,5206668,28137.413,24216.945,0,0,0,0,6180,10408,1.720,1.020,0.560,6,0,33.909,0,0,11,33,0,24,0
12-02 13:19:55,64.423,14.539,19.803,0.251,0,1644908,916704,169324,5204276,35021.905,28596.677,0,8318.304,0,242.651,10757,22897,1.720,1.020,0.560,7,0,228.613,0,0,11,28,0,26,0
12-02 13:19:56,80.750,19.500,0.250,0,0,1617348,944148,169328,5204388,5640.012,1620.004,0,188.000,0,8.000,5070,3160,1.720,1.020,0.560,6,0,84.000,0,0,11,28,0,25,0
12-02 13:19:57,83.422,9.991,5.994,0,0,1746820,814644,169332,5204416,29320.428,26162.398,0,175.835,0,7.992,5668,5723,1.720,1.020,0.560,7,0,0,0,0,11,34,0,25,0
12-02 13:19:58,73.501,13.750,11.750,0,0,1636696,924316,169340,5204860,44077.342,38371.298,0,1048.008,0,78.001,9604,16571,1.720,1.020,0.560,6,0,183.001,0,0,11,29,0,29,0
12-02 13:19:59,46.151,10.727,42.658,0,0,1566204,994780,169344,5204884,7667.544,4759.784,0,179.615,0,13.970,3480,2288,1.740,1.040,0.570,1,0,114.754,0,0,11,29,0,30,0
12-02 13:20:00,29.221,3.746,65.434,0.250,0,1553924,1006888,169348,5205052,20499.385,16867.038,0,355.642,0,20.979,4489,5999,1.740,1.040,0.570,2,0,0,0,0,11,29,0,30,0
12-02 13:20:01,39.637,25.589,34.118,0,0,1471444,1089336,169352,5205084,6283.759,2815.750,0,212.737,0,15.052,5327,4051,1.740,1.040,0.570,3,0,379.313,0,0,11,28,0,31,0
12-02 13:20:02,52.003,6.750,40.252,0,0,1566744,994020,169356,5205096,16626.954,13344.766,0,180.010,0,10.001,3818,2862,1.740,1.040,0.570,3,0,0,0,0,11,31,0,31,0
12-02 13:20:03,47.024,13.757,38.520,0.250,0,1496744,1063916,169404,5205152,21809.202,18361.431,0,828.426,0,75.039,7534,10701,1.740,1.040,0.570,5,0,222.114,0,0,11,28,0,32,0
12-02 13:20:04,80.466,17.743,1.499,0,0,1588284,972324,169428,5205176,5214.798,3143.673,0,3578.489,0,165.930,5062,2843,1.920,1.080,0.580,4,0,36.984,0,0,11,29,0,28,0
12-02 13:20:05,52.444,6.493,39.458,0.499,0.250,1603232,957264,169444,5205264,37363.008,32839.849,0,687.264,0,38.958,8235,11158,1.920,1.080,0.580,5,0,2.997,0,0,11,31,0,29,0
12-02 13:20:06,63.005,19.502,17.251,0,0,1512324,1048112,169444,5205304,12576.066,9063.768,0,1168.099,0,31.003,5883,6174,1.920,1.080,0.580,3,0,330.028,0,0,11,28,0,31,0
12-02 13:20:07,51.238,6.498,40.990,0,0,1584372,976044,169452,5205316,16482.021,13340.779,0,259.937,0,12.997,3899,2650,1.920,1.080,0.580,3,0,0,0,0,11,31,0,31,0
12-02 13:20:08,46.582,17.531,35.312,0.250,0,1478364,1081776,169472,5205572,22524.672,19014.490,0,1334.350,0,92.162,7464,10421,1.920,1.080,0.580,4,0,299.528,0,0,11,28,0,30,0
12-02 13:20:09,56.862,9.477,32.920,0,0,1601840,958156,169476,5205712,9421.138,7493.815,0,175.574,0,7.981,3555,1592,2.010,1.120,0.600,0,0,0,0,0,11,31,0,30,0
12-02 13:20:10,46.013,6.252,47.013,0,0.250,1579596,980180,169484,5205924,28559.064,23520.641,0,564.159,0,25.007,7196,9552,2.010,1.120,0.600,3,0,21.006,0,0,11,28,0,32,1
12-02 13:20:11,61.109,18.283,20.286,0,0,1550556,1009024,169488,5206112,5061.031,1689.014,0,2712.841,0,130.232,4340,2652,2.010,1.120,0.600,3,0,266.476,0,0,11,28,0,33,0
