Mar 11 17:54:17 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 11 17:54:17 ubuntu dstat.sh[59268]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 11 17:54:17 ubuntu dstat.sh[59268]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 11 17:54:17 ubuntu dstat.sh[59268]: 11-03 17:54:17|                   | 940M 1651M  160M 4887M|           |           |           |           |2.44 1.18 0.60|1.0   0    |           |           | 10    3    0   17    1
Mar 11 17:54:18 ubuntu dstat.sh[59268]: 11-03 17:54:18|  7  20  70   0   0| 945M 1647M  160M 4887M|4848B 1567B|   0   244k|   0  12.0 |4863  3058 |2.44 1.18 0.60|1.0   0 257|   0     0 |           | 10    3    0   17    1
Mar 11 17:54:19 ubuntu dstat.sh[59268]: 11-03 17:54:19|  8  21  69   0   0| 949M 1642M  160M 4887M|4827B 1510B|   0  3280k|   0  12.5 |4861  3072 |2.44 1.18 0.60|1.0   0 262|   0     0 |           | 10    3    0   17    1
Mar 11 17:54:20 ubuntu dstat.sh[59268]: 11-03 17:54:20|  8  22  68   0   0| 935M 1656M  160M 4887M|3704B  583B|   0    24k|   0  6.01 |5135  3301 |2.44 1.18 0.60|1.0   0 278|   0     0 |           | 10    3    0   17    1
Mar 11 17:54:21 ubuntu dstat.sh[59268]: 11-03 17:54:21| 14  19  66   0   0| 932M 1659M  160M 4887M|3680B 1024B|   0    20k|   0  4.99 |5265  5215 |2.44 1.18 0.60|1.0   0 224|   0     0 |           | 10    3    0   17    1
Mar 11 17:54:22 ubuntu dstat.sh[59268]: 11-03 17:54:22| 17  14  67   0   0|1041M 1549M  160M 5009M|4001B 1564B|   0     0 |   0     0 |5714  7257 |2.49 1.21 0.62|2.0   0 147|   0     0 |           | 11    3    0   17    1
Mar 11 17:54:23 ubuntu dstat.sh[59268]: 11-03 17:54:23|  6   8  85   0   0|1068M 1522M  160M 5009M|4195B 1569B|  16k  241k|1.00  4.01 |2293  1838 |2.49 1.21 0.62|1.0   0  79|   0     0 |           | 11    5    0   17    1
Mar 11 17:54:24 ubuntu dstat.sh[59268]: 11-03 17:54:24| 15  11  72   0   0|1088M 1503M  160M 5009M|4258B 1619B|   0   136k|   0  11.0 |3609  2486 |2.49 1.21 0.62|2.0   0 150|   0     0 |           | 11    5    0   17    1
Mar 11 17:54:25 ubuntu dstat.sh[59268]: 11-03 17:54:25| 19   6  73   0   0|1138M 1452M  160M 5010M|4269B 1617B|  32k  782k|2.00  33.9 |2930  2354 |2.49 1.21 0.62|3.0   0  56|   0     0 |           | 11    5    0   19    1
Mar 11 17:54:26 ubuntu dstat.sh[59268]: 11-03 17:54:26| 23   3  73   0   0|1175M 1414M  160M 5011M|3805B 1243B|   0     0 |   0     0 |1730  1185 |2.49 1.21 0.62|2.0   0   0|   0     0 |           | 11    5    0   19    1
Mar 11 17:54:27 ubuntu dstat.sh[59268]: 11-03 17:54:27| 13   6  68  11   0|1181M 1402M  161M 5016M|3942B 1298B|   0    29M|   0  2562 |  11k   21k|2.45 1.22 0.63|2.0 1.0  43|   0     0 |           | 11    7    0   19    1
Mar 11 17:54:28 ubuntu dstat.sh[59268]: 11-03 17:54:28| 16   6  65   9   0|1142M 1436M  161M 5019M|4000B 1564B|   0    41M|   0  3264 |  12k   24k|2.45 1.22 0.63|3.0   0  56|   0     0 |           | 11    5    0   19    1
Mar 11 17:54:29 ubuntu dstat.sh[59268]: 11-03 17:54:29| 21   7  70   1   0|1197M 1381M  162M 5019M|3992B 1078B|   0    19M|   0  1107 |3888  5075 |2.45 1.22 0.63|1.0   0  58|   0     0 |           | 11    5    0   19    1
Mar 11 17:54:30 ubuntu dstat.sh[59268]: 11-03 17:54:30| 25   3  71   0   0|1234M 1344M  162M 5019M|4975B 2657B|   0   647k|   0  29.0 |2009  1533 |2.45 1.22 0.63|2.0   0   0|   0     0 |           | 11    5    0   19    2
Mar 11 17:54:31 ubuntu dstat.sh[59268]: 11-03 17:54:31| 22   4  73   1   0|1216M 1362M  162M 5019M|7960B 1627B|   0  4969k|   0   245 |2217  2183 |2.45 1.22 0.63|2.0   0  11|   0     0 |           | 11    5    0   19    1
Mar 11 17:54:32 ubuntu dstat.sh[59268]: 11-03 17:54:32| 23   3  73   0   0|1212M 1366M  162M 5019M|4480B 1564B|   0     0 |   0     0 |1768  1283 |2.33 1.22 0.63|2.0   0   0|   0     0 |           | 11    5    0   19    1
Mar 11 17:54:33 ubuntu dstat.sh[59268]: 11-03 17:54:33| 11  16  71   0   0|1146M 1432M  162M 5019M|4836B 1513B|   0     0 |   0     0 |4405  2936 |2.33 1.22 0.63|2.0   0 220|   0     0 |           | 11    5    0   19    1
Mar 11 17:54:34 ubuntu dstat.sh[59268]: 11-03 17:54:34| 10  21  68   0   0|1143M 1435M  162M 5019M|5465B 1622B|   0    28k|   0  7.01 |5470  3806 |2.33 1.22 0.63|1.0   0 311|   0     0 |           | 11    5    0   19    1
Mar 11 17:54:35 ubuntu dstat.sh[59268]: 11-03 17:54:35| 13  20  65   0   0|1148M 1430M  162M 5020M|5364B 1405B|   0    14M|   0  87.0 |5883  5726 |2.33 1.22 0.63|1.0   0 255|   0     0 |           | 11    5    0   19    1
Mar 11 17:54:36 ubuntu dstat.sh[59268]: 11-03 17:54:36| 34  16  49   0   0|1201M 1377M  162M 5020M|4665B 1132B|   0   543k|   0  3.99 |5636  6250 |2.33 1.22 0.63|2.0   0 194|   0     0 |           | 11    6    0   13    1
Mar 11 17:54:37 ubuntu dstat.sh[59268]: 11-03 17:54:37| 46   4  49   0   0|1275M 1302M  162M 5021M|5049B 1665B|   0   180k|   0  1.00 |2720  1218 |2.31 1.23 0.64|4.0   0   0|   0     0 |           | 11    6    0   13    1
Mar 11 17:54:38 ubuntu dstat.sh[59268]: 11-03 17:54:38| 43   9  47   0   0|1311M 1264M  162M 5022M|5013B 1562B|   0   347k|   0  8.98 |3458  4155 |2.31 1.23 0.64|5.0   0   0|   0     0 |           | 11    6    0   13    1
Mar 11 17:54:39 ubuntu dstat.sh[59268]: 11-03 17:54:39|  9  10  80   0   0|1297M 1277M  162M 5023M|4687B 1622B|   0  3489k|   0  70.1 |3064  3164 |2.31 1.23 0.64|1.0   0 118|   0     0 |           | 11    5    0   14    1
Mar 11 17:54:40 ubuntu dstat.sh[59268]: 11-03 17:54:40| 12   5  82   0   0|1339M 1235M  162M 5023M|4861B 1565B|   0  9563k|   0  48.0 |1826  1662 |2.31 1.23 0.64|1.0   0  24|   0     0 |           | 11    5    0   14    1
Mar 11 17:54:41 ubuntu dstat.sh[59268]: 11-03 17:54:41| 23   3  73   0   0|1386M 1189M  162M 5023M|4910B 1617B|   0  1146k|   0  18.0 |1889  1714 |2.31 1.23 0.64|2.0   0 2.0|   0     0 |           | 11    5    0   14    1
Mar 11 17:54:42 ubuntu dstat.sh[59268]: 11-03 17:54:42| 23   3  73   0   0|1405M 1169M  162M 5023M|5110B 1570B|   0   606k|   0  69.2 |2582  2594 |2.20 1.23 0.64|1.0   0 1.0|   0     0 |           | 11   11    0   14    1
Mar 11 17:54:43 ubuntu dstat.sh[59268]: 11-03 17:54:43| 26   7  65   1   0|1370M 1204M  162M 5023M|4708B 1511B|   0  3281k|   0   255 |4140    11k|2.20 1.23 0.64|2.0   0  78|   0     0 |           | 11    5    0   17    1
Mar 11 17:54:44 ubuntu dstat.sh[59268]: 11-03 17:54:44| 20   3  75   0   0|1403M 1171M  162M 5023M|  17k 4699B| 144k  960k|7.00  13.0 |1894  1376 |2.20 1.23 0.64|1.0   0   0|   0     0 |           | 11    5    0   16    2
Mar 11 17:54:45 ubuntu dstat.sh[59268]: 11-03 17:54:45| 34   5  59   1   0|1417M 1155M  162M 5024M|  21k   11k| 268k   34M|66.0   233 |3693  3046 |2.20 1.23 0.64|2.0   0 2.0|   0     0 |           | 11   28    0   16    2
