"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Mar 2026 14:07:49 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-03 14:07:49,,1091444,1531192,162924,5033104,,,,,,,1.600,1.050,0.590,3,0,,,,10,6,1,17,0
17-03 14:07:50,26.693,22.452,49.894,0.499,0,1097588,1524468,162976,5033492,41757.200,14518.126,0,1768.240,0,58.875,6397,13988,1.600,1.050,0.590,1,0,439.066,0,0,10,5,1,18,1
17-03 14:07:51,23.044,22.793,52.349,0.751,0,1056480,1546780,163076,5051340,186335.262,14557.599,0,2412.574,0,73.139,5886,4247,1.600,1.050,0.590,2,0,364.691,0,0,10,5,1,17,1
17-03 14:07:52,36.004,19.252,42.505,0.500,0,1041384,1540744,164044,5069000,4596.537,1752.205,0,2224.260,0,71.008,6470,6436,1.600,1.050,0.590,3,0,259.030,0,0,10,4,1,17,2
17-03 14:07:53,39.210,16.983,42.956,0.250,0,1158324,1398980,164484,5215532,4495.383,1692.262,0,4847.022,0,49.949,5925,7715,1.600,1.050,0.590,2,0,173.821,0,0,11,6,1,17,2
17-03 14:07:54,38.290,11.512,47.550,1.251,0,1170980,1366816,165600,5231124,4582.775,1459.521,16.017,4272.452,1.001,267.279,4393,3140,1.630,1.070,0.600,3,0,121.126,0,0,11,6,1,17,2
17-03 14:07:55,38.674,11.477,48.155,0.998,0,1222612,1284656,166756,5257756,4551.039,1616.817,31.937,4044.038,1.996,112.778,4355,3294,1.630,1.070,0.600,2,0,121.760,0,0,11,6,1,19,2
17-03 14:07:56,40.266,5.502,52.771,0,0,1279688,1240336,167100,5243988,10879.357,4186.677,0,1896.760,0,33.013,2895,1724,1.630,1.070,0.600,3,0,2.001,0,0,11,4,1,19,0
17-03 14:07:57,33.239,7.248,49.733,8.247,0,1306516,1203052,167992,5253072,10164.504,3728.718,0,22956.105,0,2009.309,9911,16828,1.630,1.070,0.600,3,1,60.979,0,0,11,7,1,19,0
