"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","06 Apr 2026 11:16:47 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
06-04 11:16:47,,966828,1433468,167460,5240416,,,,,,,1.070,0.870,0.490,1,0,,,,10,5,0,17,0
06-04 11:16:48,15.477,21.468,61.158,0.250,0,991160,1408840,167572,5240552,34491.123,9280.042,0,2124.804,0,86.869,6677,5766,1.070,0.870,0.490,1,0,522.215,0,0,10,6,0,17,0
06-04 11:16:49,22.516,19.014,56.541,0.751,0,998428,1400740,167720,5241132,23232.661,13076.378,0,9382.729,0,456.327,5923,5999,1.070,0.870,0.490,2,0,371.266,0,0,10,6,0,17,0
06-04 11:16:50,34.860,17.928,46.563,0.249,0,1082540,1316124,167836,5309860,17541.600,10194.088,0,1262.931,0,35.856,6415,14734,1.070,0.870,0.490,3,0,278.881,0,0,11,5,0,18,1
06-04 11:16:51,14.782,5.261,78.920,0.251,0,1145604,1252396,167972,5366656,36314.286,10428.482,0,1170.523,0,39.084,2255,1980,1.140,0.890,0.500,4,0,71.153,0,0,11,7,0,18,1
06-04 11:16:52,26.316,10.526,61.655,0.501,0,1157412,1230976,168116,5375832,143474.672,15784.570,0,1692.242,0,51.128,4125,2943,1.140,0.890,0.500,3,0,166.417,0,0,11,6,0,17,2
06-04 11:16:53,40.486,8.247,49.982,0.500,0,1214592,1151792,169044,5394364,46842.292,3904.607,31.989,3030.919,1.999,94.966,3677,2619,1.140,0.890,0.500,2,0,44.984,0,0,11,6,0,19,2
06-04 11:16:54,45.724,4.747,48.223,0.750,0,1265216,1081424,169644,5411236,4613.386,1565.113,0,6944.066,0,161.908,3145,1864,1.140,0.890,0.500,2,0,0,0,0,11,6,0,19,2
06-04 11:16:55,32.997,6.499,44.745,12.249,0,1298800,1016816,171364,5438012,5312.440,1553.836,0,30864.749,0,2113.777,11099,19541,1.140,0.890,0.500,0,2,36.996,0,0,11,8,0,19,2
06-04 11:16:56,35.015,6.253,42.268,14.006,0,1303032,978480,172956,5467416,5200.190,1566.660,0,54066.768,0,3608.520,13909,26564,1.210,0.900,0.510,2,0,45.019,0,0,11,8,0,19,2
06-04 11:16:57,40.193,8.987,46.934,3.495,0,1251876,1014696,173972,5479132,5471.289,1936.271,0,21034.355,0,1317.144,5533,7050,1.210,0.900,0.510,1,0,74.894,0,0,11,7,0,19,2
06-04 11:16:58,40.678,4.742,53.655,0.499,0,1245028,1038988,173972,5462060,9957.328,3320.108,0,830.526,0,42.924,2600,1504,1.210,0.900,0.510,2,0,2.995,0,0,11,4,0,19,0
06-04 11:16:59,39.243,6.499,52.741,1.000,0,1257420,1021376,174136,5466636,9658.371,3267.449,0,9282.434,0,738.875,3807,3398,1.210,0.900,0.510,2,0,42.993,0,0,11,4,0,19,1
06-04 11:17:00,43.749,5.000,49.999,0,0,1286088,991368,174156,5467804,7776.790,2112.943,0,475.987,0,11.000,2990,1651,1.210,0.900,0.510,3,0,18.999,0,0,11,5,0,19,0
06-04 11:17:01,30.985,15.992,51.475,0.250,0,1267684,1003020,174552,5472928,12342.010,4185.968,0,1179.428,0,46.977,10502,15022,1.430,0.960,0.530,2,0,331.839,0,0,11,4,0,19,0
06-04 11:17:02,34.004,25.503,39.505,0,0,1255620,1014260,174632,5473892,5972.685,1596.183,0,124.014,0,11.001,16494,27227,1.430,0.960,0.530,2,0,471.054,0,0,11,4,0,19,0
06-04 11:17:03,49.463,18.236,30.727,0.749,0,1195728,1086460,174688,5463004,6567.057,1510.863,0,2749.930,0,154.883,5125,5250,1.430,0.960,0.530,3,0,204.846,0,0,11,5,0,19,0
06-04 11:17:04,68.058,8.287,24.109,0,0,1247216,1035112,174688,5462868,4566.641,1573.110,0,12247.358,0,60.272,3942,1713,1.430,0.960,0.530,3,0,44.200,0,0,11,5,0,19,0
06-04 11:17:05,43.742,7.499,47.992,0,0,1281768,999676,174696,5463744,5116.117,1619.720,0,739.872,0,58.990,2997,1680,1.430,0.960,0.530,2,0,30.995,0,0,11,5,0,19,0
06-04 11:17:06,21.684,7.477,69.290,0.249,0,1297908,981476,174736,5465728,4785.500,1656.979,0,2452.569,0,104.683,3462,4614,1.320,0.940,0.530,1,0,117.644,0,0,11,4,0,19,0
06-04 11:17:07,15.803,4.766,79.266,0,0,1338316,941100,174736,5465732,4741.934,1571.280,0,497.672,0,29.098,1837,1680,1.320,0.940,0.530,2,0,22.074,0,0,11,4,0,19,0
06-04 11:17:08,22.431,2.742,73.525,0,0,1358472,920940,174736,5465736,4665.703,1615.051,0,0,0,0,1775,1194,1.320,0.940,0.530,1,0,0.997,0,0,11,4,0,13,0
06-04 11:17:09,23.245,3.249,71.735,1.000,0,1382140,897000,174772,5465972,4930.978,1511.687,0,13777.144,0,273.943,3769,4735,1.320,0.940,0.530,2,0,1.000,0,0,11,10,0,13,0
06-04 11:17:10,21.268,5.004,72.062,0.751,0,1381000,898112,174796,5465976,5185.444,1405.204,0,2602.230,0,147.126,2524,2202,1.320,0.940,0.530,2,0,42.036,0,0,11,4,0,15,0
06-04 11:17:11,17.043,2.506,79.199,0,0,1399140,879532,174932,5466208,6209.566,3527.843,144.362,1050.634,7.018,20.050,1736,1398,1.290,0.940,0.530,1,0,0,0,0,11,11,0,15,0
06-04 11:17:12,18.498,2.500,77.242,0.750,0,1392352,885832,174984,5466576,8898.072,5166.461,267.972,3079.679,65.993,95.990,2753,2948,1.290,0.940,0.530,1,0,3.000,0,0,11,29,0,15,0
06-04 11:17:13,18.748,5.499,75.490,0,0,1369908,908264,174984,5466588,7078.069,4018.472,0,39.995,0,1.000,2363,1795,1.290,0.940,0.530,1,0,42.994,0,0,11,28,0,16,0
