"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","13 May 2026 01:54:43 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
13-05 01:54:43,,1044208,1335972,166192,5260968,,,,,,,1.640,1.090,0.600,2,0,,,,10,4,0,17,0
13-05 01:54:44,25.461,21.966,51.920,0,0,1026936,1353196,166200,5261004,14268.115,4918.456,0,1242.095,0,54.916,6048,4797,1.640,1.090,0.600,1,0,411.369,0,0,10,4,0,17,0
13-05 01:54:45,22.445,21.946,53.868,0.748,0,984488,1395016,166272,5261828,23029.704,8124.141,0,1512.303,0,112.724,5788,4525,1.640,1.090,0.600,5,0,382.066,0,0,10,5,0,17,0
13-05 01:54:46,23.078,20.319,55.187,0.753,0,994344,1384440,166480,5262348,45508.227,16500.922,0,12213.391,0,461.564,6485,6601,1.590,1.090,0.600,1,0,273.928,0,0,10,6,0,17,0
13-05 01:54:47,28.992,11.747,58.235,0.250,0,1119496,1258500,166616,5387192,20763.477,11582.919,0,1243.669,0,38.990,5314,6190,1.590,1.090,0.600,1,1,121.968,0,0,11,8,0,17,0
13-05 01:54:48,31.258,9.502,57.765,0.250,0,1132280,1245096,166780,5387552,39474.361,12615.311,0,1568.412,0,57.015,3996,2783,1.590,1.090,0.600,1,0,146.038,0,0,11,7,0,17,1
13-05 01:54:49,32.686,9.232,56.139,0.499,0,1164464,1195272,166996,5404240,179798.009,12256.868,31.937,2738.608,1.996,72.857,3672,2765,1.590,1.090,0.600,3,0,87.827,0,0,11,7,0,19,1
13-05 01:54:50,44.237,5.748,48.486,0.750,0,1225704,1116128,168120,5418180,4654.620,1751.481,3.999,2527.251,1.000,75.977,3156,2039,1.590,1.090,0.600,3,0,0,0,0,11,6,0,19,2
13-05 01:54:51,37.592,6.767,46.363,7.268,0,1232408,1086516,169124,5437924,4588.214,1623.969,0,22839.824,0,1375.362,8162,12983,1.620,1.100,0.610,4,0,22.054,0,0,11,8,0,19,2
13-05 01:54:52,33.222,8.743,41.216,13.489,0,1251052,1036520,170888,5464884,4676.101,1618.650,0,62931.521,0,4054.619,15884,31277,1.620,1.100,0.610,4,0,59.950,0,0,11,8,0,19,2
13-05 01:54:53,40.490,9.248,48.489,1.500,0,1208456,1048828,171932,5491240,4199.010,1619.618,0,3911.078,0,181.957,3819,2860,1.620,1.100,0.610,3,0,74.982,0,0,11,6,0,19,2
13-05 01:54:54,45.227,5.247,48.475,0.750,0,1259228,1004172,172652,5483048,4881.491,2098.921,0,3154.379,0,235.879,3271,2076,1.620,1.100,0.610,3,0,0.999,0,0,11,4,0,19,0
13-05 01:54:55,40.711,6.993,51.202,0.749,0,1220348,1043004,172680,5483080,8379.075,2727.421,0,8515.946,0,487.539,3791,3529,1.620,1.100,0.610,5,0,44.957,0,0,11,5,0,19,0
13-05 01:54:56,43.807,6.008,48.813,0.501,0,1259716,996980,172940,5488804,6246.115,2631.419,0,1866.425,0,108.141,3005,1603,1.650,1.120,0.620,5,0,3.004,0,0,11,4,0,19,0
13-05 01:54:57,32.292,13.517,53.319,0,0,1231684,1018332,173480,5493764,11592.999,4733.124,0,1934.503,0,166.215,4330,2888,1.650,1.120,0.620,4,0,192.249,0,0,11,4,0,19,0
13-05 01:54:58,28.487,27.737,41.731,0,0,1207880,1041220,173568,5494412,4913.761,1619.262,0,119.945,0,9.995,15416,24064,1.650,1.120,0.620,2,0,429.804,0,0,11,4,0,19,0
13-05 01:54:59,37.274,21.014,39.275,0.500,0,1198520,1051116,173632,5493852,4280.763,1458.942,0,3614.333,0,318.205,12680,21605,1.650,1.120,0.620,2,0,236.152,0,0,11,4,0,19,0
13-05 01:55:00,66.568,13.712,19.945,0,0,1243376,1017908,173632,5483876,4786.899,1615.579,0,19.945,0,2.992,4120,2329,1.650,1.120,0.620,3,0,148.593,0,0,11,5,0,19,0
13-05 01:55:01,50.989,9.748,38.742,0,0,1284588,976236,173632,5484408,4997.939,1619.656,0,11329.594,0,99.979,3542,1853,1.680,1.130,0.630,3,0,52.989,0,0,11,5,0,15,0
13-05 01:55:02,39.321,9.267,50.591,0.250,0,1296828,961584,173684,5486732,4165.473,1460.620,0,2772.975,0,118.212,4588,5235,1.680,1.130,0.630,3,0,80.144,0,0,11,4,0,15,0
13-05 01:55:03,19.754,18.754,59.512,0.250,0,1340312,918032,173684,5486744,4861.004,1620.335,0,548.113,0,30.006,5254,4638,1.680,1.130,0.630,1,0,392.081,0,0,11,4,0,15,0
13-05 01:55:04,23.226,3.496,72.676,0,0,1375044,883256,173684,5486788,4555.370,1618.355,0,0,0,0,1867,1339,1.680,1.130,0.630,1,0,0,0,0,11,4,0,15,0
13-05 01:55:05,23.246,3.000,71.989,1.250,0,1398696,859316,173740,5487024,4619.268,1619.743,0,1651.738,0,205.967,3608,4610,1.680,1.130,0.630,1,0,2.000,0,0,11,10,0,13,0
13-05 01:55:06,20.525,6.258,71.337,0.250,0,1322056,935924,173772,5487028,4780.818,1459.777,0,15843.281,0,230.280,2722,2456,1.620,1.130,0.630,3,0,42.051,0,0,11,4,0,15,0
13-05 01:55:07,18.986,2.748,77.194,0.250,0,1366020,891460,173908,5487352,6304.430,3936.147,143.896,1462.940,6.995,25.981,1792,1360,1.620,1.130,0.630,0,0,0.999,0,0,11,5,0,15,0
13-05 01:55:08,22.227,2.747,73.672,0.499,0,1365536,891608,173952,5487588,7662.918,4025.754,267.718,958.989,65.930,36.961,2691,2718,1.620,1.130,0.630,1,0,1.998,0,0,11,27,0,15,0
13-05 01:55:09,19.043,5.763,74.920,0,0,1364352,892776,173952,5487604,7771.625,5396.238,0,0,0,0,2650,2070,1.620,1.130,0.630,2,0,44.100,0,0,11,28,0,16,0
13-05 01:55:10,18.470,2.746,77.875,0,0,1395020,862100,173952,5487612,8373.562,5690.867,0,0,0,0,1764,1287,1.620,1.130,0.630,2,0,0,0,0,11,29,0,16,0
