"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","01 Jun 2026 15:11:38 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-06 15:11:38,,1047480,1322040,167520,5270184,,,,,,,1.490,1.090,0.600,2,0,,,,10,6,1,17,0
01-06 15:11:39,21.980,21.730,54.700,0.749,0,1069916,1299100,167616,5270500,42123.449,13760.407,0,2865.378,0,104.904,5871,4626,1.490,1.090,0.600,2,0,375.656,0,0,10,6,1,17,0
01-06 15:11:40,23.253,21.503,53.507,0.750,0,1044624,1323692,167684,5270936,22739.965,13771.796,0,1824.238,0,61.008,5557,4091,1.490,1.090,0.600,3,0,364.047,0,0,10,5,1,17,1
01-06 15:11:41,32.738,21.492,44.484,0.500,0,1041416,1296552,168540,5298164,175754.938,6139.832,0,2483.123,0,86.969,6102,5086,1.530,1.110,0.610,2,0,291.897,0,0,10,4,1,17,2
01-06 15:11:42,43.267,19.257,35.014,0.500,0,1138636,1180320,169044,5438916,4099.589,1458.565,0,1376.534,0,30.012,6748,17612,1.530,1.110,0.610,2,0,214.083,0,0,11,6,1,18,2
01-06 15:11:43,38.255,11.752,48.007,0.750,0,1159000,1138404,169600,5458100,4638.633,1458.199,0,2168.296,0,82.011,4231,2802,1.530,1.110,0.610,2,0,127.017,0,0,11,6,1,18,2
01-06 15:11:44,38.471,11.241,47.714,1.249,0,1195724,1072172,170812,5483340,4676.433,1618.765,31.976,7774.071,1.998,148.886,4185,3207,1.530,1.110,0.610,2,0,106.918,0,0,11,6,1,20,2
01-06 15:11:45,44.462,5.745,47.959,0.749,0,1253788,1011812,171904,5481964,4777.927,1936.349,0,3916.661,0,86.926,3102,1931,1.530,1.110,0.610,3,0,0,0,0,11,4,1,19,0
01-06 15:11:46,35.532,7.507,47.543,7.507,0,1266204,995196,172548,5485496,5067.589,2114.915,0,17083.469,0,1541.396,8955,13764,1.650,1.140,0.620,3,1,57.052,0,0,11,7,1,19,0
01-06 15:11:47,29.527,8.257,45.791,13.262,0,1261844,986212,173440,5496744,11130.083,4083.700,0,39343.643,0,3430.107,13937,24276,1.650,1.140,0.620,2,1,54.049,0,0,11,6,1,19,0
01-06 15:11:48,40.483,12.745,40.983,3.249,0,1247816,998312,173640,5498268,4798.020,1619.332,0,24957.699,0,1526.370,14393,26809,1.650,1.140,0.620,2,0,96.960,0,0,11,4,1,19,0
01-06 15:11:49,41.973,10.493,45.720,0.250,0.250,1307876,938020,173716,5498328,4095.345,1457.055,0,2574.331,0,63.959,11456,18869,1.650,1.140,0.620,2,0,19.987,0,0,11,4,1,19,0
01-06 15:11:50,44.046,5.756,47.550,1.001,0,1193404,1060712,173740,5490948,4384.622,1621.709,0,9053.543,0,583.615,3671,3304,1.650,1.140,0.620,2,0,20.021,0,0,11,4,1,19,0
01-06 15:11:51,34.688,7.487,57.397,0,0.250,1243872,1010280,173744,5490944,5107.798,1659.011,0,634.856,0,35.935,3064,2088,1.600,1.140,0.620,1,0,66.880,0,0,11,4,1,19,0
01-06 15:11:52,24.280,2.002,73.590,0,0,1256720,997428,173744,5490948,4625.649,1664.032,0,132.161,0,7.009,1720,1150,1.600,1.140,0.620,1,0,0,0,0,11,4,1,19,0
01-06 15:11:53,7.988,19.470,69.891,0,0,1211576,1042536,173744,5490980,4912.314,1617.469,0,3.994,0,0.998,4938,3393,1.600,1.140,0.620,1,0,266.583,0,0,11,4,1,19,0
01-06 15:11:54,9.016,22.541,66.871,0.250,0,1145996,1108068,173744,5491008,4295.768,1460.641,0,17507.658,0,448.812,5223,3617,1.600,1.140,0.620,2,0,281.509,0,0,11,4,1,19,0
01-06 15:11:55,15.255,20.007,63.271,0,0,1115788,1138116,173744,5491484,4871.620,1620.539,0,20.007,0,5.002,6130,6730,1.600,1.140,0.620,1,0,256.085,0,0,11,4,1,19,0
01-06 15:11:56,37.672,12.973,48.649,0,0,1180196,1073668,173744,5491636,4705.205,1454.971,0,0,0,0,4031,2959,1.630,1.150,0.630,2,0,130.728,0,0,11,5,1,19,0
01-06 15:11:57,46.606,3.759,48.360,0.251,0,1225476,1028136,173748,5492080,4843.013,1515.446,0,1154.626,0,31.071,2816,1454,1.630,1.150,0.630,2,0,0,0,0,11,5,1,13,0
01-06 15:11:58,42.486,9.497,47.234,0,0,1255100,996808,173748,5493796,3360.871,701.764,0,1259.577,0,90.969,3025,3475,1.630,1.150,0.630,3,0,0,0,0,11,5,1,13,0
01-06 15:11:59,11.735,10.986,76.156,0,0.250,1268192,982972,173748,5494496,4244.740,1348.329,0,16092.060,0,109.864,3363,3309,1.630,1.150,0.630,3,0,117.854,0,0,11,4,1,14,0
01-06 15:12:00,11.252,3.251,84.766,0,0,1308372,942784,173752,5494496,4292.828,1512.292,0,0,0,0,1539,1463,1.630,1.150,0.630,1,0,22.004,0,0,11,4,1,14,0
01-06 15:12:01,20.493,4.498,72.724,0,0,1366076,885076,173752,5494504,5073.189,1531.453,0,7.997,0,1.999,1889,1432,1.580,1.150,0.630,1,0,1.000,0,0,11,4,1,14,0
01-06 15:12:02,23.466,2.247,72.893,0,0,1386780,864160,173756,5494712,5018.633,1605.643,0,3131.403,0,57.915,1857,1295,1.580,1.150,0.630,1,0,0.999,0,0,11,6,1,14,0
01-06 15:12:03,20.510,5.503,71.286,1.001,0,1297008,953776,173872,5494752,5074.585,1586.808,0,3309.686,0,270.138,4122,5250,1.580,1.150,0.630,1,0,42.021,0,0,11,4,1,16,0
01-06 15:12:04,23.558,3.759,72.427,0,0,1343364,907076,174008,5494932,5098.466,1644.020,144.353,32315.011,7.017,230.564,2205,1690,1.580,1.150,0.630,2,0,0,0,0,11,4,1,16,0
01-06 15:12:05,18.951,2.992,76.551,0.249,0,1365076,885164,174008,5495088,9899.285,5651.320,0,1891.088,0,15.959,2368,2330,1.580,1.150,0.630,2,0,0.997,0,0,11,17,1,16,0
01-06 15:12:06,19.254,4.501,74.016,0.750,0,1351956,897796,174060,5495336,11630.494,6108.310,268.057,1960.420,66.014,72.015,2951,2521,1.530,1.150,0.640,2,0,45.010,0,0,11,28,1,17,0
01-06 15:12:07,21.009,3.752,73.782,0,0,1423532,826220,174060,5495336,5997.601,2308.001,0,2333.012,0,22.010,1812,1433,1.530,1.150,0.640,0,0,0,0,0,11,29,1,17,0
01-06 15:12:08,16.028,4.758,78.386,0,0,1411028,838708,174060,5495352,12226.175,8005.865,0,0,0,0,2470,1991,1.530,1.150,0.640,1,0,48.083,0,0,11,28,1,18,0
01-06 15:12:09,36.972,11.242,50.212,0,0,1485972,763748,174060,5495368,4736.446,1692.730,0,135.898,0,8.993,3297,2096,1.530,1.150,0.640,2,0,107.919,0,0,11,28,1,18,0
01-06 15:12:10,32.530,4.254,62.057,0.250,0,1512844,736800,174064,5495428,16433.212,14184.130,0,2125.968,0,14.013,4252,4625,1.530,1.150,0.640,1,0,0,0,0,11,30,1,16,0
01-06 15:12:11,46.011,21.255,31.258,0,0,1469480,780004,174072,5495580,11498.833,7535.857,0,588.145,0,94.023,6728,7670,1.890,1.230,0.660,6,0,481.119,0,0,11,28,1,17,0
01-06 15:12:12,81.993,17.498,0,0,0,1680316,569124,174072,5495624,5262.523,3099.719,0,4.000,0,1.000,5028,2970,1.890,1.230,0.660,5,0,97.991,0,0,11,29,1,17,0
01-06 15:12:13,81.678,10.741,6.244,0,0,1796660,452728,174080,5495660,31194.468,29342.103,0,171.848,0,15.986,6277,8356,1.890,1.230,0.660,3,0,0,0,0,11,34,1,17,0
01-06 15:12:14,63.507,15.002,21.002,0,0,1531692,717304,174100,5495936,22166.529,17334.978,0,588.067,0,56.006,7728,10739,1.890,1.230,0.660,1,0,264.030,0,0,11,28,1,23,0
01-06 15:12:15,18.751,10.250,69.752,0,0,1516084,732880,174100,5495940,4518.150,1500.050,0,77362.570,0,403.013,3200,2451,1.890,1.230,0.660,3,0,52.002,0,0,11,28,1,23,0
