Jul 02 18:13:12 jammy-provider-cloud-0000007282 systemd[1]: Started Devstack devstack@dstat.service.
Jul 02 18:13:12 jammy-provider-cloud-0000007282 dstat.sh[57446]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 02 18:13:12 jammy-provider-cloud-0000007282 dstat.sh[57446]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 02 18:13:12 jammy-provider-cloud-0000007282 dstat.sh[57446]: 02-07 18:13:12|                   |1028M 1933M  156M 4523M|           |           |           |           |1.79 0.94 0.47|4.0   0    |           |   0     0 |  9    6    3   17    1
Jul 02 18:13:13 jammy-provider-cloud-0000007282 dstat.sh[57446]: 02-07 18:13:13| 39  19  40   0   0|1025M 1928M  156M 4531M|1828k   36k|   0  5271k|   0   145 |4809  7889 |1.79 0.94 0.47|4.0   0 611|   0     0 |   0     0 |  9    5    3   17    2
Jul 02 18:13:14 jammy-provider-cloud-0000007282 dstat.sh[57446]: 02-07 18:13:14| 52  24  23   1   0|1068M 1864M  156M 4551M|7940B 1640B|  12M 1492k|66.5  93.4 |5284  8580 |1.79 0.94 0.47|4.0   0 549|   0     0 |   0     0 |  9    4    3   17    2
Jul 02 18:13:15 jammy-provider-cloud-0000007282 dstat.sh[57446]: 02-07 18:13:15| 39  15  45   0   0|1160M 1768M  156M 4675M| 877k   15k| 918k 1501k|9.98  33.9 |5095  7225 |1.97 0.99 0.49|2.0   0 124|   0     0 |   0     0 | 10    4    3   17    2
Jul 02 18:13:16 jammy-provider-cloud-0000007282 dstat.sh[57446]: 02-07 18:13:16| 36  10  54   1   0|1123M 1789M  156M 4690M|  10k 1621B| 244k 2202k|4.00  69.1 |1975  2661 |1.97 0.99 0.49|2.0 1.0 120|   0     0 |   0     0 | 10    6    3   17    2
Jul 02 18:13:17 jammy-provider-cloud-0000007282 dstat.sh[57446]: 02-07 18:13:17| 39   9  49   1   0|1165M 1722M  157M 4711M|7098B 1693B| 308k 4778k|15.0   177 |2392  4114 |1.97 0.99 0.49|4.0   0 170|   0     0 |   0     0 | 10    6    3   19    2
Jul 02 18:13:18 jammy-provider-cloud-0000007282 dstat.sh[57446]: 02-07 18:13:18| 44   6  49   2   0|1207M 1649M  159M 4738M|6180B 1461B| 156k 4279k|5.01   117 |1445  2161 |1.97 0.99 0.49|3.0   0 2.0|   0     0 |   0     0 | 10    6    3   19    2
Jul 02 18:13:19 jammy-provider-cloud-0000007282 dstat.sh[57446]: 02-07 18:13:19| 28   7  55   6   0|1160M 1700M  160M 4733M|  11k 4310B| 380k   40M|3.00  3508 |  12k   28k|1.97 0.99 0.49|2.0   0  57|   0     0 |   0     0 | 10    6    3   19    0
Jul 02 18:13:20 jammy-provider-cloud-0000007282 dstat.sh[57446]: 02-07 18:13:20| 41  12  45   3   0|1143M 1715M  160M 4734M|4294B 1513B|   0    27M|   0  1999 |  14k   29k|2.05 1.02 0.50|3.0   0 106|   0     0 |   0     0 | 10    4    3   19    0
Jul 02 18:13:21 jammy-provider-cloud-0000007282 dstat.sh[57446]: 02-07 18:13:21| 48   5  46   0   0|1197M 1661M  160M 4734M|3974B 1512B|   0  4257k|   0   268 |8386    17k|2.05 1.02 0.50|2.0   0 6.0|   0     0 |   0     0 | 10    4    3   19    0
