"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","jammy-provider-cloud-0000007192",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","11 Jun 2024 09:22:40 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
11-06 09:22:40,,1017028,1991596,162532,4650648,,,,,,,1.250,0.600,0.340,5,0,,,,9,4,0,17,2
11-06 09:22:41,25.235,27.233,47.221,0,0,1029132,1978956,162536,4651040,4491.278,1619.019,0,1139.310,0,40.975,3976,7259,1.250,0.600,0.340,4,0,709.570,0,0,9,4,0,17,2
11-06 09:22:42,34.230,20.488,44.474,0.500,0,1009820,1982320,162900,4665872,4413.405,1619.048,1163.316,1974.839,13.992,73.957,4475,9798,1.250,0.600,0.340,5,0,373.780,0,0,9,4,0,17,2
11-06 09:22:43,32.471,13.488,51.704,0.999,0,1150272,1816696,164008,4811352,10929.328,1456.711,0,3568.842,0,149.867,3665,8338,1.250,0.600,0.340,4,0,121.892,0,0,10,6,0,17,2
11-06 09:22:44,37.779,11.509,48.538,1.001,0,1154196,1781708,165204,4838012,5302.130,1621.263,80.062,3238.523,1.001,129.101,2563,3833,1.250,0.600,0.340,4,0,212.165,0,0,10,6,0,19,2
11-06 09:22:45,42.760,5.001,52.262,0.500,0,1157084,1790340,165340,4826000,13967.310,4260.010,752.178,2644.627,21.005,34.008,1421,1610,1.390,0.640,0.350,4,0,4.001,0,0,10,4,0,19,0
11-06 09:22:46,42.000,6.750,45.250,4.000,0,1192008,1749220,165648,4831704,9927.921,0,12.000,17119.863,1.000,1117.991,13413,28187,1.390,0.640,0.350,5,0,44.000,0,0,10,6,0,19,0
11-06 09:22:47,39.971,9.243,42.469,7.744,0,1135588,1799848,166260,4836820,5885.698,1618.817,0,46617.922,0,3721.280,18576,41582,1.390,0.640,0.350,5,0,74.945,0,0,10,4,0,19,0
11-06 09:22:48,42.962,6.994,49.456,0.250,0,1141708,1793600,166268,4836876,8044.840,1456.704,0,919.182,0,36.967,1547,1870,1.390,0.640,0.350,3,0,64.942,0,0,10,4,0,19,0
11-06 09:22:49,46.174,3.744,48.670,0.250,0,1107780,1827476,166304,4836892,5324.199,1617.327,0,7096.270,0,368.391,1727,2791,1.390,0.640,0.350,5,0,12.979,0,0,10,4,0,19,0
11-06 09:22:50,31.545,4.757,64.092,0,0,1156548,1778704,166320,4836880,8022.520,1502.157,0,324.466,0,18.026,1193,1491,1.440,0.670,0.360,3,0,50.072,0,0,10,4,0,19,0
11-06 09:22:51,17.509,8.754,72.537,0,0,1087424,1847800,166320,4836904,6143.115,1620.822,0,4.002,0,1.001,1695,2402,1.440,0.670,0.360,2,0,172.087,0,0,10,4,0,17,0
11-06 09:22:52,10.504,18.506,70.024,0,0,1086136,1848908,166320,4837072,4547.578,1458.506,0,28.010,0,7.002,2699,4400,1.440,0.670,0.360,2,0,378.131,0,0,10,4,0,17,0
11-06 09:22:53,17.508,15.758,66.532,0,0,1087788,1846972,166320,4837316,5909.843,1620.780,0,40.019,0,7.003,4312,6421,1.440,0.670,0.360,1,0,238.115,0,0,10,4,0,13,0
11-06 09:22:54,45.936,9.237,45.437,0,0,1193660,1740852,166328,4837844,6808.543,1509.903,119.834,31.956,4.993,0.999,2103,2694,1.440,0.670,0.360,4,0,129.820,0,0,10,5,0,13,0
11-06 09:22:55,48.344,3.507,48.344,0.250,0,1233696,1698768,166328,4839636,7311.279,1569.064,569.111,11787.020,11.022,112.219,2672,4373,1.480,0.690,0.370,5,0,2.004,0,0,10,5,0,13,0
11-06 09:22:56,18.211,7.983,73.345,0,0,1254020,1676580,166348,4841220,4618.219,1658.487,0,1097.675,0,7.983,2605,5058,1.480,0.690,0.370,1,0,117.751,0,0,10,4,0,13,0
11-06 09:22:57,8.500,3.750,88.004,0,0,1283728,1646848,166384,4841220,6228.293,1620.076,0,916.043,0,38.002,1287,1798,1.480,0.690,0.370,1,0,21.001,0,0,10,4,0,13,0
11-06 09:22:58,23.999,1.500,73.496,0,0,1341184,1589392,166384,4841220,7447.605,1619.914,0,347.982,0,3.000,905,1068,1.480,0.690,0.370,2,0,0,0,0,10,4,0,12,0
11-06 09:22:59,22.796,3.758,71.894,1.253,0,1266652,1663612,166436,4841472,4766.519,1623.242,0,3615.220,0,322.644,2620,5169,1.480,0.690,0.370,1,0,34.068,0,0,10,4,0,14,0
11-06 09:23:00,22.954,4.740,72.105,0.249,0,1331084,1598980,166448,4841708,5211.546,1616.757,39.920,40151.456,3.992,113.772,1361,1849,1.440,0.700,0.380,2,0,9.980,0,0,10,11,0,14,0
11-06 09:23:01,21.503,4.251,72.760,0.750,0,1312476,1617244,166448,4841968,4836.663,1620.222,232.032,1268.174,58.008,14.002,1686,2813,1.440,0.700,0.380,4,0,45.006,0,0,10,28,0,15,0
11-06 09:23:02,22.290,7.514,69.375,0,0,1296736,1632956,166448,4841992,6818.273,1460.629,0,12.022,0,3.005,1841,2787,1.440,0.700,0.380,2,0,156.281,0,0,10,28,0,16,0
11-06 09:23:03,46.505,5.251,49.005,0,0,1404044,1525632,166452,4842004,5240.582,1620.180,0,3444.382,0,139.015,2332,3382,1.440,0.700,0.380,2,0,0,0,0,10,30,0,17,0
11-06 09:23:04,60.998,15.999,22.249,0,0,1434092,1495164,166472,4842444,5595.815,1619.947,0,559.982,0,46.998,4547,9649,1.440,0.700,0.380,5,0,455.985,0,0,10,28,0,19,0
11-06 09:23:05,85.249,11.500,2.500,0,0,1604408,1324856,166472,4842656,4787.957,1457.987,0,15355.862,0,605.995,5328,11102,1.810,0.780,0.410,9,0,123.999,0,0,10,30,0,19,0
11-06 09:23:06,58.685,9.989,31.465,0,0.250,1364416,1564636,166480,4842856,7359.867,1618.212,0,299.669,0,31.965,3985,8523,1.810,0.780,0.410,1,0,249.724,0,0,10,29,0,20,0
11-06 09:23:07,21.720,5.243,72.901,0.250,0,1355240,1573800,166484,4842864,5041.144,1456.020,0,171.766,0,17.976,1695,2538,1.810,0.780,0.410,4,0,59.919,0,0,10,28,0,20,0
11-06 09:23:08,21.052,6.015,72.179,0,0,1332856,1596036,166484,4843012,5443.500,1461.625,0,96.239,0,12.030,2241,3726,1.810,0.780,0.410,3,0,68.169,0,0,10,28,0,21,0
11-06 09:23:09,23.508,2.751,72.774,0,0,1304992,1623872,166484,4843036,9681.137,1620.525,0,256.083,0,28.009,2145,3507,1.810,0.780,0.410,3,0,14.005,0,0,10,28,0,22,0
11-06 09:23:10,11.498,22.247,65.741,0,0,1314368,1614456,166484,4843056,37114.915,1457.800,0,1627.777,0,21.997,3479,5465,1.820,0.800,0.410,7,0,664.909,0,0,10,28,0,21,0
11-06 09:23:11,79.986,16.247,4.749,0,0,1549392,1379372,166484,4843096,4548.204,1457.745,0,259.955,0,13.998,2395,4302,1.820,0.800,0.410,6,0,358.937,0,0,10,29,0,21,0
11-06 09:23:12,81.497,8.750,7.500,0.250,0,1520304,1407744,166492,4843784,5315.830,1619.948,0,3659.883,0,109.996,5594,14835,1.820,0.800,0.410,4,0,59.998,0,0,10,31,0,21,0
11-06 09:23:13,84.749,12.500,3.500,0,0,1517332,1410504,166496,4843988,5542.956,1457.988,0,423.997,0,46.000,2726,6956,1.820,0.800,0.410,7,0,196.998,0,0,10,29,0,21,0
11-06 09:23:14,83.747,11.000,4.250,0,0,1522840,1404608,166496,4844360,6461.761,1619.940,0,163.994,0,9.000,3780,12170,1.820,0.800,0.410,5,0,125.995,0,0,10,30,0,22,0
11-06 09:23:15,56.234,11.747,30.991,0,0,1331536,1595524,166500,4844572,5640.353,1499.562,0,61630.004,0,189.945,5342,11481,2.320,0.920,0.460,2,0,226.934,0,0,10,28,0,23,0
11-06 09:23:16,46.516,6.002,48.767,0.250,0,1359972,1567104,166500,4844600,10659.635,1620.553,0,1364.465,0,20.007,2320,4107,2.320,0.920,0.460,3,0,13.004,0,0,10,29,0,26,0
11-06 09:23:17,65.249,14.250,19.750,0,0.250,1472352,1454652,166500,4844668,5896.923,1619.979,0,219.997,0,13.000,3892,7360,2.320,0.920,0.460,5,0,364.995,0,0,10,29,0,27,0
11-06 09:23:18,64.750,14.500,20.500,0,0,1396124,1529948,166516,4845564,7898.008,1620.002,0,4280.004,0,143.000,5747,11960,2.320,0.920,0.460,5,0,258.000,0,0,10,28,0,29,0
11-06 09:23:19,78.505,9.251,11.251,0,0,1546064,1379812,166516,4845752,6119.416,1458.099,0,276.019,0,24.002,4469,9092,2.320,0.920,0.460,7,0,0,0,0,10,31,0,32,0
11-06 09:23:20,69.495,13.999,15.999,0,0,1437696,1487952,166524,4845968,5979.552,1619.879,0,335.975,0,22.998,3897,10011,2.450,0.970,0.470,5,0,323.976,0,0,10,28,0,32,0
11-06 09:23:21,62.746,12.249,24.748,0,0,1399940,1525464,166532,4846196,5813.634,1619.898,0,1455.908,0,50.997,5184,11879,2.450,0.970,0.470,4,0,248.984,0,0,10,29,0,32,0
