Jun 11 09:22:40 jammy-provider-cloud-0000007192 systemd[1]: Started Devstack devstack@dstat.service.
Jun 11 09:22:40 jammy-provider-cloud-0000007192 dstat.sh[58176]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 11 09:22:40 jammy-provider-cloud-0000007192 dstat.sh[58176]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 11 09:22:40 jammy-provider-cloud-0000007192 dstat.sh[58176]: 11-06 09:22:40|                   | 993M 1945M  159M 4542M|           |           |           |           |1.25 0.60 0.34|4.0   0    |           |   0     0 |  9    4    0   17    2
Jun 11 09:22:41 jammy-provider-cloud-0000007192 dstat.sh[58176]: 11-06 09:22:41| 25  27  47   0   0| 999M 1939M  159M 4542M|4493B 1620B|   0  1140k|   0  41.0 |3977  7295 |1.25 0.60 0.34|3.5   0 711|   0     0 |   0     0 |  9    4    0   17    2
Jun 11 09:22:42 jammy-provider-cloud-0000007192 dstat.sh[58176]: 11-06 09:22:42| 34  20  44   0   0| 986M 1936M  159M 4557M|4414B 1619B|1164k 1975k|7.00  57.5 |4231  8564 |1.25 0.60 0.34|3.0   0 542|   0     0 |   0     0 |  9    4    0   17    2
Jun 11 09:22:43 jammy-provider-cloud-0000007192 dstat.sh[58176]: 11-06 09:22:43| 32  13  52   1   0|1123M 1774M  160M 4699M|  11k 1457B|   0  3570k|   0   150 |3659  8326 |1.25 0.60 0.34|3.0   0 122|   0     0 |   0     0 | 10    6    0   17    2
Jun 11 09:22:44 jammy-provider-cloud-0000007192 dstat.sh[58176]: 11-06 09:22:44| 38  11  48   1   0|1127M 1740M  161M 4725M|5296B 1619B|  80k 3235k|1.00   129 |2569  3847 |1.25 0.60 0.34|2.0   0 212|   0     0 |   0     0 | 10    6    0   19    2
Jun 11 09:22:45 jammy-provider-cloud-0000007192 dstat.sh[58176]: 11-06 09:22:45| 43   5  52   1   0|1130M 1748M  161M 4713M|  14k 4262B| 752k 2646k|21.0  34.0 |1422  1612 |1.39 0.64 0.35|2.0   0 4.0|   0     0 |   0     0 | 10    4    0   19    0
Jun 11 09:22:46 jammy-provider-cloud-0000007192 dstat.sh[58176]: 11-06 09:22:46| 42   7  45   4   0|1164M 1708M  162M 4718M|9915B    0 |  12k   17M|1.00  1116 |  13k   28k|1.39 0.64 0.35|4.0   0  44|   0     0 |   0     0 | 10    6    0   19    0
Jun 11 09:22:47 jammy-provider-cloud-0000007192 dstat.sh[58176]: 11-06 09:22:47| 40   9  43   8   0|1109M 1758M  162M 4723M|5896B 1622B|   0    46M|   0  3728 |  19k   42k|1.39 0.64 0.35|3.0   0  72|   0     0 |   0     0 | 10    4    0   19    0
Jun 11 09:22:48 jammy-provider-cloud-0000007192 dstat.sh[58176]: 11-06 09:22:48| 42   7  49   0   0|1115M 1752M  162M 4724M|8045B 1457B|   0   919k|   0  37.0 |1558  1894 |1.39 0.64 0.35|2.0   0  68|   0     0 |   0     0 | 10    4    0   19    0
Jun 11 09:22:49 jammy-provider-cloud-0000007192 dstat.sh[58176]: 11-06 09:22:49| 46   4  48   0   0|1081M 1785M  162M 4724M|5331B 1619B|   0  7105k|   0   369 |1727  2787 |1.39 0.64 0.35|3.0   0  13|   0     0 |   0     0 | 10    4    0   19    0
