"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","jammy-provider-cloud-0000007294",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","04 Jul 2024 04:07:50 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
04-07 04:07:50,,1046564,1966624,160244,4647680,,,,,,,1.740,0.940,0.480,3,0,,,,9,8,5,17,0
04-07 04:07:51,48.205,19.981,30.721,0.250,0,1047932,1962548,160304,4650312,707804.910,25333.339,0,4200.077,0,80.924,4768,6973,1.740,0.940,0.480,7,0,643.399,0,0,9,5,5,17,1
04-07 04:07:52,51.224,16.411,31.331,0.746,0,1060512,1935032,160392,4665028,859845.991,32830.910,0,3294.231,0,100.458,5735,8813,1.740,0.940,0.480,2,0,353.095,0,0,9,6,5,17,2
04-07 04:07:53,35.453,17.098,46.264,0.754,0,1170724,1810396,160456,4803776,1058158.200,14826.690,11843.651,1810.341,133.764,42.241,5165,8565,1.740,0.940,0.480,6,0,208.189,0,0,10,6,5,17,2
04-07 04:07:54,33.493,16.747,48.990,0.250,0,1194484,1785936,160484,4804292,6652.689,1565.692,215.957,935.816,8.998,53.989,2670,3795,1.740,0.940,0.480,4,0,284.944,0,0,10,6,5,19,2
04-07 04:07:55,45.761,4.501,49.262,0.750,0,1231260,1732400,160728,4819464,4983.231,1714.423,1400.346,3576.883,24.006,61.015,1437,1867,1.840,0.980,0.490,4,0,6.001,0,0,10,6,5,19,2
04-07 04:07:56,37.267,7.003,46.521,8.004,0,1274164,1655312,162480,4848456,3978.826,1026.471,12.006,39986.354,1.000,2473.135,9312,21065,1.840,0.980,0.490,6,0,52.024,0,0,10,8,5,19,2
04-07 04:07:57,37.983,9.496,46.479,5.997,0,1203180,1692328,164104,4877360,6583.064,1511.326,0,42840.893,0,2806.748,8263,17489,1.840,0.980,0.490,4,0,92.959,0,0,10,6,5,19,2
04-07 04:07:58,42.567,3.983,53.022,0,0,1186708,1721220,164280,4864644,10546.628,4294.525,378.372,2481.325,2.987,116.499,1287,1476,1.840,0.980,0.490,5,0,1.991,0,0,10,4,5,19,0
04-07 04:07:59,46.027,6.254,46.027,0.500,0,1166544,1740500,164368,4865428,4846.845,1566.920,0,7992.692,0,412.242,10086,19884,1.840,0.980,0.490,4,0,26.015,0,0,10,4,5,19,0
04-07 04:08:00,47.177,5.521,46.675,0,0,1220460,1686484,164380,4865508,10071.820,1517.699,0,1541.789,0,57.215,8631,17168,1.850,0.990,0.500,4,0,12.045,0,0,10,4,5,19,0
04-07 04:08:01,36.498,16.499,46.997,0,0,1089016,1817604,164384,4865744,4303.729,1639.897,0,167.989,0,8.999,3069,5248,1.850,0.990,0.500,3,0,479.970,0,0,10,4,5,19,0
04-07 04:08:02,39.749,16.000,43.499,0,0,1118320,1788096,164396,4866000,5277.910,1585.973,0,31.999,0,8.000,4086,12051,1.850,0.990,0.500,3,0,323.994,0,0,10,4,5,19,0
04-07 04:08:03,51.987,8.998,37.741,0,0,1210208,1696016,164400,4866480,5203.694,1565.607,55.986,35.991,1.000,2.999,1940,4215,1.850,0.990,0.500,3,0,179.955,0,0,10,5,5,19,0
04-07 04:08:04,48.004,3.250,48.754,0.250,0,1258408,1646132,164472,4868092,5722.521,1498.136,588.054,748.068,19.002,87.008,1251,1935,1.850,0.990,0.500,4,0,0,0,0,10,5,5,19,0
04-07 04:08:05,19.522,6.758,73.333,0,0,1271872,1630760,164564,4869848,3381.808,594.670,0,1533.727,0,83.094,1589,6367,2.030,1.040,0.520,2,0,118.133,0,0,10,4,5,19,0
04-07 04:08:06,10.987,1.998,86.396,0,0,1302132,1600484,164564,4869848,6645.985,862.959,0,0,0,0,1063,1331,2.030,1.040,0.520,2,0,20.975,0,0,10,4,5,19,0
04-07 04:08:07,24.398,1.743,73.443,0,0,1349104,1553444,164576,4869856,4590.833,1290.612,0,10751.114,0,74.688,1153,1789,2.030,1.040,0.520,2,0,0,0,0,10,4,5,19,0
04-07 04:08:08,21.115,5.027,72.644,0.754,0,1276016,1626264,164600,4870100,5774.326,1520.247,0,1347.309,0,200.085,2698,5141,2.030,1.040,0.520,2,0,43.235,0,0,10,4,5,21,0
04-07 04:08:09,23.711,1.997,74.129,0,0,1327372,1574604,164604,4870328,6430.460,1617.349,39.935,1114.174,3.993,4.992,953,1460,2.030,1.040,0.520,2,1,0.998,0,0,10,13,5,17,0
04-07 04:08:10,21.168,4.732,71.723,0.996,0,1309748,1591828,164632,4870588,5418.086,1559.978,231.108,3498.496,57.777,172.335,1998,3392,1.940,1.040,0.520,2,0,46.819,0,0,10,28,5,18,0
04-07 04:08:11,21.321,8.779,68.978,0,0,1302812,1598736,164636,4870612,8323.534,1699.622,0,12.040,0,3.010,1824,2793,1.940,1.040,0.520,3,0,156.518,0,0,10,28,5,16,0
04-07 04:08:12,45.544,6.256,48.296,0,0,1405152,1496368,164636,4870640,5062.840,1621.550,0,22941.932,0,720.689,2508,4193,1.940,1.040,0.520,3,0,0,0,0,10,30,5,16,0
04-07 04:08:13,59.768,15.505,23.757,0,0,1434784,1466472,164636,4871056,4795.448,1620.489,0,1112.336,0,52.016,4374,8858,1.940,1.040,0.520,7,0,424.128,0,0,10,28,5,18,0
04-07 04:08:14,81.988,14.248,3.250,0,0,1595976,1305052,164636,4871268,4603.305,1511.772,0,251.962,0,29.995,4661,11165,1.940,1.040,0.520,8,0,153.977,0,0,10,30,5,18,0
04-07 04:08:15,58.364,10.974,31.177,0,0,1432512,1468260,164640,4871468,3955.799,1077.494,0,267.378,0,28.933,2835,6426,2.270,1.130,0.550,3,0,199.536,0,0,10,29,5,17,0
04-07 04:08:16,22.963,7.738,69.140,0,0,1361720,1539040,164640,4871480,4520.807,1455.684,0,151.759,0,13.978,2007,3574,2.270,1.130,0.550,2,0,109.825,0,0,10,28,5,17,0
04-07 04:08:17,21.329,5.520,72.017,0,0,1332652,1567948,164648,4871496,5428.138,1571.831,0,36993.245,0,89.331,2370,4302,2.270,1.130,0.550,2,0,68.253,0,0,10,28,5,17,0
04-07 04:08:18,23.477,2.997,72.428,0.500,0,1367784,1532668,164652,4871640,5943.116,1584.431,0,127.873,0,17.982,1387,2668,2.270,1.130,0.550,2,1,0,0,0,10,28,5,17,0
04-07 04:08:19,15.021,22.031,63.090,0,0,1326204,1574212,164652,4871676,4242.024,1460.073,0,268.381,0,18.026,3757,6311,2.270,1.130,0.550,6,0,770.094,0,0,10,28,5,17,0
04-07 04:08:20,82.006,16.001,2.500,0,0,1549248,1351128,164656,4871712,4673.327,1458.102,0,28.002,0,7.000,2215,3987,2.250,1.140,0.560,6,0,271.019,0,0,10,29,5,17,0
04-07 04:08:21,79.436,9.992,8.993,0.250,0,1576808,1322772,164676,4872464,5241.770,1456.824,0,1550.749,0,128.896,6601,17448,2.250,1.140,0.560,9,0,29.976,0,0,10,28,5,19,0
04-07 04:08:22,82.304,14.510,2.752,0,0,1529024,1370500,164680,4872508,6990.621,1458.964,0,7737.114,0,53.035,3222,6569,2.250,1.140,0.560,7,0,233.154,0,0,10,29,5,19,0
04-07 04:08:23,84.818,10.008,4.504,0,0,1586528,1312624,164680,4872872,44399.520,1459.167,0,192.154,0,10.008,5520,15585,2.250,1.140,0.560,6,0,97.078,0,0,10,30,5,18,0
04-07 04:08:24,63.699,9.992,25.729,0,0,1326088,1572840,164684,4873092,6413.824,1550.749,0,439.645,0,35.971,5041,13431,2.250,1.140,0.560,3,0,241.805,0,0,10,28,5,19,0
04-07 04:08:25,44.725,5.747,48.972,0,0,1429260,1469520,164684,4873240,7041.022,1551.124,0,203.885,0,16.990,1969,3698,2.390,1.190,0.580,3,0,5.997,0,0,10,29,5,18,0
04-07 04:08:26,59.283,14.758,25.014,0,0,1440428,1458160,164684,4873428,5839.293,1458.823,0,248.140,0,21.012,3575,7718,2.390,1.190,0.580,4,0,378.213,0,0,10,28,5,18,0
